workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,0,number,1,left,Green_Circle_Dots_2.jpg,Purple_Star_Grid_2.jpg,Green_Plus_Chess_4.jpg,left,917.1450003050268,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,1,number,1,right,Green_Circle_Chess_1.jpg,Green_Plus_Dots_4.jpg,Red_Star_Grid_1.jpg,right,764.1000002622604,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,2,number,1,left,Red_Plus_Chess_2.jpg,Purple_Triangle_Stripes_2.jpg,Red_Circle_Grid_3.jpg,left,883.390000090003,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,3,number,0,right,Red_Star_Stripes_4.jpg,Red_Plus_Dots_1.jpg,Blue_Triangle_Chess_4.jpg,right,715.1649999432266,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,4,number,1,left,Blue_Triangle_Chess_3.jpg,Purple_Circle_Grid_3.jpg,Blue_Plus_Dots_4.jpg,left,807.1900000795722,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,5,number,1,right,Blue_Star_Grid_4.jpg,Blue_Circle_Chess_1.jpg,Green_Triangle_Dots_4.jpg,right,656.965000089258,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,6,number,1,left,Red_Circle_Stripes_4.jpg,Purple_Plus_Chess_4.jpg,Red_Triangle_Dots_3.jpg,left,915.1949998922646,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,7,number,0,right,Purple_Plus_Grid_4.jpg,Purple_Star_Chess_2.jpg,Red_Circle_Dots_4.jpg,right,651.6050002537668,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,8,number,0,left,Purple_Star_Chess_1.jpg,Red_Plus_Grid_1.jpg,Purple_Circle_Dots_3.jpg,left,468.8049997203052,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,9,number,0,right,Green_Star_Chess_4.jpg,Green_Plus_Dots_1.jpg,Blue_Triangle_Grid_4.jpg,right,888.3849997073412,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,10,number,1,left,Blue_Triangle_Dots_2.jpg,Purple_Circle_Chess_2.jpg,Blue_Plus_Grid_1.jpg,right,1089.17500032112,false,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,11,number,1,left,Green_Triangle_Grid_4.jpg,Purple_Circle_Stripes_4.jpg,Green_Plus_Chess_2.jpg,left,880.4349997080863,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,12,number,1,right,Blue_Plus_Dots_1.jpg,Blue_Star_Stripes_3.jpg,Red_Triangle_Chess_1.jpg,right,522.4800002761185,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,13,number,1,left,Purple_Triangle_Dots_4.jpg,Red_Plus_Stripes_4.jpg,Purple_Circle_Grid_1.jpg,left,554.2000001296401,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,14,number,1,right,Red_Star_Grid_1.jpg,Red_Plus_Chess_2.jpg,Purple_Triangle_Stripes_1.jpg,right,585.1199999451637,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,15,number,1,left,Green_Star_Dots_3.jpg,Blue_Triangle_Stripes_3.jpg,Green_Plus_Grid_2.jpg,left,541.9200002215803,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,16,number,1,left,Green_Plus_Grid_4.jpg,Red_Triangle_Chess_4.jpg,Green_Circle_Dots_1.jpg,left,477.77000023052096,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,17,number,1,left,Red_Plus_Chess_3.jpg,Purple_Circle_Stripes_3.jpg,Red_Triangle_Grid_2.jpg,left,542.9199999198318,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,18,number,1,right,Blue_Plus_Chess_2.jpg,Blue_Circle_Grid_4.jpg,Purple_Star_Dots_2.jpg,right,564.9850000627339,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,19,number,1,right,Blue_Triangle_Chess_4.jpg,Blue_Circle_Dots_3.jpg,Green_Star_Stripes_4.jpg,right,499.3050000630319,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,20,color,1,right,Green_Triangle_Stripes_3.jpg,Purple_Circle_Dots_3.jpg,Green_Plus_Grid_1.jpg,left,533.5249998606741,false,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,21,color,1,right,Purple_Star_Stripes_1.jpg,Green_Circle_Chess_1.jpg,Purple_Plus_Grid_3.jpg,right,459.6899999305606,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,22,color,0,left,Green_Star_Stripes_4.jpg,Green_Plus_Chess_3.jpg,Purple_Circle_Dots_4.jpg,left,380.8200000785291,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,23,color,1,left,Green_Circle_Stripes_4.jpg,Green_Star_Dots_3.jpg,Red_Triangle_Chess_4.jpg,left,394.6299999952316,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,24,color,1,left,Red_Circle_Dots_3.jpg,Red_Star_Stripes_4.jpg,Green_Plus_Chess_3.jpg,left,383.0200000666082,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,25,color,1,left,Green_Plus_Grid_4.jpg,Green_Star_Stripes_2.jpg,Red_Circle_Dots_4.jpg,right,476.62000032141805,false,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,26,color,1,right,Blue_Triangle_Dots_4.jpg,Green_Plus_Grid_4.jpg,Blue_Star_Stripes_1.jpg,right,462.6600001938641,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,27,color,1,left,Blue_Plus_Chess_4.jpg,Blue_Star_Stripes_2.jpg,Green_Triangle_Dots_4.jpg,left,538.7249998748302,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,28,color,1,right,Blue_Plus_Stripes_1.jpg,Red_Circle_Dots_1.jpg,Blue_Star_Grid_3.jpg,right,416.8450003489852,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,29,color,0,right,Purple_Triangle_Grid_3.jpg,Blue_Plus_Dots_3.jpg,Purple_Star_Stripes_4.jpg,right,370.664999820292,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,30,color,1,right,Red_Star_Chess_1.jpg,Blue_Circle_Stripes_1.jpg,Red_Plus_Dots_4.jpg,right,401.52000030502677,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,31,color,1,right,Blue_Plus_Dots_3.jpg,Green_Triangle_Grid_3.jpg,Blue_Star_Stripes_2.jpg,right,383.2249999977648,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,32,color,1,left,Red_Triangle_Dots_1.jpg,Red_Circle_Chess_4.jpg,Blue_Plus_Grid_1.jpg,left,387.50499999150634,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,33,color,1,right,Red_Star_Dots_2.jpg,Green_Circle_Chess_2.jpg,Red_Plus_Grid_4.jpg,right,376.24000012874603,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,34,color,0,left,Green_Circle_Stripes_2.jpg,Green_Star_Grid_3.jpg,Purple_Triangle_Dots_2.jpg,left,365.6350001692772,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,35,color,1,left,Purple_Plus_Grid_1.jpg,Purple_Star_Dots_2.jpg,Red_Circle_Chess_1.jpg,left,460.2199997752905,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,36,color,0,right,Purple_Star_Grid_4.jpg,Red_Triangle_Chess_4.jpg,Purple_Plus_Dots_3.jpg,right,398.64999987185,true,NA,true
LE9cNUlz,3b6f54kms5pu5knddy3sw9ki4gws13,320duz38gbz0xgskzpkj0ftst7qgjd,LE9cNUlz,2020-0188,2020-05-07,16:08:18,16:41:17,NA,incomplete,37,color,1,right,Purple_Triangle_Chess_4.jpg,Green_Plus_Stripes_4.jpg,Purple_Circle_Grid_2.jpg,right,380.5549996905029,true,NA,true
