workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
qFDa7Mt6,3fhtjgyt9qduw7xo30k18rjdqjggpm,32q90qcq1wyxom2bbfu71r8uvj1kex,qFDa7Mt6,2020-0188,2020-11-15,01:10:30,01:32:19,NA,incomplete,0,shape,1,left,Red_Star_Chess_1.jpg,Purple_Star_Stripes_4.jpg,Green_Plus_Grid_1.jpg,left,983,true,NA,true
qFDa7Mt6,3fhtjgyt9qduw7xo30k18rjdqjggpm,32q90qcq1wyxom2bbfu71r8uvj1kex,qFDa7Mt6,2020-0188,2020-11-15,01:10:30,01:32:19,NA,incomplete,1,shape,1,right,Purple_Triangle_Grid_3.jpg,Green_Circle_Chess_3.jpg,Blue_Triangle_Dots_1.jpg,right,697,true,NA,true
qFDa7Mt6,3fhtjgyt9qduw7xo30k18rjdqjggpm,32q90qcq1wyxom2bbfu71r8uvj1kex,qFDa7Mt6,2020-0188,2020-11-15,01:10:30,01:32:19,NA,incomplete,2,shape,1,right,Green_Star_Dots_2.jpg,Purple_Circle_Grid_2.jpg,Red_Star_Chess_1.jpg,right,665,true,NA,true
qFDa7Mt6,3fhtjgyt9qduw7xo30k18rjdqjggpm,32q90qcq1wyxom2bbfu71r8uvj1kex,qFDa7Mt6,2020-0188,2020-11-15,01:10:30,01:32:19,NA,incomplete,3,shape,1,left,Red_Star_Chess_3.jpg,Purple_Star_Grid_2.jpg,Green_Circle_Dots_3.jpg,left,724,true,NA,true
qFDa7Mt6,3fhtjgyt9qduw7xo30k18rjdqjggpm,32q90qcq1wyxom2bbfu71r8uvj1kex,qFDa7Mt6,2020-0188,2020-11-15,01:10:30,01:32:19,NA,incomplete,4,shape,0,right,Green_Triangle_Grid_4.jpg,Purple_Circle_Stripes_4.jpg,Blue_Triangle_Dots_3.jpg,right,736,true,NA,true
qFDa7Mt6,3fhtjgyt9qduw7xo30k18rjdqjggpm,32q90qcq1wyxom2bbfu71r8uvj1kex,qFDa7Mt6,2020-0188,2020-11-15,01:10:30,01:32:19,NA,incomplete,5,shape,1,right,Red_Triangle_Stripes_4.jpg,Green_Star_Chess_4.jpg,Purple_Triangle_Grid_2.jpg,right,552,true,NA,true
qFDa7Mt6,3fhtjgyt9qduw7xo30k18rjdqjggpm,32q90qcq1wyxom2bbfu71r8uvj1kex,qFDa7Mt6,2020-0188,2020-11-15,01:10:30,01:32:19,NA,incomplete,6,shape,1,right,Blue_Star_Stripes_1.jpg,Green_Circle_Chess_1.jpg,Purple_Star_Grid_2.jpg,right,756,true,NA,true
qFDa7Mt6,3fhtjgyt9qduw7xo30k18rjdqjggpm,32q90qcq1wyxom2bbfu71r8uvj1kex,qFDa7Mt6,2020-0188,2020-11-15,01:10:30,01:32:19,NA,incomplete,7,shape,1,left,Green_Plus_Dots_3.jpg,Blue_Plus_Grid_1.jpg,Red_Triangle_Stripes_3.jpg,left,787,true,NA,true
qFDa7Mt6,3fhtjgyt9qduw7xo30k18rjdqjggpm,32q90qcq1wyxom2bbfu71r8uvj1kex,qFDa7Mt6,2020-0188,2020-11-15,01:10:30,01:32:19,NA,incomplete,8,shape,1,right,Blue_Star_Stripes_1.jpg,Red_Triangle_Dots_1.jpg,Purple_Star_Grid_2.jpg,right,773,true,NA,true
qFDa7Mt6,3fhtjgyt9qduw7xo30k18rjdqjggpm,32q90qcq1wyxom2bbfu71r8uvj1kex,qFDa7Mt6,2020-0188,2020-11-15,01:10:30,01:32:19,NA,incomplete,9,shape,1,left,Blue_Plus_Dots_2.jpg,Purple_Plus_Chess_3.jpg,Red_Triangle_Grid_2.jpg,left,616,true,NA,true
