workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
kqfcvbVI,33cla8o0nlo9ukh858i8v1jgjoffrm,339ansotr9f94r4x7ykym66lndkikg,kqfcvbVI,2020-0188,2020-05-08,10:22:34,10:40:14,NA,incomplete,0,filling,1,left,Green_Plus_Dots_1.jpg,Red_Star_Dots_4.jpg,Green_Triangle_Stripes_3.jpg,left,1802.9050000477582,true,NA,true
kqfcvbVI,33cla8o0nlo9ukh858i8v1jgjoffrm,339ansotr9f94r4x7ykym66lndkikg,kqfcvbVI,2020-0188,2020-05-08,10:22:34,10:40:14,NA,incomplete,1,filling,1,right,Green_Circle_Chess_3.jpg,Green_Star_Grid_1.jpg,Blue_Plus_Chess_2.jpg,right,1327.1749999839813,true,NA,true
kqfcvbVI,33cla8o0nlo9ukh858i8v1jgjoffrm,339ansotr9f94r4x7ykym66lndkikg,kqfcvbVI,2020-0188,2020-05-08,10:22:34,10:40:14,NA,incomplete,2,filling,0,right,Blue_Circle_Grid_4.jpg,Blue_Triangle_Stripes_1.jpg,Red_Star_Grid_2.jpg,right,1262.9150000866503,true,NA,true
kqfcvbVI,33cla8o0nlo9ukh858i8v1jgjoffrm,339ansotr9f94r4x7ykym66lndkikg,kqfcvbVI,2020-0188,2020-05-08,10:22:34,10:40:14,NA,incomplete,3,filling,1,left,Green_Star_Chess_4.jpg,Blue_Circle_Chess_1.jpg,Green_Triangle_Dots_2.jpg,left,1361.1500000115484,true,NA,true
kqfcvbVI,33cla8o0nlo9ukh858i8v1jgjoffrm,339ansotr9f94r4x7ykym66lndkikg,kqfcvbVI,2020-0188,2020-05-08,10:22:34,10:40:14,NA,incomplete,4,filling,1,left,Purple_Plus_Dots_3.jpg,Blue_Triangle_Dots_4.jpg,Purple_Circle_Stripes_2.jpg,left,1646.6500000096858,true,NA,true
kqfcvbVI,33cla8o0nlo9ukh858i8v1jgjoffrm,339ansotr9f94r4x7ykym66lndkikg,kqfcvbVI,2020-0188,2020-05-08,10:22:34,10:40:14,NA,incomplete,5,filling,1,right,Blue_Triangle_Dots_3.jpg,Blue_Plus_Grid_1.jpg,Green_Circle_Dots_2.jpg,right,1393.1150001008064,true,NA,true
kqfcvbVI,33cla8o0nlo9ukh858i8v1jgjoffrm,339ansotr9f94r4x7ykym66lndkikg,kqfcvbVI,2020-0188,2020-05-08,10:22:34,10:40:14,NA,incomplete,6,filling,1,left,Purple_Circle_Stripes_3.jpg,Blue_Star_Stripes_1.jpg,Purple_Triangle_Dots_2.jpg,left,1207.2399999015033,true,NA,true
kqfcvbVI,33cla8o0nlo9ukh858i8v1jgjoffrm,339ansotr9f94r4x7ykym66lndkikg,kqfcvbVI,2020-0188,2020-05-08,10:22:34,10:40:14,NA,incomplete,7,filling,1,left,Red_Star_Dots_2.jpg,Green_Triangle_Dots_1.jpg,Red_Plus_Stripes_4.jpg,right,1218.360000057146,false,NA,true
kqfcvbVI,33cla8o0nlo9ukh858i8v1jgjoffrm,339ansotr9f94r4x7ykym66lndkikg,kqfcvbVI,2020-0188,2020-05-08,10:22:34,10:40:14,NA,incomplete,8,filling,1,left,Red_Triangle_Stripes_2.jpg,Green_Circle_Stripes_1.jpg,Red_Plus_Chess_3.jpg,left,1229.2549998965114,true,NA,true
kqfcvbVI,33cla8o0nlo9ukh858i8v1jgjoffrm,339ansotr9f94r4x7ykym66lndkikg,kqfcvbVI,2020-0188,2020-05-08,10:22:34,10:40:14,NA,incomplete,9,filling,0,left,Green_Circle_Grid_1.jpg,Purple_Triangle_Grid_4.jpg,Green_Plus_Dots_3.jpg,left,1257.4299999978393,true,NA,true
