workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
CisNqNAd,33cla8o0nlo9ukh858i8v1jgjowfr3,3a4nixbj7ac6kgc6ddurtzqhtl6mly,CisNqNAd,2020-0188,2020-05-08,01:45:17,02:03:11,NA,incomplete,0,filling,1,left,Green_Triangle_Grid_4.jpg,Blue_Plus_Grid_1.jpg,Red_Star_Chess_4.jpg,left,1157.0899999933317,true,NA,NA,NA,NA,NA,NA,NA,NA,true
CisNqNAd,33cla8o0nlo9ukh858i8v1jgjowfr3,3a4nixbj7ac6kgc6ddurtzqhtl6mly,CisNqNAd,2020-0188,2020-05-08,01:45:17,02:03:11,NA,incomplete,1,filling,0,right,Red_Triangle_Grid_4.jpg,Blue_Plus_Stripes_4.jpg,Green_Circle_Grid_2.jpg,left,1190.0300000561401,false,NA,NA,NA,NA,NA,NA,NA,NA,true
CisNqNAd,33cla8o0nlo9ukh858i8v1jgjowfr3,3a4nixbj7ac6kgc6ddurtzqhtl6mly,CisNqNAd,2020-0188,2020-05-08,01:45:17,02:03:11,NA,incomplete,2,filling,1,left,Blue_Triangle_Stripes_1.jpg,Purple_Plus_Stripes_2.jpg,Green_Circle_Chess_1.jpg,left,1232.8299999935552,true,NA,NA,NA,NA,NA,NA,NA,NA,true
CisNqNAd,33cla8o0nlo9ukh858i8v1jgjowfr3,3a4nixbj7ac6kgc6ddurtzqhtl6mly,CisNqNAd,2020-0188,2020-05-08,01:45:17,02:03:11,NA,incomplete,3,filling,1,left,Red_Plus_Chess_4.jpg,Green_Star_Chess_2.jpg,Blue_Triangle_Grid_4.jpg,left,1247.7799999760464,true,NA,NA,NA,NA,NA,NA,NA,NA,true
CisNqNAd,33cla8o0nlo9ukh858i8v1jgjowfr3,3a4nixbj7ac6kgc6ddurtzqhtl6mly,CisNqNAd,2020-0188,2020-05-08,01:45:17,02:03:11,NA,incomplete,4,filling,1,left,Blue_Star_Dots_4.jpg,Red_Triangle_Dots_1.jpg,Green_Circle_Chess_4.jpg,left,1653.044999926351,true,NA,NA,NA,NA,NA,NA,NA,NA,true
CisNqNAd,33cla8o0nlo9ukh858i8v1jgjowfr3,3a4nixbj7ac6kgc6ddurtzqhtl6mly,CisNqNAd,2020-0188,2020-05-08,01:45:17,02:03:11,NA,incomplete,5,filling,1,right,Purple_Circle_Dots_2.jpg,Blue_Star_Chess_2.jpg,Green_Triangle_Dots_4.jpg,right,1318.5100000118837,true,NA,NA,NA,NA,NA,NA,NA,NA,true
CisNqNAd,33cla8o0nlo9ukh858i8v1jgjowfr3,3a4nixbj7ac6kgc6ddurtzqhtl6mly,CisNqNAd,2020-0188,2020-05-08,01:45:17,02:03:11,NA,incomplete,6,filling,1,right,Green_Triangle_Grid_2.jpg,Purple_Plus_Dots_2.jpg,Blue_Circle_Grid_1.jpg,right,1561.9599999627098,true,NA,NA,NA,NA,NA,NA,NA,NA,true
CisNqNAd,33cla8o0nlo9ukh858i8v1jgjowfr3,3a4nixbj7ac6kgc6ddurtzqhtl6mly,CisNqNAd,2020-0188,2020-05-08,01:45:17,02:03:11,NA,incomplete,7,filling,1,right,Blue_Triangle_Stripes_1.jpg,Green_Plus_Dots_1.jpg,Purple_Circle_Stripes_3.jpg,right,1512.2549999505281,true,NA,NA,NA,NA,NA,NA,NA,NA,true
CisNqNAd,33cla8o0nlo9ukh858i8v1jgjowfr3,3a4nixbj7ac6kgc6ddurtzqhtl6mly,CisNqNAd,2020-0188,2020-05-08,01:45:17,02:03:11,NA,incomplete,8,filling,1,left,Blue_Plus_Grid_4.jpg,Green_Star_Grid_1.jpg,Purple_Triangle_Chess_4.jpg,left,1418.9550000010058,true,NA,NA,NA,NA,NA,NA,NA,NA,true
CisNqNAd,33cla8o0nlo9ukh858i8v1jgjowfr3,3a4nixbj7ac6kgc6ddurtzqhtl6mly,CisNqNAd,2020-0188,2020-05-08,01:45:17,02:03:11,NA,incomplete,9,filling,1,right,Green_Plus_Stripes_3.jpg,Purple_Triangle_Dots_3.jpg,Blue_Star_Stripes_2.jpg,right,1411.7300000507385,true,NA,NA,NA,NA,NA,NA,NA,NA,true
CisNqNAd,33cla8o0nlo9ukh858i8v1jgjowfr3,3a4nixbj7ac6kgc6ddurtzqhtl6mly,CisNqNAd,2020-0188,2020-05-08,01:45:17,02:03:11,NA,incomplete,10,filling,1,left,Purple_Star_Stripes_3.jpg,Green_Circle_Stripes_2.jpg,Blue_Plus_Grid_3.jpg,left,1893.3250000700355,true,NA,NA,NA,NA,NA,NA,NA,NA,true
CisNqNAd,33cla8o0nlo9ukh858i8v1jgjowfr3,3a4nixbj7ac6kgc6ddurtzqhtl6mly,CisNqNAd,2020-0188,2020-05-08,01:45:17,02:03:11,NA,incomplete,11,filling,1,left,Red_Triangle_Grid_1.jpg,Blue_Plus_Grid_4.jpg,Green_Circle_Chess_1.jpg,left,1345.8050000481308,true,NA,NA,NA,NA,NA,NA,NA,NA,true
CisNqNAd,33cla8o0nlo9ukh858i8v1jgjowfr3,3a4nixbj7ac6kgc6ddurtzqhtl6mly,CisNqNAd,2020-0188,2020-05-08,01:45:17,02:03:11,NA,incomplete,12,filling,1,right,Red_Triangle_Dots_4.jpg,Green_Star_Chess_4.jpg,Blue_Circle_Dots_3.jpg,right,1382.2800000198185,true,NA,NA,NA,NA,NA,NA,NA,NA,true
CisNqNAd,33cla8o0nlo9ukh858i8v1jgjowfr3,3a4nixbj7ac6kgc6ddurtzqhtl6mly,CisNqNAd,2020-0188,2020-05-08,01:45:17,02:03:11,NA,incomplete,13,filling,1,left,Blue_Plus_Stripes_4.jpg,Red_Star_Stripes_3.jpg,Green_Triangle_Dots_4.jpg,left,1570.3099999809638,true,NA,NA,NA,NA,NA,NA,NA,NA,true
