workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
AeRpSGDf,3hy86pzxq1vtv1ivc3jn7sg3anve1z,3d8you6s9ix7e3e8zbfbvqpfgcxu65,AeRpSGDf,2020-0188,2020-11-14,23:36:01,23:50:52,NA,incomplete,0,color,1,left,Green_Triangle_Chess_3.jpg,Green_Star_Grid_4.jpg,Purple_Plus_Dots_3.jpg,left,1030.1050003618002,true,NA,true
AeRpSGDf,3hy86pzxq1vtv1ivc3jn7sg3anve1z,3d8you6s9ix7e3e8zbfbvqpfgcxu65,AeRpSGDf,2020-0188,2020-11-14,23:36:01,23:50:52,NA,incomplete,1,color,1,right,Green_Star_Stripes_2.jpg,Blue_Plus_Chess_2.jpg,Green_Circle_Grid_3.jpg,right,792.9949997924268,true,NA,true
AeRpSGDf,3hy86pzxq1vtv1ivc3jn7sg3anve1z,3d8you6s9ix7e3e8zbfbvqpfgcxu65,AeRpSGDf,2020-0188,2020-11-14,23:36:01,23:50:52,NA,incomplete,2,color,0,right,Purple_Circle_Grid_2.jpg,Green_Triangle_Chess_2.jpg,Purple_Star_Dots_1.jpg,right,685.0100001320243,true,NA,true
AeRpSGDf,3hy86pzxq1vtv1ivc3jn7sg3anve1z,3d8you6s9ix7e3e8zbfbvqpfgcxu65,AeRpSGDf,2020-0188,2020-11-14,23:36:01,23:50:52,NA,incomplete,3,color,1,left,Blue_Circle_Chess_2.jpg,Blue_Star_Stripes_1.jpg,Red_Triangle_Dots_2.jpg,left,773.5250000841916,true,NA,true
AeRpSGDf,3hy86pzxq1vtv1ivc3jn7sg3anve1z,3d8you6s9ix7e3e8zbfbvqpfgcxu65,AeRpSGDf,2020-0188,2020-11-14,23:36:01,23:50:52,NA,incomplete,4,color,1,right,Purple_Triangle_Stripes_2.jpg,Red_Plus_Grid_2.jpg,Purple_Circle_Chess_4.jpg,right,949.4650000706315,true,NA,true
AeRpSGDf,3hy86pzxq1vtv1ivc3jn7sg3anve1z,3d8you6s9ix7e3e8zbfbvqpfgcxu65,AeRpSGDf,2020-0188,2020-11-14,23:36:01,23:50:52,NA,incomplete,5,color,1,right,Green_Circle_Grid_4.jpg,Purple_Plus_Chess_4.jpg,Green_Star_Dots_3.jpg,right,594.380000140518,true,NA,true
AeRpSGDf,3hy86pzxq1vtv1ivc3jn7sg3anve1z,3d8you6s9ix7e3e8zbfbvqpfgcxu65,AeRpSGDf,2020-0188,2020-11-14,23:36:01,23:50:52,NA,incomplete,6,color,0,right,Blue_Circle_Chess_2.jpg,Purple_Star_Stripes_2.jpg,Blue_Plus_Dots_4.jpg,right,671.4149997569621,true,NA,true
AeRpSGDf,3hy86pzxq1vtv1ivc3jn7sg3anve1z,3d8you6s9ix7e3e8zbfbvqpfgcxu65,AeRpSGDf,2020-0188,2020-11-14,23:36:01,23:50:52,NA,incomplete,7,color,1,left,Red_Plus_Chess_2.jpg,Red_Circle_Dots_1.jpg,Blue_Triangle_Grid_2.jpg,left,727.3800000548363,true,NA,true
AeRpSGDf,3hy86pzxq1vtv1ivc3jn7sg3anve1z,3d8you6s9ix7e3e8zbfbvqpfgcxu65,AeRpSGDf,2020-0188,2020-11-14,23:36:01,23:50:52,NA,incomplete,8,color,1,left,Blue_Circle_Grid_4.jpg,Blue_Star_Chess_1.jpg,Red_Plus_Stripes_4.jpg,left,622.0249999314547,true,NA,true
AeRpSGDf,3hy86pzxq1vtv1ivc3jn7sg3anve1z,3d8you6s9ix7e3e8zbfbvqpfgcxu65,AeRpSGDf,2020-0188,2020-11-14,23:36:01,23:50:52,NA,incomplete,9,color,1,left,Green_Circle_Grid_1.jpg,Green_Triangle_Chess_3.jpg,Red_Plus_Dots_1.jpg,left,662.5749999657273,true,NA,true
