workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
mDUQoVED,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3dbqwde4yaby09ulxrtkppjlexhn54,mDUQoVED,2020-0188,2020-11-21,11:46:50,12:24:28,NA,incomplete,0,filling,1,left,Blue_Triangle_Stripes_2.jpg,Purple_Star_Stripes_1.jpg,Blue_Circle_Dots_3.jpg,left,1045.15999997966,true,NA,true
mDUQoVED,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3dbqwde4yaby09ulxrtkppjlexhn54,mDUQoVED,2020-0188,2020-11-21,11:46:50,12:24:28,NA,incomplete,1,filling,1,right,Green_Star_Grid_1.jpg,Green_Plus_Chess_4.jpg,Red_Triangle_Grid_3.jpg,right,820.949999964796,true,NA,true
mDUQoVED,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3dbqwde4yaby09ulxrtkppjlexhn54,mDUQoVED,2020-0188,2020-11-21,11:46:50,12:24:28,NA,incomplete,2,filling,0,left,Purple_Circle_Stripes_1.jpg,Blue_Plus_Stripes_2.jpg,Purple_Triangle_Dots_4.jpg,left,765.5599999707192,true,NA,true
mDUQoVED,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3dbqwde4yaby09ulxrtkppjlexhn54,mDUQoVED,2020-0188,2020-11-21,11:46:50,12:24:28,NA,incomplete,3,filling,1,right,Green_Triangle_Stripes_4.jpg,Green_Circle_Grid_1.jpg,Blue_Star_Stripes_2.jpg,right,840.5150000471622,true,NA,true
mDUQoVED,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3dbqwde4yaby09ulxrtkppjlexhn54,mDUQoVED,2020-0188,2020-11-21,11:46:50,12:24:28,NA,incomplete,4,filling,0,right,Purple_Triangle_Stripes_1.jpg,Purple_Circle_Grid_2.jpg,Blue_Plus_Stripes_3.jpg,right,832.5650000479072,true,NA,true
mDUQoVED,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3dbqwde4yaby09ulxrtkppjlexhn54,mDUQoVED,2020-0188,2020-11-21,11:46:50,12:24:28,NA,incomplete,5,filling,1,right,Red_Triangle_Stripes_2.jpg,Red_Plus_Grid_3.jpg,Blue_Circle_Stripes_4.jpg,right,753.8450000574812,true,NA,true
mDUQoVED,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3dbqwde4yaby09ulxrtkppjlexhn54,mDUQoVED,2020-0188,2020-11-21,11:46:50,12:24:28,NA,incomplete,6,filling,1,left,Red_Circle_Dots_3.jpg,Blue_Triangle_Dots_1.jpg,Red_Plus_Chess_2.jpg,left,708.6399999679998,true,NA,true
mDUQoVED,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3dbqwde4yaby09ulxrtkppjlexhn54,mDUQoVED,2020-0188,2020-11-21,11:46:50,12:24:28,NA,incomplete,7,filling,1,left,Green_Plus_Stripes_4.jpg,Purple_Triangle_Stripes_2.jpg,Green_Star_Chess_3.jpg,left,818.1949999416247,true,NA,true
mDUQoVED,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3dbqwde4yaby09ulxrtkppjlexhn54,mDUQoVED,2020-0188,2020-11-21,11:46:50,12:24:28,NA,incomplete,8,filling,1,right,Green_Plus_Dots_3.jpg,Green_Circle_Stripes_1.jpg,Red_Star_Dots_2.jpg,right,819.5700000505894,true,NA,true
mDUQoVED,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3dbqwde4yaby09ulxrtkppjlexhn54,mDUQoVED,2020-0188,2020-11-21,11:46:50,12:24:28,NA,incomplete,9,filling,1,left,Red_Star_Dots_3.jpg,Purple_Plus_Dots_1.jpg,Red_Triangle_Grid_4.jpg,left,789.4150000065565,true,NA,true
mDUQoVED,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3dbqwde4yaby09ulxrtkppjlexhn54,mDUQoVED,2020-0188,2020-11-21,11:46:50,12:24:28,NA,incomplete,10,filling,0,left,Blue_Circle_Grid_3.jpg,Purple_Triangle_Grid_4.jpg,Blue_Plus_Chess_1.jpg,left,749.0750000579283,true,NA,true
mDUQoVED,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3dbqwde4yaby09ulxrtkppjlexhn54,mDUQoVED,2020-0188,2020-11-21,11:46:50,12:24:28,NA,incomplete,11,filling,1,right,Purple_Plus_Stripes_4.jpg,Purple_Triangle_Grid_1.jpg,Green_Circle_Stripes_3.jpg,right,786.1500000581145,true,NA,true
mDUQoVED,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3dbqwde4yaby09ulxrtkppjlexhn54,mDUQoVED,2020-0188,2020-11-21,11:46:50,12:24:28,NA,incomplete,12,filling,1,left,Purple_Circle_Dots_4.jpg,Blue_Star_Dots_2.jpg,Purple_Plus_Chess_1.jpg,left,748.2800000580028,true,NA,true
