workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
neSrdRyh,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3efvcay5l7ml41m2gr8v82cv75j8jx,neSrdRyh,2020-0188,2020-11-21,18:00:00,18:24:21,NA,incomplete,0,filling,1,left,Green_Circle_Chess_4.jpg,Blue_Star_Chess_2.jpg,Green_Triangle_Stripes_1.jpg,right,718.9550000003073,false,NA,NA,NA,NA,NA,NA,NA,NA,true
neSrdRyh,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3efvcay5l7ml41m2gr8v82cv75j8jx,neSrdRyh,2020-0188,2020-11-21,18:00:00,18:24:21,NA,incomplete,1,filling,0,right,Purple_Plus_Grid_4.jpg,Purple_Triangle_Dots_2.jpg,Green_Circle_Grid_1.jpg,right,1232.425000000163,true,NA,NA,NA,NA,NA,NA,NA,NA,true
neSrdRyh,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3efvcay5l7ml41m2gr8v82cv75j8jx,neSrdRyh,2020-0188,2020-11-21,18:00:00,18:24:21,NA,incomplete,2,filling,1,left,Blue_Triangle_Grid_2.jpg,Purple_Plus_Grid_1.jpg,Blue_Star_Dots_3.jpg,left,1079.079999999958,true,NA,NA,NA,NA,NA,NA,NA,NA,true
neSrdRyh,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3efvcay5l7ml41m2gr8v82cv75j8jx,neSrdRyh,2020-0188,2020-11-21,18:00:00,18:24:21,NA,incomplete,3,filling,1,left,Purple_Triangle_Dots_4.jpg,Green_Star_Dots_1.jpg,Purple_Plus_Chess_3.jpg,left,994.7399999999907,true,NA,NA,NA,NA,NA,NA,NA,NA,true
neSrdRyh,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3efvcay5l7ml41m2gr8v82cv75j8jx,neSrdRyh,2020-0188,2020-11-21,18:00:00,18:24:21,NA,incomplete,4,filling,1,left,Blue_Circle_Dots_1.jpg,Green_Plus_Dots_2.jpg,Blue_Star_Chess_3.jpg,left,731.0400000001537,true,NA,NA,NA,NA,NA,NA,NA,NA,true
neSrdRyh,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3efvcay5l7ml41m2gr8v82cv75j8jx,neSrdRyh,2020-0188,2020-11-21,18:00:00,18:24:21,NA,incomplete,5,filling,1,right,Blue_Plus_Chess_1.jpg,Blue_Star_Stripes_4.jpg,Green_Circle_Chess_2.jpg,right,1326.0500000000466,true,NA,NA,NA,NA,NA,NA,NA,NA,true
neSrdRyh,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3efvcay5l7ml41m2gr8v82cv75j8jx,neSrdRyh,2020-0188,2020-11-21,18:00:00,18:24:21,NA,incomplete,6,filling,0,left,Red_Circle_Chess_1.jpg,Blue_Triangle_Chess_3.jpg,Red_Plus_Grid_4.jpg,left,1079.5699999999488,true,NA,NA,NA,NA,NA,NA,NA,NA,true
neSrdRyh,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3efvcay5l7ml41m2gr8v82cv75j8jx,neSrdRyh,2020-0188,2020-11-21,18:00:00,18:24:21,NA,incomplete,7,filling,1,left,Purple_Circle_Dots_2.jpg,Green_Star_Dots_1.jpg,Purple_Plus_Chess_3.jpg,left,1130.2949999999255,true,NA,NA,NA,NA,NA,NA,NA,NA,true
neSrdRyh,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3efvcay5l7ml41m2gr8v82cv75j8jx,neSrdRyh,2020-0188,2020-11-21,18:00:00,18:24:21,NA,incomplete,8,filling,1,left,Blue_Plus_Grid_4.jpg,Red_Circle_Grid_3.jpg,Blue_Triangle_Dots_1.jpg,left,1011.5850000001956,true,NA,NA,NA,NA,NA,NA,NA,NA,true
neSrdRyh,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3efvcay5l7ml41m2gr8v82cv75j8jx,neSrdRyh,2020-0188,2020-11-21,18:00:00,18:24:21,NA,incomplete,9,filling,1,left,Green_Circle_Grid_3.jpg,Purple_Plus_Grid_2.jpg,Green_Star_Chess_1.jpg,none,0,false,NA,NA,NA,NA,NA,NA,NA,NA,true
