workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
yhSALUfp,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3ioen3p9sbwr56naxn5rkoki7rj61r,yhSALUfp,2020-0188,2020-11-21,13:32:59,13:52:01,NA,incomplete,0,number,0,left,Green_Triangle_Dots_3.jpg,Red_Star_Stripes_3.jpg,Green_Circle_Grid_1.jpg,left,1373.4049999911804,true,NA,true
yhSALUfp,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3ioen3p9sbwr56naxn5rkoki7rj61r,yhSALUfp,2020-0188,2020-11-21,13:32:59,13:52:01,NA,incomplete,1,number,1,right,Blue_Triangle_Grid_4.jpg,Blue_Circle_Stripes_2.jpg,Green_Star_Chess_4.jpg,right,919.3899999954738,true,NA,true
yhSALUfp,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3ioen3p9sbwr56naxn5rkoki7rj61r,yhSALUfp,2020-0188,2020-11-21,13:32:59,13:52:01,NA,incomplete,2,number,0,left,Green_Star_Dots_4.jpg,Blue_Triangle_Stripes_4.jpg,Green_Plus_Grid_3.jpg,left,1165.1399999973364,true,NA,true
yhSALUfp,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3ioen3p9sbwr56naxn5rkoki7rj61r,yhSALUfp,2020-0188,2020-11-21,13:32:59,13:52:01,NA,incomplete,3,number,0,right,Red_Star_Dots_1.jpg,Red_Circle_Stripes_3.jpg,Green_Plus_Grid_1.jpg,right,990.349999978207,true,NA,true
yhSALUfp,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3ioen3p9sbwr56naxn5rkoki7rj61r,yhSALUfp,2020-0188,2020-11-21,13:32:59,13:52:01,NA,incomplete,4,number,1,left,Green_Triangle_Grid_2.jpg,Red_Circle_Dots_2.jpg,Green_Plus_Chess_1.jpg,left,1157.4499999987893,true,NA,true
yhSALUfp,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3ioen3p9sbwr56naxn5rkoki7rj61r,yhSALUfp,2020-0188,2020-11-21,13:32:59,13:52:01,NA,incomplete,5,number,1,left,Blue_Star_Grid_1.jpg,Green_Plus_Dots_1.jpg,Blue_Triangle_Stripes_2.jpg,left,632.4749999912456,true,NA,true
yhSALUfp,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3ioen3p9sbwr56naxn5rkoki7rj61r,yhSALUfp,2020-0188,2020-11-21,13:32:59,13:52:01,NA,incomplete,6,number,1,left,Green_Plus_Stripes_2.jpg,Red_Star_Chess_2.jpg,Green_Triangle_Dots_1.jpg,left,678.1550000014249,true,NA,true
yhSALUfp,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3ioen3p9sbwr56naxn5rkoki7rj61r,yhSALUfp,2020-0188,2020-11-21,13:32:59,13:52:01,NA,incomplete,7,number,1,left,Purple_Circle_Grid_1.jpg,Red_Triangle_Chess_1.jpg,Purple_Star_Dots_3.jpg,left,761.7000000027474,true,NA,true
yhSALUfp,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3ioen3p9sbwr56naxn5rkoki7rj61r,yhSALUfp,2020-0188,2020-11-21,13:32:59,13:52:01,NA,incomplete,8,number,1,right,Purple_Triangle_Stripes_3.jpg,Purple_Circle_Chess_2.jpg,Red_Plus_Dots_3.jpg,right,661.6300000168849,true,NA,true
yhSALUfp,3r6rzgk0yip7nifkjif6ljfzh9ayv2,3ioen3p9sbwr56naxn5rkoki7rj61r,yhSALUfp,2020-0188,2020-11-21,13:32:59,13:52:01,NA,incomplete,9,number,1,left,Green_Plus_Grid_2.jpg,Purple_Star_Chess_2.jpg,Green_Circle_Stripes_3.jpg,left,637.0199999946635,true,NA,true
