workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
9RHfQKCv,3en4yvuovf59wipgxxflzhxwdchjxp,3j2uybxqqppryh2s141r6j170oj06y,9RHfQKCv,2020-0188,2020-05-08,09:56:45,10:11:31,NA,incomplete,0,shape,1,left,Blue_Circle_Dots_3.jpg,Green_Circle_Chess_1.jpg,Purple_Plus_Stripes_3.jpg,right,1007.054999936372,false,NA,NA,NA,NA,NA,NA,NA,NA,true
9RHfQKCv,3en4yvuovf59wipgxxflzhxwdchjxp,3j2uybxqqppryh2s141r6j170oj06y,9RHfQKCv,2020-0188,2020-05-08,09:56:45,10:11:31,NA,incomplete,1,shape,1,right,Blue_Triangle_Dots_2.jpg,Red_Plus_Grid_2.jpg,Purple_Triangle_Stripes_4.jpg,right,1067.4250000156462,true,NA,NA,NA,NA,NA,NA,NA,NA,true
9RHfQKCv,3en4yvuovf59wipgxxflzhxwdchjxp,3j2uybxqqppryh2s141r6j170oj06y,9RHfQKCv,2020-0188,2020-05-08,09:56:45,10:11:31,NA,incomplete,2,shape,1,left,Blue_Star_Stripes_1.jpg,Purple_Star_Grid_3.jpg,Red_Plus_Chess_1.jpg,left,852.4650000035763,true,NA,NA,NA,NA,NA,NA,NA,NA,true
9RHfQKCv,3en4yvuovf59wipgxxflzhxwdchjxp,3j2uybxqqppryh2s141r6j170oj06y,9RHfQKCv,2020-0188,2020-05-08,09:56:45,10:11:31,NA,incomplete,3,shape,1,left,Green_Circle_Stripes_1.jpg,Purple_Circle_Dots_4.jpg,Blue_Triangle_Chess_1.jpg,left,918.4350001160055,true,NA,NA,NA,NA,NA,NA,NA,NA,true
9RHfQKCv,3en4yvuovf59wipgxxflzhxwdchjxp,3j2uybxqqppryh2s141r6j170oj06y,9RHfQKCv,2020-0188,2020-05-08,09:56:45,10:11:31,NA,incomplete,4,shape,0,left,Blue_Plus_Stripes_1.jpg,Red_Plus_Dots_3.jpg,Green_Star_Chess_1.jpg,left,854.2850001249462,true,NA,NA,NA,NA,NA,NA,NA,NA,true
9RHfQKCv,3en4yvuovf59wipgxxflzhxwdchjxp,3j2uybxqqppryh2s141r6j170oj06y,9RHfQKCv,2020-0188,2020-05-08,09:56:45,10:11:31,NA,incomplete,5,shape,0,left,Green_Star_Chess_2.jpg,Purple_Star_Stripes_3.jpg,Blue_Triangle_Grid_2.jpg,left,944.0500000491738,true,NA,NA,NA,NA,NA,NA,NA,NA,true
9RHfQKCv,3en4yvuovf59wipgxxflzhxwdchjxp,3j2uybxqqppryh2s141r6j170oj06y,9RHfQKCv,2020-0188,2020-05-08,09:56:45,10:11:31,NA,incomplete,6,shape,1,left,Purple_Plus_Dots_2.jpg,Blue_Plus_Chess_3.jpg,Red_Circle_Stripes_2.jpg,left,926.9250000361353,true,NA,NA,NA,NA,NA,NA,NA,NA,true
9RHfQKCv,3en4yvuovf59wipgxxflzhxwdchjxp,3j2uybxqqppryh2s141r6j170oj06y,9RHfQKCv,2020-0188,2020-05-08,09:56:45,10:11:31,NA,incomplete,7,shape,1,right,Green_Circle_Chess_2.jpg,Purple_Triangle_Grid_2.jpg,Red_Circle_Stripes_3.jpg,right,774.4950000196695,true,NA,NA,NA,NA,NA,NA,NA,NA,true
9RHfQKCv,3en4yvuovf59wipgxxflzhxwdchjxp,3j2uybxqqppryh2s141r6j170oj06y,9RHfQKCv,2020-0188,2020-05-08,09:56:45,10:11:31,NA,incomplete,8,shape,1,left,Blue_Star_Grid_3.jpg,Green_Star_Stripes_2.jpg,Red_Triangle_Dots_3.jpg,left,731.9700000807643,true,NA,NA,NA,NA,NA,NA,NA,NA,true
9RHfQKCv,3en4yvuovf59wipgxxflzhxwdchjxp,3j2uybxqqppryh2s141r6j170oj06y,9RHfQKCv,2020-0188,2020-05-08,09:56:45,10:11:31,NA,incomplete,9,shape,1,left,Blue_Plus_Grid_3.jpg,Purple_Plus_Dots_4.jpg,Green_Triangle_Stripes_3.jpg,left,691.7300000786781,true,NA,NA,NA,NA,NA,NA,NA,NA,true
