workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
jsXX8fpC,3fhtjgyt9qduw7xo30k18rjdqjggpm,3jnqlm5ft8zgdc8d3vb7eqckngk2lk,jsXX8fpC,2020-0188,2020-11-15,04:19:11,05:24:54,NA,incomplete,0,shape,0,left,Green_Circle_Dots_3.jpg,Purple_Circle_Stripes_1.jpg,Green_Triangle_Grid_2.jpg,right,536.2749999994412,false,NA,NA,NA,NA,NA,NA,NA,NA,true
jsXX8fpC,3fhtjgyt9qduw7xo30k18rjdqjggpm,3jnqlm5ft8zgdc8d3vb7eqckngk2lk,jsXX8fpC,2020-0188,2020-11-15,04:19:11,05:24:54,NA,incomplete,1,shape,1,right,Green_Plus_Stripes_1.jpg,Green_Circle_Dots_4.jpg,Blue_Plus_Grid_3.jpg,right,1072.5300000007264,true,NA,NA,NA,NA,NA,NA,NA,NA,true
jsXX8fpC,3fhtjgyt9qduw7xo30k18rjdqjggpm,3jnqlm5ft8zgdc8d3vb7eqckngk2lk,jsXX8fpC,2020-0188,2020-11-15,04:19:11,05:24:54,NA,incomplete,2,shape,1,left,Red_Circle_Stripes_1.jpg,Purple_Circle_Dots_3.jpg,Red_Star_Grid_2.jpg,left,620.4400000004098,true,NA,NA,NA,NA,NA,NA,NA,NA,true
jsXX8fpC,3fhtjgyt9qduw7xo30k18rjdqjggpm,3jnqlm5ft8zgdc8d3vb7eqckngk2lk,jsXX8fpC,2020-0188,2020-11-15,04:19:11,05:24:54,NA,incomplete,3,shape,0,left,Blue_Triangle_Grid_3.jpg,Purple_Triangle_Chess_1.jpg,Blue_Plus_Stripes_4.jpg,left,780.4900000002235,true,NA,NA,NA,NA,NA,NA,NA,NA,true
jsXX8fpC,3fhtjgyt9qduw7xo30k18rjdqjggpm,3jnqlm5ft8zgdc8d3vb7eqckngk2lk,jsXX8fpC,2020-0188,2020-11-15,04:19:11,05:24:54,NA,incomplete,4,shape,0,left,Purple_Plus_Chess_1.jpg,Red_Plus_Dots_2.jpg,Purple_Star_Stripes_3.jpg,right,492.25499999988824,false,NA,NA,NA,NA,NA,NA,NA,NA,true
jsXX8fpC,3fhtjgyt9qduw7xo30k18rjdqjggpm,3jnqlm5ft8zgdc8d3vb7eqckngk2lk,jsXX8fpC,2020-0188,2020-11-15,04:19:11,05:24:54,NA,incomplete,5,shape,0,left,Green_Circle_Dots_4.jpg,Purple_Circle_Stripes_2.jpg,Green_Plus_Grid_1.jpg,left,673.1450000000186,true,NA,NA,NA,NA,NA,NA,NA,NA,true
jsXX8fpC,3fhtjgyt9qduw7xo30k18rjdqjggpm,3jnqlm5ft8zgdc8d3vb7eqckngk2lk,jsXX8fpC,2020-0188,2020-11-15,04:19:11,05:24:54,NA,incomplete,6,shape,1,left,Purple_Star_Dots_1.jpg,Red_Star_Stripes_4.jpg,Purple_Circle_Chess_2.jpg,left,813.7799999993294,true,NA,NA,NA,NA,NA,NA,NA,NA,true
jsXX8fpC,3fhtjgyt9qduw7xo30k18rjdqjggpm,3jnqlm5ft8zgdc8d3vb7eqckngk2lk,jsXX8fpC,2020-0188,2020-11-15,04:19:11,05:24:54,NA,incomplete,7,shape,1,left,Purple_Circle_Dots_4.jpg,Blue_Circle_Grid_2.jpg,Purple_Star_Chess_3.jpg,left,697.4149999995716,true,NA,NA,NA,NA,NA,NA,NA,NA,true
jsXX8fpC,3fhtjgyt9qduw7xo30k18rjdqjggpm,3jnqlm5ft8zgdc8d3vb7eqckngk2lk,jsXX8fpC,2020-0188,2020-11-15,04:19:11,05:24:54,NA,incomplete,8,shape,1,right,Green_Plus_Grid_4.jpg,Green_Star_Dots_1.jpg,Red_Plus_Chess_3.jpg,right,541.605000000447,true,NA,NA,NA,NA,NA,NA,NA,NA,true
jsXX8fpC,3fhtjgyt9qduw7xo30k18rjdqjggpm,3jnqlm5ft8zgdc8d3vb7eqckngk2lk,jsXX8fpC,2020-0188,2020-11-15,04:19:11,05:24:54,NA,incomplete,9,shape,1,left,Blue_Triangle_Grid_2.jpg,Purple_Triangle_Stripes_3.jpg,Blue_Circle_Chess_1.jpg,left,645.4050000002608,true,NA,NA,NA,NA,NA,NA,NA,NA,true
jsXX8fpC,3fhtjgyt9qduw7xo30k18rjdqjggpm,3jnqlm5ft8zgdc8d3vb7eqckngk2lk,jsXX8fpC,2020-0188,2020-11-15,04:19:11,05:24:54,NA,incomplete,10,shape,0,left,Red_Circle_Grid_1.jpg,Blue_Circle_Dots_3.jpg,Red_Star_Chess_4.jpg,left,634.7649999996647,true,NA,NA,NA,NA,NA,NA,NA,NA,true
jsXX8fpC,3fhtjgyt9qduw7xo30k18rjdqjggpm,3jnqlm5ft8zgdc8d3vb7eqckngk2lk,jsXX8fpC,2020-0188,2020-11-15,04:19:11,05:24:54,NA,incomplete,11,shape,1,left,Purple_Plus_Dots_4.jpg,Green_Plus_Chess_3.jpg,Purple_Circle_Grid_2.jpg,left,547.4250000007451,true,NA,NA,NA,NA,NA,NA,NA,NA,true
