workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
PaWDOqkU,33cla8o0nlo9ukh858i8v1jgjowfr3,3kyqyyshyzkbm79qdcbg2q7hf9mdol,PaWDOqkU,2020-0188,2020-05-07,15:17:14,15:39:59,NA,incomplete,0,number,1,left,Green_Triangle_Dots_4.jpg,Red_Circle_Chess_4.jpg,Purple_Star_Dots_1.jpg,left,1670.0549999950454,true,NA,NA,NA,NA,NA,NA,NA,NA,true
PaWDOqkU,33cla8o0nlo9ukh858i8v1jgjowfr3,3kyqyyshyzkbm79qdcbg2q7hf9mdol,PaWDOqkU,2020-0188,2020-05-07,15:17:14,15:39:59,NA,incomplete,1,number,0,right,Purple_Circle_Grid_3.jpg,Red_Star_Grid_2.jpg,Green_Plus_Dots_3.jpg,right,1031.5299999929266,true,NA,NA,NA,NA,NA,NA,NA,NA,true
PaWDOqkU,33cla8o0nlo9ukh858i8v1jgjowfr3,3kyqyyshyzkbm79qdcbg2q7hf9mdol,PaWDOqkU,2020-0188,2020-05-07,15:17:14,15:39:59,NA,incomplete,2,number,1,right,Red_Star_Dots_2.jpg,Green_Plus_Dots_1.jpg,Blue_Circle_Grid_2.jpg,right,826.2600000016391,true,NA,NA,NA,NA,NA,NA,NA,NA,true
PaWDOqkU,33cla8o0nlo9ukh858i8v1jgjowfr3,3kyqyyshyzkbm79qdcbg2q7hf9mdol,PaWDOqkU,2020-0188,2020-05-07,15:17:14,15:39:59,NA,incomplete,3,number,1,left,Purple_Plus_Chess_4.jpg,Blue_Star_Grid_4.jpg,Red_Triangle_Chess_2.jpg,left,832.6950000046054,true,NA,NA,NA,NA,NA,NA,NA,NA,true
PaWDOqkU,33cla8o0nlo9ukh858i8v1jgjowfr3,3kyqyyshyzkbm79qdcbg2q7hf9mdol,PaWDOqkU,2020-0188,2020-05-07,15:17:14,15:39:59,NA,incomplete,4,number,1,left,Green_Circle_Dots_1.jpg,Red_Triangle_Grid_1.jpg,Purple_Plus_Dots_2.jpg,left,725.1100000139559,true,NA,NA,NA,NA,NA,NA,NA,NA,true
PaWDOqkU,33cla8o0nlo9ukh858i8v1jgjowfr3,3kyqyyshyzkbm79qdcbg2q7hf9mdol,PaWDOqkU,2020-0188,2020-05-07,15:17:14,15:39:59,NA,incomplete,5,number,1,right,Red_Plus_Dots_2.jpg,Purple_Circle_Dots_4.jpg,Blue_Triangle_Grid_2.jpg,right,838.9750000060303,true,NA,NA,NA,NA,NA,NA,NA,NA,true
PaWDOqkU,33cla8o0nlo9ukh858i8v1jgjowfr3,3kyqyyshyzkbm79qdcbg2q7hf9mdol,PaWDOqkU,2020-0188,2020-05-07,15:17:14,15:39:59,NA,incomplete,6,number,1,right,Red_Circle_Grid_1.jpg,Purple_Star_Grid_2.jpg,Blue_Triangle_Chess_1.jpg,left,1159.3049999937648,false,NA,NA,NA,NA,NA,NA,NA,NA,true
PaWDOqkU,33cla8o0nlo9ukh858i8v1jgjowfr3,3kyqyyshyzkbm79qdcbg2q7hf9mdol,PaWDOqkU,2020-0188,2020-05-07,15:17:14,15:39:59,NA,incomplete,7,number,1,right,Green_Plus_Stripes_2.jpg,Red_Circle_Stripes_1.jpg,Blue_Triangle_Grid_2.jpg,right,1206.0099999944214,true,NA,NA,NA,NA,NA,NA,NA,NA,true
PaWDOqkU,33cla8o0nlo9ukh858i8v1jgjowfr3,3kyqyyshyzkbm79qdcbg2q7hf9mdol,PaWDOqkU,2020-0188,2020-05-07,15:17:14,15:39:59,NA,incomplete,8,number,1,left,Purple_Circle_Dots_3.jpg,Green_Star_Grid_3.jpg,Blue_Triangle_Dots_2.jpg,left,1059.689999994589,true,NA,NA,NA,NA,NA,NA,NA,NA,true
PaWDOqkU,33cla8o0nlo9ukh858i8v1jgjowfr3,3kyqyyshyzkbm79qdcbg2q7hf9mdol,PaWDOqkU,2020-0188,2020-05-07,15:17:14,15:39:59,NA,incomplete,9,number,1,left,Purple_Plus_Dots_1.jpg,Green_Circle_Chess_1.jpg,Red_Star_Dots_2.jpg,left,1001.3500000059139,true,NA,NA,NA,NA,NA,NA,NA,NA,true
PaWDOqkU,33cla8o0nlo9ukh858i8v1jgjowfr3,3kyqyyshyzkbm79qdcbg2q7hf9mdol,PaWDOqkU,2020-0188,2020-05-07,15:17:14,15:39:59,NA,incomplete,10,number,1,left,Purple_Triangle_Dots_4.jpg,Blue_Circle_Grid_4.jpg,Green_Plus_Dots_3.jpg,left,873.3100000099512,true,NA,NA,NA,NA,NA,NA,NA,NA,true
