workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,0,shape,0,left,Blue_Circle_Dots_4.jpg,Green_Circle_Chess_2.jpg,Purple_Triangle_Dots_1.jpg,left,713,true,NA,NA,NA,NA,NA,NA,NA,NA,true
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,1,shape,1,right,Purple_Circle_Dots_2.jpg,Blue_Triangle_Dots_3.jpg,Red_Circle_Stripes_4.jpg,right,697,true,NA,NA,NA,NA,NA,NA,NA,NA,true
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,2,shape,1,right,Green_Circle_Dots_4.jpg,Blue_Plus_Dots_3.jpg,Red_Circle_Chess_2.jpg,right,749,true,NA,NA,NA,NA,NA,NA,NA,NA,true
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,3,shape,1,left,Blue_Plus_Grid_1.jpg,Purple_Plus_Stripes_4.jpg,Green_Triangle_Grid_2.jpg,left,700,true,NA,NA,NA,NA,NA,NA,NA,NA,true
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,4,shape,1,right,Red_Triangle_Stripes_4.jpg,Green_Star_Stripes_1.jpg,Blue_Triangle_Chess_3.jpg,right,641,true,NA,NA,NA,NA,NA,NA,NA,NA,true
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,5,shape,1,left,Blue_Circle_Grid_4.jpg,Green_Circle_Dots_3.jpg,Red_Star_Grid_2.jpg,left,741,true,NA,NA,NA,NA,NA,NA,NA,NA,true
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,6,shape,1,left,Purple_Circle_Dots_4.jpg,Green_Circle_Stripes_3.jpg,Red_Plus_Dots_1.jpg,left,682,true,NA,NA,NA,NA,NA,NA,NA,NA,true
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,7,shape,1,left,Blue_Plus_Chess_2.jpg,Red_Plus_Dots_3.jpg,Purple_Circle_Chess_1.jpg,left,736,true,NA,NA,NA,NA,NA,NA,NA,NA,true
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,8,shape,1,right,Purple_Plus_Stripes_4.jpg,Green_Circle_Stripes_2.jpg,Red_Plus_Grid_1.jpg,right,717,true,NA,NA,NA,NA,NA,NA,NA,NA,true
mTbKWGVi,3en4yvuovf59wipgxxflzhxwdchjxp,3lep4mgt3kdr3dkh976uw67i8e3dbp,mTbKWGVi,2020-0188,2020-05-08,11:06:14,11:23:17,NA,incomplete,9,shape,1,left,Green_Triangle_Grid_2.jpg,Red_Triangle_Stripes_3.jpg,Blue_Star_Grid_4.jpg,left,564,true,NA,NA,NA,NA,NA,NA,NA,NA,true
