workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
hdhQZw3b,33ixyhizc8v0km0rv7j1cbq82t9e2g,3rwe2m8qwlnz528k0ln88unuvdr0nr,hdhQZw3b,2020-0188,2020-11-14,22:08:48,22:26:59,NA,incomplete,0,number,1,left,Blue_Circle_Chess_4.jpg,Purple_Star_Grid_4.jpg,Blue_Plus_Stripes_1.jpg,left,1422,true,NA,true
hdhQZw3b,33ixyhizc8v0km0rv7j1cbq82t9e2g,3rwe2m8qwlnz528k0ln88unuvdr0nr,hdhQZw3b,2020-0188,2020-11-14,22:08:48,22:26:59,NA,incomplete,1,number,1,right,Green_Triangle_Grid_1.jpg,Green_Star_Chess_4.jpg,Purple_Plus_Dots_1.jpg,right,954,true,NA,true
hdhQZw3b,33ixyhizc8v0km0rv7j1cbq82t9e2g,3rwe2m8qwlnz528k0ln88unuvdr0nr,hdhQZw3b,2020-0188,2020-11-14,22:08:48,22:26:59,NA,incomplete,2,number,1,right,Blue_Triangle_Dots_1.jpg,Blue_Plus_Grid_3.jpg,Purple_Circle_Stripes_1.jpg,right,935,true,NA,true
hdhQZw3b,33ixyhizc8v0km0rv7j1cbq82t9e2g,3rwe2m8qwlnz528k0ln88unuvdr0nr,hdhQZw3b,2020-0188,2020-11-14,22:08:48,22:26:59,NA,incomplete,3,number,1,left,Purple_Star_Chess_3.jpg,Red_Triangle_Stripes_3.jpg,Purple_Plus_Grid_4.jpg,left,782,true,NA,true
hdhQZw3b,33ixyhizc8v0km0rv7j1cbq82t9e2g,3rwe2m8qwlnz528k0ln88unuvdr0nr,hdhQZw3b,2020-0188,2020-11-14,22:08:48,22:26:59,NA,incomplete,4,number,1,right,Green_Star_Dots_4.jpg,Green_Triangle_Grid_3.jpg,Red_Circle_Stripes_4.jpg,right,946,true,NA,true
hdhQZw3b,33ixyhizc8v0km0rv7j1cbq82t9e2g,3rwe2m8qwlnz528k0ln88unuvdr0nr,hdhQZw3b,2020-0188,2020-11-14,22:08:48,22:26:59,NA,incomplete,5,number,1,right,Purple_Star_Grid_1.jpg,Purple_Triangle_Chess_2.jpg,Blue_Circle_Stripes_1.jpg,right,882,true,NA,true
hdhQZw3b,33ixyhizc8v0km0rv7j1cbq82t9e2g,3rwe2m8qwlnz528k0ln88unuvdr0nr,hdhQZw3b,2020-0188,2020-11-14,22:08:48,22:26:59,NA,incomplete,6,number,1,right,Green_Star_Chess_1.jpg,Green_Circle_Dots_2.jpg,Blue_Triangle_Grid_1.jpg,right,1160,true,NA,true
hdhQZw3b,33ixyhizc8v0km0rv7j1cbq82t9e2g,3rwe2m8qwlnz528k0ln88unuvdr0nr,hdhQZw3b,2020-0188,2020-11-14,22:08:48,22:26:59,NA,incomplete,7,number,0,left,Purple_Circle_Grid_2.jpg,Blue_Star_Dots_2.jpg,Purple_Plus_Chess_4.jpg,left,697,true,NA,true
hdhQZw3b,33ixyhizc8v0km0rv7j1cbq82t9e2g,3rwe2m8qwlnz528k0ln88unuvdr0nr,hdhQZw3b,2020-0188,2020-11-14,22:08:48,22:26:59,NA,incomplete,8,number,1,left,Purple_Plus_Stripes_3.jpg,Blue_Star_Chess_3.jpg,Purple_Circle_Grid_2.jpg,left,737,true,NA,true
hdhQZw3b,33ixyhizc8v0km0rv7j1cbq82t9e2g,3rwe2m8qwlnz528k0ln88unuvdr0nr,hdhQZw3b,2020-0188,2020-11-14,22:08:48,22:26:59,NA,incomplete,9,number,1,left,Blue_Circle_Dots_2.jpg,Green_Triangle_Grid_2.jpg,Blue_Star_Stripes_1.jpg,left,722,true,NA,true
hdhQZw3b,33ixyhizc8v0km0rv7j1cbq82t9e2g,3rwe2m8qwlnz528k0ln88unuvdr0nr,hdhQZw3b,2020-0188,2020-11-14,22:08:48,22:26:59,NA,incomplete,10,number,1,left,Green_Star_Dots_1.jpg,Purple_Circle_Grid_1.jpg,Green_Plus_Stripes_2.jpg,right,529,false,NA,true
hdhQZw3b,33ixyhizc8v0km0rv7j1cbq82t9e2g,3rwe2m8qwlnz528k0ln88unuvdr0nr,hdhQZw3b,2020-0188,2020-11-14,22:08:48,22:26:59,NA,incomplete,11,number,0,right,Blue_Circle_Dots_3.jpg,Blue_Triangle_Stripes_2.jpg,Purple_Star_Grid_3.jpg,right,862,true,NA,true
hdhQZw3b,33ixyhizc8v0km0rv7j1cbq82t9e2g,3rwe2m8qwlnz528k0ln88unuvdr0nr,hdhQZw3b,2020-0188,2020-11-14,22:08:48,22:26:59,NA,incomplete,12,number,1,right,Red_Star_Dots_1.jpg,Red_Circle_Stripes_4.jpg,Purple_Triangle_Chess_1.jpg,right,1648,true,NA,true
hdhQZw3b,33ixyhizc8v0km0rv7j1cbq82t9e2g,3rwe2m8qwlnz528k0ln88unuvdr0nr,hdhQZw3b,2020-0188,2020-11-14,22:08:48,22:26:59,NA,incomplete,13,number,0,left,Blue_Plus_Stripes_4.jpg,Green_Triangle_Chess_4.jpg,Blue_Circle_Grid_3.jpg,left,1039,true,NA,true
hdhQZw3b,33ixyhizc8v0km0rv7j1cbq82t9e2g,3rwe2m8qwlnz528k0ln88unuvdr0nr,hdhQZw3b,2020-0188,2020-11-14,22:08:48,22:26:59,NA,incomplete,14,number,0,left,Purple_Circle_Grid_4.jpg,Red_Plus_Dots_4.jpg,Purple_Star_Stripes_2.jpg,left,994,true,NA,true
hdhQZw3b,33ixyhizc8v0km0rv7j1cbq82t9e2g,3rwe2m8qwlnz528k0ln88unuvdr0nr,hdhQZw3b,2020-0188,2020-11-14,22:08:48,22:26:59,NA,incomplete,15,number,0,right,Purple_Triangle_Chess_2.jpg,Purple_Star_Dots_1.jpg,Red_Plus_Stripes_2.jpg,right,683,true,NA,true
hdhQZw3b,33ixyhizc8v0km0rv7j1cbq82t9e2g,3rwe2m8qwlnz528k0ln88unuvdr0nr,hdhQZw3b,2020-0188,2020-11-14,22:08:48,22:26:59,NA,incomplete,16,number,1,right,Red_Star_Dots_3.jpg,Red_Plus_Chess_2.jpg,Green_Circle_Stripes_3.jpg,right,1033,true,NA,true
hdhQZw3b,33ixyhizc8v0km0rv7j1cbq82t9e2g,3rwe2m8qwlnz528k0ln88unuvdr0nr,hdhQZw3b,2020-0188,2020-11-14,22:08:48,22:26:59,NA,incomplete,17,number,1,right,Green_Triangle_Grid_1.jpg,Green_Circle_Chess_2.jpg,Blue_Plus_Stripes_1.jpg,right,745,true,NA,true
hdhQZw3b,33ixyhizc8v0km0rv7j1cbq82t9e2g,3rwe2m8qwlnz528k0ln88unuvdr0nr,hdhQZw3b,2020-0188,2020-11-14,22:08:48,22:26:59,NA,incomplete,18,number,0,right,Red_Star_Dots_2.jpg,Red_Plus_Chess_3.jpg,Purple_Circle_Grid_2.jpg,right,824,true,NA,true
hdhQZw3b,33ixyhizc8v0km0rv7j1cbq82t9e2g,3rwe2m8qwlnz528k0ln88unuvdr0nr,hdhQZw3b,2020-0188,2020-11-14,22:08:48,22:26:59,NA,incomplete,19,number,1,left,Purple_Star_Chess_3.jpg,Red_Circle_Stripes_3.jpg,Purple_Plus_Grid_1.jpg,left,602,true,NA,true
hdhQZw3b,33ixyhizc8v0km0rv7j1cbq82t9e2g,3rwe2m8qwlnz528k0ln88unuvdr0nr,hdhQZw3b,2020-0188,2020-11-14,22:08:48,22:26:59,NA,incomplete,20,color,1,right,Green_Star_Chess_2.jpg,Red_Plus_Stripes_2.jpg,Green_Circle_Grid_1.jpg,left,812,false,NA,true
