workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
FVGCyN3I,3b6f54kms5pu5knddy3sw9ki4gws13,3txd01zld8utzgaugnmwys50kk8u4x,FVGCyN3I,2020-0188,2020-05-07,21:49:17,22:23:23,NA,incomplete,0,number,1,left,Green_Plus_Grid_2.jpg,Red_Star_Chess_2.jpg,Green_Circle_Dots_1.jpg,left,1341.7049999115989,true,NA,NA,NA,NA,NA,NA,NA,NA,true
FVGCyN3I,3b6f54kms5pu5knddy3sw9ki4gws13,3txd01zld8utzgaugnmwys50kk8u4x,FVGCyN3I,2020-0188,2020-05-07,21:49:17,22:23:23,NA,incomplete,1,number,1,right,Red_Plus_Stripes_1.jpg,Red_Star_Grid_3.jpg,Blue_Triangle_Dots_1.jpg,right,1060.7249999884516,true,NA,NA,NA,NA,NA,NA,NA,NA,true
FVGCyN3I,3b6f54kms5pu5knddy3sw9ki4gws13,3txd01zld8utzgaugnmwys50kk8u4x,FVGCyN3I,2020-0188,2020-05-07,21:49:17,22:23:23,NA,incomplete,2,number,1,right,Purple_Plus_Chess_3.jpg,Purple_Star_Dots_2.jpg,Blue_Circle_Stripes_3.jpg,right,1174.9849999323487,true,NA,NA,NA,NA,NA,NA,NA,NA,true
FVGCyN3I,3b6f54kms5pu5knddy3sw9ki4gws13,3txd01zld8utzgaugnmwys50kk8u4x,FVGCyN3I,2020-0188,2020-05-07,21:49:17,22:23:23,NA,incomplete,3,number,1,right,Red_Plus_Grid_1.jpg,Red_Circle_Dots_3.jpg,Purple_Triangle_Stripes_1.jpg,right,1460.910000023432,true,NA,NA,NA,NA,NA,NA,NA,NA,true
FVGCyN3I,3b6f54kms5pu5knddy3sw9ki4gws13,3txd01zld8utzgaugnmwys50kk8u4x,FVGCyN3I,2020-0188,2020-05-07,21:49:17,22:23:23,NA,incomplete,4,number,0,right,Green_Star_Stripes_4.jpg,Green_Plus_Dots_2.jpg,Red_Circle_Grid_4.jpg,left,1638.8100000331178,false,NA,NA,NA,NA,NA,NA,NA,NA,true
FVGCyN3I,3b6f54kms5pu5knddy3sw9ki4gws13,3txd01zld8utzgaugnmwys50kk8u4x,FVGCyN3I,2020-0188,2020-05-07,21:49:17,22:23:23,NA,incomplete,5,number,1,right,Blue_Triangle_Chess_4.jpg,Blue_Star_Dots_3.jpg,Red_Plus_Stripes_4.jpg,left,1377.7250000275671,false,NA,NA,NA,NA,NA,NA,NA,NA,true
FVGCyN3I,3b6f54kms5pu5knddy3sw9ki4gws13,3txd01zld8utzgaugnmwys50kk8u4x,FVGCyN3I,2020-0188,2020-05-07,21:49:17,22:23:23,NA,incomplete,6,number,1,right,Red_Plus_Chess_4.jpg,Red_Triangle_Stripes_2.jpg,Blue_Circle_Grid_4.jpg,left,1455.409999936819,false,NA,NA,NA,NA,NA,NA,NA,NA,true
FVGCyN3I,3b6f54kms5pu5knddy3sw9ki4gws13,3txd01zld8utzgaugnmwys50kk8u4x,FVGCyN3I,2020-0188,2020-05-07,21:49:17,22:23:23,NA,incomplete,7,number,1,right,Red_Star_Stripes_3.jpg,Red_Triangle_Grid_4.jpg,Purple_Circle_Chess_3.jpg,right,1305.9249999932945,true,NA,NA,NA,NA,NA,NA,NA,NA,true
FVGCyN3I,3b6f54kms5pu5knddy3sw9ki4gws13,3txd01zld8utzgaugnmwys50kk8u4x,FVGCyN3I,2020-0188,2020-05-07,21:49:17,22:23:23,NA,incomplete,8,number,0,right,Green_Star_Dots_3.jpg,Green_Circle_Chess_2.jpg,Purple_Plus_Grid_3.jpg,right,794.0250000683591,true,NA,NA,NA,NA,NA,NA,NA,NA,true
FVGCyN3I,3b6f54kms5pu5knddy3sw9ki4gws13,3txd01zld8utzgaugnmwys50kk8u4x,FVGCyN3I,2020-0188,2020-05-07,21:49:17,22:23:23,NA,incomplete,9,number,0,right,Blue_Circle_Dots_3.jpg,Blue_Triangle_Stripes_2.jpg,Green_Plus_Grid_3.jpg,right,670.8099999232218,true,NA,NA,NA,NA,NA,NA,NA,NA,true
FVGCyN3I,3b6f54kms5pu5knddy3sw9ki4gws13,3txd01zld8utzgaugnmwys50kk8u4x,FVGCyN3I,2020-0188,2020-05-07,21:49:17,22:23:23,NA,incomplete,10,number,1,right,Red_Plus_Grid_3.jpg,Red_Triangle_Stripes_1.jpg,Green_Star_Dots_3.jpg,right,632.5000000651926,true,NA,NA,NA,NA,NA,NA,NA,NA,true
FVGCyN3I,3b6f54kms5pu5knddy3sw9ki4gws13,3txd01zld8utzgaugnmwys50kk8u4x,FVGCyN3I,2020-0188,2020-05-07,21:49:17,22:23:23,NA,incomplete,11,number,0,left,Red_Triangle_Stripes_2.jpg,Blue_Plus_Grid_2.jpg,Red_Star_Dots_4.jpg,left,812.1099999407306,true,NA,NA,NA,NA,NA,NA,NA,NA,true
FVGCyN3I,3b6f54kms5pu5knddy3sw9ki4gws13,3txd01zld8utzgaugnmwys50kk8u4x,FVGCyN3I,2020-0188,2020-05-07,21:49:17,22:23:23,NA,incomplete,12,number,1,left,Green_Triangle_Chess_2.jpg,Blue_Circle_Dots_2.jpg,Green_Plus_Grid_1.jpg,left,720.6800000276417,true,NA,NA,NA,NA,NA,NA,NA,NA,true
FVGCyN3I,3b6f54kms5pu5knddy3sw9ki4gws13,3txd01zld8utzgaugnmwys50kk8u4x,FVGCyN3I,2020-0188,2020-05-07,21:49:17,22:23:23,NA,incomplete,13,number,0,right,Green_Circle_Stripes_1.jpg,Green_Plus_Chess_4.jpg,Red_Triangle_Dots_1.jpg,right,623.8750000484288,true,NA,NA,NA,NA,NA,NA,NA,NA,true
FVGCyN3I,3b6f54kms5pu5knddy3sw9ki4gws13,3txd01zld8utzgaugnmwys50kk8u4x,FVGCyN3I,2020-0188,2020-05-07,21:49:17,22:23:23,NA,incomplete,14,number,0,left,Green_Circle_Dots_2.jpg,Purple_Star_Chess_2.jpg,Green_Plus_Stripes_4.jpg,left,641.7349999537691,true,NA,NA,NA,NA,NA,NA,NA,NA,true
FVGCyN3I,3b6f54kms5pu5knddy3sw9ki4gws13,3txd01zld8utzgaugnmwys50kk8u4x,FVGCyN3I,2020-0188,2020-05-07,21:49:17,22:23:23,NA,incomplete,15,number,1,left,Green_Plus_Dots_3.jpg,Purple_Circle_Grid_3.jpg,Green_Star_Stripes_4.jpg,left,830.1949999295175,true,NA,NA,NA,NA,NA,NA,NA,NA,true
FVGCyN3I,3b6f54kms5pu5knddy3sw9ki4gws13,3txd01zld8utzgaugnmwys50kk8u4x,FVGCyN3I,2020-0188,2020-05-07,21:49:17,22:23:23,NA,incomplete,16,number,1,right,Purple_Star_Stripes_4.jpg,Purple_Plus_Grid_2.jpg,Red_Triangle_Chess_4.jpg,right,761.8700000457466,true,NA,NA,NA,NA,NA,NA,NA,NA,true
FVGCyN3I,3b6f54kms5pu5knddy3sw9ki4gws13,3txd01zld8utzgaugnmwys50kk8u4x,FVGCyN3I,2020-0188,2020-05-07,21:49:17,22:23:23,NA,incomplete,17,number,1,right,Red_Triangle_Chess_1.jpg,Red_Star_Stripes_4.jpg,Blue_Circle_Dots_1.jpg,right,688.384999986738,true,NA,NA,NA,NA,NA,NA,NA,NA,true
FVGCyN3I,3b6f54kms5pu5knddy3sw9ki4gws13,3txd01zld8utzgaugnmwys50kk8u4x,FVGCyN3I,2020-0188,2020-05-07,21:49:17,22:23:23,NA,incomplete,18,number,1,left,Green_Plus_Dots_2.jpg,Red_Star_Stripes_2.jpg,Green_Circle_Chess_3.jpg,left,689.4350000657141,true,NA,NA,NA,NA,NA,NA,NA,NA,true
