workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
czVkjAj9,3hy86pzxq1vtv1ivc3jn7sg3anve1z,3urfvvm169v92dyj1gcmsoialg7uz9,czVkjAj9,2020-0188,2020-11-14,23:36:20,23:51:15,NA,incomplete,0,number,1,left,Green_Plus_Grid_4.jpg,Blue_Triangle_Chess_4.jpg,Green_Star_Stripes_3.jpg,none,0,false,NA,true
czVkjAj9,3hy86pzxq1vtv1ivc3jn7sg3anve1z,3urfvvm169v92dyj1gcmsoialg7uz9,czVkjAj9,2020-0188,2020-11-14,23:36:20,23:51:15,NA,incomplete,1,number,1,right,Blue_Circle_Grid_3.jpg,Blue_Star_Stripes_4.jpg,Purple_Triangle_Dots_3.jpg,right,1406.97499999078,true,NA,true
czVkjAj9,3hy86pzxq1vtv1ivc3jn7sg3anve1z,3urfvvm169v92dyj1gcmsoialg7uz9,czVkjAj9,2020-0188,2020-11-14,23:36:20,23:51:15,NA,incomplete,2,number,1,right,Blue_Star_Chess_4.jpg,Blue_Plus_Dots_1.jpg,Purple_Triangle_Stripes_4.jpg,right,943.2949999463744,true,NA,true
czVkjAj9,3hy86pzxq1vtv1ivc3jn7sg3anve1z,3urfvvm169v92dyj1gcmsoialg7uz9,czVkjAj9,2020-0188,2020-11-14,23:36:20,23:51:15,NA,incomplete,3,number,0,right,Red_Circle_Chess_2.jpg,Red_Triangle_Stripes_1.jpg,Purple_Star_Dots_2.jpg,right,1410.5899999849498,true,NA,true
czVkjAj9,3hy86pzxq1vtv1ivc3jn7sg3anve1z,3urfvvm169v92dyj1gcmsoialg7uz9,czVkjAj9,2020-0188,2020-11-14,23:36:20,23:51:15,NA,incomplete,4,number,0,left,Purple_Plus_Grid_3.jpg,Green_Star_Chess_3.jpg,Purple_Triangle_Stripes_1.jpg,left,1358.879999956116,true,NA,true
czVkjAj9,3hy86pzxq1vtv1ivc3jn7sg3anve1z,3urfvvm169v92dyj1gcmsoialg7uz9,czVkjAj9,2020-0188,2020-11-14,23:36:20,23:51:15,NA,incomplete,5,number,1,left,Red_Triangle_Chess_2.jpg,Purple_Star_Dots_2.jpg,Red_Circle_Stripes_3.jpg,left,1615.410000027623,true,NA,true
czVkjAj9,3hy86pzxq1vtv1ivc3jn7sg3anve1z,3urfvvm169v92dyj1gcmsoialg7uz9,czVkjAj9,2020-0188,2020-11-14,23:36:20,23:51:15,NA,incomplete,6,number,1,right,Green_Star_Chess_4.jpg,Green_Plus_Grid_2.jpg,Purple_Circle_Stripes_4.jpg,right,1241.6150000062771,true,NA,true
czVkjAj9,3hy86pzxq1vtv1ivc3jn7sg3anve1z,3urfvvm169v92dyj1gcmsoialg7uz9,czVkjAj9,2020-0188,2020-11-14,23:36:20,23:51:15,NA,incomplete,7,number,1,left,Purple_Triangle_Stripes_1.jpg,Blue_Plus_Grid_1.jpg,Purple_Star_Chess_2.jpg,right,1360.0000000442378,false,NA,true
czVkjAj9,3hy86pzxq1vtv1ivc3jn7sg3anve1z,3urfvvm169v92dyj1gcmsoialg7uz9,czVkjAj9,2020-0188,2020-11-14,23:36:20,23:51:15,NA,incomplete,8,number,0,right,Red_Triangle_Grid_1.jpg,Red_Plus_Stripes_2.jpg,Blue_Circle_Dots_1.jpg,right,1806.9050000049174,true,NA,true
czVkjAj9,3hy86pzxq1vtv1ivc3jn7sg3anve1z,3urfvvm169v92dyj1gcmsoialg7uz9,czVkjAj9,2020-0188,2020-11-14,23:36:20,23:51:15,NA,incomplete,9,number,0,left,Green_Triangle_Stripes_4.jpg,Red_Star_Grid_4.jpg,Green_Circle_Chess_2.jpg,left,1402.9500000178814,true,NA,true
