workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
sf7ZQBOf,385mdvingfsu7ikqnsjzxyjp4abjww,3zr9aiqjufmdjuyeig8c9lht4xd04d,sf7ZQBOf,2020-0188,2020-05-08,10:46:21,11:02:07,NA,incomplete,0,shape,1,left,Blue_Star_Dots_1.jpg,Red_Star_Stripes_2.jpg,Purple_Plus_Chess_1.jpg,left,1637,true,NA,NA,NA,NA,NA,NA,NA,NA,true
sf7ZQBOf,385mdvingfsu7ikqnsjzxyjp4abjww,3zr9aiqjufmdjuyeig8c9lht4xd04d,sf7ZQBOf,2020-0188,2020-05-08,10:46:21,11:02:07,NA,incomplete,1,shape,1,right,Blue_Circle_Chess_2.jpg,Red_Plus_Dots_2.jpg,Green_Circle_Grid_4.jpg,right,1381,true,NA,NA,NA,NA,NA,NA,NA,NA,true
sf7ZQBOf,385mdvingfsu7ikqnsjzxyjp4abjww,3zr9aiqjufmdjuyeig8c9lht4xd04d,sf7ZQBOf,2020-0188,2020-05-08,10:46:21,11:02:07,NA,incomplete,2,shape,1,left,Blue_Star_Grid_1.jpg,Red_Star_Dots_3.jpg,Green_Triangle_Chess_1.jpg,left,1272,true,NA,NA,NA,NA,NA,NA,NA,NA,true
sf7ZQBOf,385mdvingfsu7ikqnsjzxyjp4abjww,3zr9aiqjufmdjuyeig8c9lht4xd04d,sf7ZQBOf,2020-0188,2020-05-08,10:46:21,11:02:07,NA,incomplete,3,shape,0,right,Green_Circle_Grid_3.jpg,Purple_Plus_Stripes_3.jpg,Red_Circle_Dots_2.jpg,right,976,true,NA,NA,NA,NA,NA,NA,NA,NA,true
sf7ZQBOf,385mdvingfsu7ikqnsjzxyjp4abjww,3zr9aiqjufmdjuyeig8c9lht4xd04d,sf7ZQBOf,2020-0188,2020-05-08,10:46:21,11:02:07,NA,incomplete,4,shape,1,left,Purple_Plus_Stripes_3.jpg,Green_Plus_Dots_4.jpg,Blue_Circle_Grid_3.jpg,left,1220,true,NA,NA,NA,NA,NA,NA,NA,NA,true
sf7ZQBOf,385mdvingfsu7ikqnsjzxyjp4abjww,3zr9aiqjufmdjuyeig8c9lht4xd04d,sf7ZQBOf,2020-0188,2020-05-08,10:46:21,11:02:07,NA,incomplete,5,shape,1,left,Red_Triangle_Grid_1.jpg,Blue_Triangle_Chess_3.jpg,Purple_Star_Stripes_1.jpg,left,1220,true,NA,NA,NA,NA,NA,NA,NA,NA,true
sf7ZQBOf,385mdvingfsu7ikqnsjzxyjp4abjww,3zr9aiqjufmdjuyeig8c9lht4xd04d,sf7ZQBOf,2020-0188,2020-05-08,10:46:21,11:02:07,NA,incomplete,6,shape,1,right,Green_Star_Dots_2.jpg,Red_Plus_Grid_2.jpg,Blue_Star_Chess_1.jpg,right,1093,true,NA,NA,NA,NA,NA,NA,NA,NA,true
sf7ZQBOf,385mdvingfsu7ikqnsjzxyjp4abjww,3zr9aiqjufmdjuyeig8c9lht4xd04d,sf7ZQBOf,2020-0188,2020-05-08,10:46:21,11:02:07,NA,incomplete,7,shape,1,left,Blue_Triangle_Grid_3.jpg,Red_Triangle_Dots_1.jpg,Purple_Circle_Chess_3.jpg,left,1237,true,NA,NA,NA,NA,NA,NA,NA,NA,true
sf7ZQBOf,385mdvingfsu7ikqnsjzxyjp4abjww,3zr9aiqjufmdjuyeig8c9lht4xd04d,sf7ZQBOf,2020-0188,2020-05-08,10:46:21,11:02:07,NA,incomplete,8,shape,1,left,Green_Circle_Grid_1.jpg,Red_Circle_Stripes_2.jpg,Blue_Triangle_Chess_1.jpg,left,1021,true,NA,NA,NA,NA,NA,NA,NA,NA,true
sf7ZQBOf,385mdvingfsu7ikqnsjzxyjp4abjww,3zr9aiqjufmdjuyeig8c9lht4xd04d,sf7ZQBOf,2020-0188,2020-05-08,10:46:21,11:02:07,NA,incomplete,9,shape,1,left,Purple_Star_Grid_3.jpg,Green_Star_Dots_4.jpg,Blue_Triangle_Stripes_3.jpg,left,1216,true,NA,NA,NA,NA,NA,NA,NA,NA,true
