workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
PW4NRjZw,3eawoid6nwaaqnjzba4xtrlfy89v0t,30budkltxh8u63h84sq1z2pb1je5em,PW4NRjZw,2020-0188,2020-05-21,15:21:26,15:46:11,NA,incomplete,0,shape,1,left,Green_Circle_Chess_2.jpg,Blue_Circle_Dots_4.jpg,Green_Triangle_Grid_3.jpg,right,886.4450000110082,false,NA,NA,NA,NA,NA,NA,NA,NA,true
PW4NRjZw,3eawoid6nwaaqnjzba4xtrlfy89v0t,30budkltxh8u63h84sq1z2pb1je5em,PW4NRjZw,2020-0188,2020-05-21,15:21:26,15:46:11,NA,incomplete,1,shape,1,left,Purple_Triangle_Dots_3.jpg,Green_Triangle_Stripes_1.jpg,Purple_Circle_Grid_4.jpg,left,989.5399999804795,true,NA,NA,NA,NA,NA,NA,NA,NA,true
PW4NRjZw,3eawoid6nwaaqnjzba4xtrlfy89v0t,30budkltxh8u63h84sq1z2pb1je5em,PW4NRjZw,2020-0188,2020-05-21,15:21:26,15:46:11,NA,incomplete,2,shape,1,right,Purple_Circle_Stripes_1.jpg,Purple_Star_Chess_2.jpg,Green_Circle_Dots_4.jpg,right,1130.7849999866448,true,NA,NA,NA,NA,NA,NA,NA,NA,true
PW4NRjZw,3eawoid6nwaaqnjzba4xtrlfy89v0t,30budkltxh8u63h84sq1z2pb1je5em,PW4NRjZw,2020-0188,2020-05-21,15:21:26,15:46:11,NA,incomplete,3,shape,1,right,Purple_Triangle_Grid_1.jpg,Purple_Star_Stripes_4.jpg,Blue_Triangle_Dots_3.jpg,right,849.1950000170618,true,NA,NA,NA,NA,NA,NA,NA,NA,true
PW4NRjZw,3eawoid6nwaaqnjzba4xtrlfy89v0t,30budkltxh8u63h84sq1z2pb1je5em,PW4NRjZw,2020-0188,2020-05-21,15:21:26,15:46:11,NA,incomplete,4,shape,1,right,Blue_Triangle_Chess_1.jpg,Blue_Plus_Stripes_2.jpg,Purple_Triangle_Dots_4.jpg,right,866.0200000158511,true,NA,NA,NA,NA,NA,NA,NA,NA,true
PW4NRjZw,3eawoid6nwaaqnjzba4xtrlfy89v0t,30budkltxh8u63h84sq1z2pb1je5em,PW4NRjZw,2020-0188,2020-05-21,15:21:26,15:46:11,NA,incomplete,5,shape,1,left,Purple_Star_Stripes_1.jpg,Blue_Star_Grid_4.jpg,Purple_Plus_Chess_3.jpg,left,802.9800000367686,true,NA,NA,NA,NA,NA,NA,NA,NA,true
PW4NRjZw,3eawoid6nwaaqnjzba4xtrlfy89v0t,30budkltxh8u63h84sq1z2pb1je5em,PW4NRjZw,2020-0188,2020-05-21,15:21:26,15:46:11,NA,incomplete,6,shape,1,left,Blue_Plus_Chess_1.jpg,Purple_Plus_Grid_2.jpg,Blue_Circle_Dots_4.jpg,left,767.4199999892153,true,NA,NA,NA,NA,NA,NA,NA,NA,true
PW4NRjZw,3eawoid6nwaaqnjzba4xtrlfy89v0t,30budkltxh8u63h84sq1z2pb1je5em,PW4NRjZw,2020-0188,2020-05-21,15:21:26,15:46:11,NA,incomplete,7,shape,0,right,Purple_Star_Stripes_4.jpg,Purple_Triangle_Chess_1.jpg,Blue_Star_Grid_3.jpg,right,635.454999981448,true,NA,NA,NA,NA,NA,NA,NA,NA,true
PW4NRjZw,3eawoid6nwaaqnjzba4xtrlfy89v0t,30budkltxh8u63h84sq1z2pb1je5em,PW4NRjZw,2020-0188,2020-05-21,15:21:26,15:46:11,NA,incomplete,8,shape,1,right,Green_Triangle_Dots_4.jpg,Green_Plus_Grid_2.jpg,Red_Triangle_Chess_3.jpg,right,848.9599999738857,true,NA,NA,NA,NA,NA,NA,NA,NA,true
PW4NRjZw,3eawoid6nwaaqnjzba4xtrlfy89v0t,30budkltxh8u63h84sq1z2pb1je5em,PW4NRjZw,2020-0188,2020-05-21,15:21:26,15:46:11,NA,incomplete,9,shape,1,right,Blue_Plus_Dots_1.jpg,Blue_Circle_Stripes_3.jpg,Red_Plus_Grid_2.jpg,right,878.6800000234507,true,NA,NA,NA,NA,NA,NA,NA,NA,true
