workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,0,number,0,right,Red_Plus_Chess_2.jpg,Green_Star_Chess_3.jpg,Blue_Circle_Stripes_2.jpg,right,1723,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,1,number,1,left,Green_Circle_Dots_1.jpg,Purple_Plus_Stripes_1.jpg,Blue_Triangle_Dots_2.jpg,left,1857,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,2,number,1,left,Red_Triangle_Stripes_2.jpg,Green_Circle_Chess_2.jpg,Blue_Star_Stripes_3.jpg,left,1232,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,3,number,1,left,Purple_Triangle_Grid_3.jpg,Green_Star_Chess_3.jpg,Blue_Plus_Grid_2.jpg,left,1649,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,4,number,0,left,Blue_Triangle_Grid_1.jpg,Purple_Circle_Stripes_1.jpg,Red_Star_Grid_4.jpg,left,1073,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,5,number,1,right,Red_Triangle_Stripes_4.jpg,Green_Plus_Stripes_3.jpg,Purple_Circle_Grid_4.jpg,right,1304,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,6,number,1,right,Red_Plus_Chess_4.jpg,Blue_Triangle_Chess_1.jpg,Green_Circle_Stripes_4.jpg,right,1246,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,7,number,0,left,Green_Plus_Chess_4.jpg,Blue_Star_Dots_4.jpg,Purple_Circle_Chess_2.jpg,left,1129,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,8,number,1,left,Purple_Triangle_Dots_3.jpg,Green_Star_Chess_3.jpg,Blue_Circle_Dots_4.jpg,left,1107,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,9,number,1,left,Red_Plus_Dots_3.jpg,Blue_Star_Stripes_3.jpg,Green_Triangle_Dots_1.jpg,left,1019,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,10,number,0,left,Blue_Triangle_Grid_2.jpg,Green_Star_Dots_2.jpg,Red_Circle_Grid_1.jpg,left,1085,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,11,number,1,right,Red_Circle_Chess_2.jpg,Blue_Triangle_Chess_1.jpg,Purple_Star_Dots_2.jpg,right,974,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,12,number,1,right,Red_Triangle_Dots_1.jpg,Purple_Plus_Dots_4.jpg,Green_Circle_Stripes_1.jpg,right,1071,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,13,number,1,left,Purple_Plus_Grid_2.jpg,Blue_Circle_Chess_2.jpg,Green_Triangle_Grid_3.jpg,left,1173,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,14,number,1,left,Green_Triangle_Dots_1.jpg,Blue_Plus_Chess_1.jpg,Purple_Star_Dots_4.jpg,left,1090,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,15,number,1,right,Blue_Plus_Stripes_1.jpg,Purple_Triangle_Stripes_4.jpg,Green_Circle_Chess_1.jpg,right,1000,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,16,number,1,right,Red_Triangle_Chess_3.jpg,Purple_Circle_Chess_2.jpg,Blue_Star_Grid_3.jpg,right,986,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,17,number,1,right,Green_Circle_Dots_1.jpg,Purple_Triangle_Dots_3.jpg,Blue_Plus_Chess_1.jpg,right,982,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,18,number,0,left,Red_Triangle_Chess_1.jpg,Blue_Plus_Stripes_1.jpg,Purple_Star_Chess_4.jpg,left,1041,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,19,number,1,right,Red_Circle_Dots_1.jpg,Purple_Plus_Dots_4.jpg,Blue_Triangle_Grid_1.jpg,right,1394,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,20,filling,1,left,Green_Star_Dots_3.jpg,Blue_Circle_Dots_4.jpg,Red_Plus_Stripes_3.jpg,right,908,false,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,21,filling,1,left,Red_Triangle_Chess_1.jpg,Green_Plus_Chess_3.jpg,Blue_Star_Stripes_1.jpg,right,1018,false,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,22,filling,0,left,Purple_Plus_Chess_3.jpg,Red_Circle_Chess_2.jpg,Green_Star_Grid_3.jpg,right,1772,false,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,23,filling,1,right,Green_Circle_Stripes_3.jpg,Red_Triangle_Grid_3.jpg,Purple_Star_Stripes_2.jpg,right,1638,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,24,filling,1,left,Purple_Star_Grid_4.jpg,Red_Circle_Grid_3.jpg,Blue_Triangle_Chess_4.jpg,left,1878,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,25,filling,1,right,Purple_Triangle_Grid_3.jpg,Green_Circle_Chess_3.jpg,Blue_Star_Grid_2.jpg,right,1885,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,26,filling,0,right,Blue_Plus_Grid_3.jpg,Red_Star_Stripes_3.jpg,Green_Circle_Grid_2.jpg,right,1756,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,27,filling,1,left,Green_Triangle_Dots_1.jpg,Blue_Circle_Dots_4.jpg,Purple_Plus_Stripes_1.jpg,none,0,false,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,28,filling,1,left,Green_Triangle_Grid_2.jpg,Purple_Circle_Grid_3.jpg,Blue_Star_Dots_2.jpg,left,1090,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,29,filling,1,right,Blue_Plus_Stripes_4.jpg,Purple_Star_Chess_4.jpg,Red_Circle_Stripes_2.jpg,right,1328,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,30,filling,1,right,Blue_Circle_Dots_3.jpg,Purple_Star_Grid_3.jpg,Red_Triangle_Dots_1.jpg,right,1414,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,31,filling,1,right,Red_Star_Stripes_1.jpg,Purple_Triangle_Grid_1.jpg,Green_Circle_Stripes_2.jpg,right,1455,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,32,filling,0,right,Purple_Triangle_Grid_3.jpg,Blue_Star_Dots_3.jpg,Red_Circle_Grid_2.jpg,right,927,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,33,filling,1,right,Green_Triangle_Chess_2.jpg,Purple_Circle_Stripes_2.jpg,Blue_Plus_Chess_4.jpg,right,1675,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,34,filling,1,right,Red_Circle_Dots_3.jpg,Purple_Plus_Stripes_3.jpg,Blue_Triangle_Dots_2.jpg,right,1426,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,35,filling,1,left,Red_Plus_Stripes_1.jpg,Purple_Star_Stripes_2.jpg,Blue_Triangle_Dots_1.jpg,left,1195,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,36,filling,1,right,Blue_Triangle_Grid_1.jpg,Purple_Circle_Stripes_1.jpg,Green_Star_Grid_3.jpg,right,1326,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,37,filling,1,right,Blue_Star_Stripes_4.jpg,Red_Circle_Grid_4.jpg,Green_Plus_Stripes_1.jpg,right,1404,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,38,filling,1,right,Blue_Star_Grid_1.jpg,Red_Circle_Stripes_1.jpg,Green_Plus_Grid_4.jpg,right,1085,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,39,filling,1,right,Blue_Plus_Chess_2.jpg,Purple_Triangle_Dots_2.jpg,Red_Star_Chess_1.jpg,right,1172,true,NA,NA,NA,NA,NA,NA,NA,NA,true
pVdJHChu,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,32z9zlut1pxsynesz8u6tbmfepghoi,pVdJHChu,2020-0188,2020-06-15,19:48:09,20:13:57,NA,incomplete,0,number,1,right,Purple_Star_Stripes_1.jpg,Blue_Circle_Stripes_4.jpg,Green_Plus_Chess_1.jpg,right,1045,true,high,NA,NA,NA,NA,NA,NA,NA,false
