workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
icuNshgs,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,337rc3ow09fpa36fr5vigv9urzsvlb,icuNshgs,2020-0188,2020-06-15,18:57:53,19:17:50,NA,incomplete,0,color,0,right,Green_Triangle_Stripes_1.jpg,Blue_Circle_Stripes_4.jpg,Green_Star_Dots_3.jpg,right,1772.5649999920279,true,NA,true
icuNshgs,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,337rc3ow09fpa36fr5vigv9urzsvlb,icuNshgs,2020-0188,2020-06-15,18:57:53,19:17:50,NA,incomplete,1,color,1,right,Green_Star_Chess_1.jpg,Purple_Circle_Chess_3.jpg,Green_Plus_Grid_4.jpg,right,966.2800000514835,true,NA,true
icuNshgs,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,337rc3ow09fpa36fr5vigv9urzsvlb,icuNshgs,2020-0188,2020-06-15,18:57:53,19:17:50,NA,incomplete,2,color,1,right,Blue_Plus_Grid_1.jpg,Purple_Circle_Grid_3.jpg,Blue_Triangle_Chess_2.jpg,right,1040.6650002114475,true,NA,true
icuNshgs,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,337rc3ow09fpa36fr5vigv9urzsvlb,icuNshgs,2020-0188,2020-06-15,18:57:53,19:17:50,NA,incomplete,3,color,1,left,Green_Star_Grid_2.jpg,Green_Triangle_Dots_4.jpg,Blue_Circle_Grid_1.jpg,left,1123.2650000602007,true,NA,true
icuNshgs,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,337rc3ow09fpa36fr5vigv9urzsvlb,icuNshgs,2020-0188,2020-06-15,18:57:53,19:17:50,NA,incomplete,4,color,1,right,Green_Star_Grid_4.jpg,Red_Triangle_Grid_1.jpg,Green_Plus_Dots_3.jpg,right,1057.5800000224262,true,NA,true
icuNshgs,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,337rc3ow09fpa36fr5vigv9urzsvlb,icuNshgs,2020-0188,2020-06-15,18:57:53,19:17:50,NA,incomplete,5,color,1,left,Red_Circle_Grid_2.jpg,Red_Star_Chess_4.jpg,Purple_Triangle_Grid_3.jpg,left,797.8400001302361,true,NA,true
icuNshgs,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,337rc3ow09fpa36fr5vigv9urzsvlb,icuNshgs,2020-0188,2020-06-15,18:57:53,19:17:50,NA,incomplete,6,color,1,right,Purple_Triangle_Chess_1.jpg,Blue_Circle_Chess_4.jpg,Purple_Star_Grid_2.jpg,right,1102.6649998966604,true,NA,true
icuNshgs,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,337rc3ow09fpa36fr5vigv9urzsvlb,icuNshgs,2020-0188,2020-06-15,18:57:53,19:17:50,NA,incomplete,7,color,0,left,Green_Star_Grid_1.jpg,Green_Triangle_Chess_2.jpg,Blue_Plus_Grid_4.jpg,left,955.3150001447648,true,NA,true
icuNshgs,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,337rc3ow09fpa36fr5vigv9urzsvlb,icuNshgs,2020-0188,2020-06-15,18:57:53,19:17:50,NA,incomplete,8,color,0,left,Red_Plus_Grid_2.jpg,Red_Triangle_Stripes_4.jpg,Purple_Star_Grid_1.jpg,left,1223.2200000435114,true,NA,true
icuNshgs,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,337rc3ow09fpa36fr5vigv9urzsvlb,icuNshgs,2020-0188,2020-06-15,18:57:53,19:17:50,NA,incomplete,9,color,1,left,Red_Triangle_Stripes_1.jpg,Red_Plus_Grid_3.jpg,Purple_Star_Stripes_4.jpg,left,921.935000224039,true,NA,true
