workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
VrNfzoCS,372ages0j7iqu68t52ou18jnn9hxrx,38f71oa9gx9kko2ar2rtymlxzhqmfm,VrNfzoCS,2020-0188,2020-05-22,04:43:17,05:04:04,NA,incomplete,0,color,0,right,Purple_Plus_Stripes_4.jpg,Blue_Star_Stripes_3.jpg,Purple_Triangle_Dots_1.jpg,right,1188.2750000804663,true,NA,true
VrNfzoCS,372ages0j7iqu68t52ou18jnn9hxrx,38f71oa9gx9kko2ar2rtymlxzhqmfm,VrNfzoCS,2020-0188,2020-05-22,04:43:17,05:04:04,NA,incomplete,1,color,1,right,Blue_Plus_Dots_3.jpg,Purple_Triangle_Dots_4.jpg,Blue_Star_Grid_2.jpg,right,744.014999945648,true,NA,true
VrNfzoCS,372ages0j7iqu68t52ou18jnn9hxrx,38f71oa9gx9kko2ar2rtymlxzhqmfm,VrNfzoCS,2020-0188,2020-05-22,04:43:17,05:04:04,NA,incomplete,2,color,1,left,Red_Circle_Grid_3.jpg,Red_Triangle_Dots_2.jpg,Blue_Star_Grid_1.jpg,left,1334.3350000213832,true,NA,true
VrNfzoCS,372ages0j7iqu68t52ou18jnn9hxrx,38f71oa9gx9kko2ar2rtymlxzhqmfm,VrNfzoCS,2020-0188,2020-05-22,04:43:17,05:04:04,NA,incomplete,3,color,1,left,Red_Plus_Grid_2.jpg,Red_Triangle_Stripes_1.jpg,Purple_Circle_Grid_4.jpg,left,1045.8250000374392,true,NA,true
VrNfzoCS,372ages0j7iqu68t52ou18jnn9hxrx,38f71oa9gx9kko2ar2rtymlxzhqmfm,VrNfzoCS,2020-0188,2020-05-22,04:43:17,05:04:04,NA,incomplete,4,color,0,right,Blue_Circle_Grid_2.jpg,Green_Star_Grid_4.jpg,Blue_Triangle_Stripes_1.jpg,right,945.7149999216199,true,NA,true
VrNfzoCS,372ages0j7iqu68t52ou18jnn9hxrx,38f71oa9gx9kko2ar2rtymlxzhqmfm,VrNfzoCS,2020-0188,2020-05-22,04:43:17,05:04:04,NA,incomplete,5,color,1,left,Red_Plus_Grid_3.jpg,Red_Triangle_Stripes_1.jpg,Blue_Star_Grid_4.jpg,left,1023.1049999129027,true,NA,true
VrNfzoCS,372ages0j7iqu68t52ou18jnn9hxrx,38f71oa9gx9kko2ar2rtymlxzhqmfm,VrNfzoCS,2020-0188,2020-05-22,04:43:17,05:04:04,NA,incomplete,6,color,0,left,Purple_Plus_Stripes_3.jpg,Purple_Circle_Grid_1.jpg,Green_Star_Stripes_4.jpg,left,977.6850000489503,true,NA,true
VrNfzoCS,372ages0j7iqu68t52ou18jnn9hxrx,38f71oa9gx9kko2ar2rtymlxzhqmfm,VrNfzoCS,2020-0188,2020-05-22,04:43:17,05:04:04,NA,incomplete,7,color,1,right,Purple_Circle_Grid_3.jpg,Green_Star_Grid_1.jpg,Purple_Triangle_Chess_4.jpg,right,726.8349999794737,true,NA,true
VrNfzoCS,372ages0j7iqu68t52ou18jnn9hxrx,38f71oa9gx9kko2ar2rtymlxzhqmfm,VrNfzoCS,2020-0188,2020-05-22,04:43:17,05:04:04,NA,incomplete,8,color,1,left,Blue_Triangle_Grid_1.jpg,Blue_Circle_Stripes_4.jpg,Purple_Plus_Grid_2.jpg,left,1070.8299999823794,true,NA,true
VrNfzoCS,372ages0j7iqu68t52ou18jnn9hxrx,38f71oa9gx9kko2ar2rtymlxzhqmfm,VrNfzoCS,2020-0188,2020-05-22,04:43:17,05:04:04,NA,incomplete,9,color,0,left,Green_Triangle_Stripes_3.jpg,Green_Circle_Grid_4.jpg,Red_Star_Stripes_1.jpg,left,1320.9899999201298,true,NA,true
VrNfzoCS,372ages0j7iqu68t52ou18jnn9hxrx,38f71oa9gx9kko2ar2rtymlxzhqmfm,VrNfzoCS,2020-0188,2020-05-22,04:43:17,05:04:04,NA,incomplete,10,color,1,left,Red_Plus_Chess_1.jpg,Red_Circle_Stripes_4.jpg,Blue_Star_Chess_2.jpg,left,567.9549999767914,true,NA,true
VrNfzoCS,372ages0j7iqu68t52ou18jnn9hxrx,38f71oa9gx9kko2ar2rtymlxzhqmfm,VrNfzoCS,2020-0188,2020-05-22,04:43:17,05:04:04,NA,incomplete,11,color,0,right,Red_Circle_Dots_4.jpg,Blue_Triangle_Dots_1.jpg,Red_Plus_Stripes_3.jpg,right,741.2400000030175,true,NA,true
VrNfzoCS,372ages0j7iqu68t52ou18jnn9hxrx,38f71oa9gx9kko2ar2rtymlxzhqmfm,VrNfzoCS,2020-0188,2020-05-22,04:43:17,05:04:04,NA,incomplete,12,color,1,left,Purple_Star_Grid_4.jpg,Purple_Triangle_Stripes_2.jpg,Blue_Circle_Grid_3.jpg,left,1235.9599999617785,true,NA,true
VrNfzoCS,372ages0j7iqu68t52ou18jnn9hxrx,38f71oa9gx9kko2ar2rtymlxzhqmfm,VrNfzoCS,2020-0188,2020-05-22,04:43:17,05:04:04,NA,incomplete,13,color,1,right,Blue_Star_Dots_4.jpg,Purple_Triangle_Dots_3.jpg,Blue_Circle_Chess_2.jpg,right,998.4000000404194,true,NA,true
VrNfzoCS,372ages0j7iqu68t52ou18jnn9hxrx,38f71oa9gx9kko2ar2rtymlxzhqmfm,VrNfzoCS,2020-0188,2020-05-22,04:43:17,05:04:04,NA,incomplete,14,color,1,right,Blue_Star_Dots_1.jpg,Purple_Circle_Dots_4.jpg,Blue_Plus_Stripes_2.jpg,right,1067.46499997098,true,NA,true
VrNfzoCS,372ages0j7iqu68t52ou18jnn9hxrx,38f71oa9gx9kko2ar2rtymlxzhqmfm,VrNfzoCS,2020-0188,2020-05-22,04:43:17,05:04:04,NA,incomplete,15,color,1,right,Purple_Plus_Dots_4.jpg,Green_Triangle_Dots_2.jpg,Purple_Star_Chess_1.jpg,right,1091.8999999994412,true,NA,true
