workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
YeIybkNQ,3y7ltze0zwz7ft0pae7k34mi28juzv,39kfrkbfir8eki4h98yufbhi0qtyo4,YeIybkNQ,2020-0188,2020-05-21,17:08:37,17:41:36,NA,incomplete,0,color,1,left,Purple_Star_Stripes_4.jpg,Purple_Triangle_Grid_2.jpg,Green_Circle_Stripes_1.jpg,left,1483.4550000086892,true,NA,NA,NA,NA,NA,NA,NA,NA,true
YeIybkNQ,3y7ltze0zwz7ft0pae7k34mi28juzv,39kfrkbfir8eki4h98yufbhi0qtyo4,YeIybkNQ,2020-0188,2020-05-21,17:08:37,17:41:36,NA,incomplete,1,color,0,left,Red_Plus_Chess_2.jpg,Red_Circle_Stripes_3.jpg,Purple_Star_Chess_1.jpg,left,578.3649999939371,true,NA,NA,NA,NA,NA,NA,NA,NA,true
YeIybkNQ,3y7ltze0zwz7ft0pae7k34mi28juzv,39kfrkbfir8eki4h98yufbhi0qtyo4,YeIybkNQ,2020-0188,2020-05-21,17:08:37,17:41:36,NA,incomplete,2,color,1,left,Red_Star_Dots_2.jpg,Red_Circle_Grid_4.jpg,Green_Plus_Dots_1.jpg,left,426.5350000059698,true,NA,NA,NA,NA,NA,NA,NA,NA,true
YeIybkNQ,3y7ltze0zwz7ft0pae7k34mi28juzv,39kfrkbfir8eki4h98yufbhi0qtyo4,YeIybkNQ,2020-0188,2020-05-21,17:08:37,17:41:36,NA,incomplete,3,color,1,left,Green_Plus_Grid_3.jpg,Green_Triangle_Stripes_1.jpg,Purple_Circle_Grid_2.jpg,left,506.4100000017788,true,NA,NA,NA,NA,NA,NA,NA,NA,true
YeIybkNQ,3y7ltze0zwz7ft0pae7k34mi28juzv,39kfrkbfir8eki4h98yufbhi0qtyo4,YeIybkNQ,2020-0188,2020-05-21,17:08:37,17:41:36,NA,incomplete,4,color,0,left,Purple_Circle_Chess_1.jpg,Purple_Triangle_Stripes_3.jpg,Red_Plus_Chess_2.jpg,left,684.6050000021933,true,NA,NA,NA,NA,NA,NA,NA,NA,true
YeIybkNQ,3y7ltze0zwz7ft0pae7k34mi28juzv,39kfrkbfir8eki4h98yufbhi0qtyo4,YeIybkNQ,2020-0188,2020-05-21,17:08:37,17:41:36,NA,incomplete,5,color,1,left,Green_Triangle_Stripes_1.jpg,Green_Circle_Grid_2.jpg,Purple_Plus_Stripes_4.jpg,left,418.8999999896623,true,NA,NA,NA,NA,NA,NA,NA,NA,true
YeIybkNQ,3y7ltze0zwz7ft0pae7k34mi28juzv,39kfrkbfir8eki4h98yufbhi0qtyo4,YeIybkNQ,2020-0188,2020-05-21,17:08:37,17:41:36,NA,incomplete,6,color,1,left,Purple_Plus_Stripes_4.jpg,Purple_Circle_Dots_3.jpg,Blue_Triangle_Stripes_2.jpg,left,500.30999998853076,true,NA,NA,NA,NA,NA,NA,NA,NA,true
YeIybkNQ,3y7ltze0zwz7ft0pae7k34mi28juzv,39kfrkbfir8eki4h98yufbhi0qtyo4,YeIybkNQ,2020-0188,2020-05-21,17:08:37,17:41:36,NA,incomplete,7,color,1,right,Green_Plus_Stripes_4.jpg,Purple_Star_Stripes_3.jpg,Green_Circle_Grid_1.jpg,right,660.3700000123354,true,NA,NA,NA,NA,NA,NA,NA,NA,true
YeIybkNQ,3y7ltze0zwz7ft0pae7k34mi28juzv,39kfrkbfir8eki4h98yufbhi0qtyo4,YeIybkNQ,2020-0188,2020-05-21,17:08:37,17:41:36,NA,incomplete,8,color,1,left,Purple_Plus_Stripes_1.jpg,Purple_Star_Dots_3.jpg,Red_Triangle_Stripes_2.jpg,left,473.3000000123866,true,NA,NA,NA,NA,NA,NA,NA,NA,true
YeIybkNQ,3y7ltze0zwz7ft0pae7k34mi28juzv,39kfrkbfir8eki4h98yufbhi0qtyo4,YeIybkNQ,2020-0188,2020-05-21,17:08:37,17:41:36,NA,incomplete,9,color,1,left,Red_Star_Dots_2.jpg,Red_Plus_Stripes_4.jpg,Blue_Circle_Dots_3.jpg,left,644.1000000049826,true,NA,NA,NA,NA,NA,NA,NA,NA,true
YeIybkNQ,3y7ltze0zwz7ft0pae7k34mi28juzv,39kfrkbfir8eki4h98yufbhi0qtyo4,YeIybkNQ,2020-0188,2020-05-21,17:08:37,17:41:36,NA,incomplete,10,color,1,right,Red_Triangle_Chess_2.jpg,Blue_Circle_Chess_1.jpg,Red_Star_Grid_3.jpg,right,593.3499999955529,true,NA,NA,NA,NA,NA,NA,NA,NA,true
YeIybkNQ,3y7ltze0zwz7ft0pae7k34mi28juzv,39kfrkbfir8eki4h98yufbhi0qtyo4,YeIybkNQ,2020-0188,2020-05-21,17:08:37,17:41:36,NA,incomplete,11,color,1,left,Red_Circle_Grid_1.jpg,Red_Plus_Dots_4.jpg,Purple_Triangle_Grid_2.jpg,left,428.6450000072364,true,NA,NA,NA,NA,NA,NA,NA,NA,true
YeIybkNQ,3y7ltze0zwz7ft0pae7k34mi28juzv,39kfrkbfir8eki4h98yufbhi0qtyo4,YeIybkNQ,2020-0188,2020-05-21,17:08:37,17:41:36,NA,incomplete,12,color,1,right,Purple_Circle_Chess_3.jpg,Blue_Triangle_Chess_4.jpg,Purple_Plus_Grid_2.jpg,right,444.1300000034971,true,NA,NA,NA,NA,NA,NA,NA,NA,true
