workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
JiaW1dc5,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,3a0ex8zrnc1u1of853t89rhjxp7ybx,JiaW1dc5,2020-0188,2020-06-16,10:15:28,10:31:47,NA,incomplete,0,number,1,left,Blue_Star_Stripes_3.jpg,Purple_Triangle_Chess_3.jpg,Blue_Circle_Dots_4.jpg,left,1256.6699999733828,true,NA,true
JiaW1dc5,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,3a0ex8zrnc1u1of853t89rhjxp7ybx,JiaW1dc5,2020-0188,2020-06-16,10:15:28,10:31:47,NA,incomplete,1,number,1,right,Purple_Plus_Chess_4.jpg,Purple_Triangle_Dots_1.jpg,Green_Star_Stripes_4.jpg,right,1914.5299999509007,true,NA,true
JiaW1dc5,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,3a0ex8zrnc1u1of853t89rhjxp7ybx,JiaW1dc5,2020-0188,2020-06-16,10:15:28,10:31:47,NA,incomplete,2,number,1,right,Green_Plus_Dots_3.jpg,Green_Star_Chess_1.jpg,Red_Triangle_Stripes_3.jpg,right,958.6899999994785,true,NA,true
JiaW1dc5,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,3a0ex8zrnc1u1of853t89rhjxp7ybx,JiaW1dc5,2020-0188,2020-06-16,10:15:28,10:31:47,NA,incomplete,3,number,1,right,Blue_Triangle_Chess_1.jpg,Blue_Star_Dots_3.jpg,Green_Plus_Stripes_1.jpg,left,1266.7699999874458,false,NA,true
JiaW1dc5,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,3a0ex8zrnc1u1of853t89rhjxp7ybx,JiaW1dc5,2020-0188,2020-06-16,10:15:28,10:31:47,NA,incomplete,4,number,0,right,Purple_Circle_Chess_1.jpg,Purple_Plus_Stripes_3.jpg,Blue_Triangle_Dots_1.jpg,right,1009.905000042636,true,NA,true
JiaW1dc5,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,3a0ex8zrnc1u1of853t89rhjxp7ybx,JiaW1dc5,2020-0188,2020-06-16,10:15:28,10:31:47,NA,incomplete,5,number,1,right,Blue_Circle_Grid_2.jpg,Blue_Star_Stripes_3.jpg,Purple_Triangle_Dots_2.jpg,right,1192.3299999907613,true,NA,true
JiaW1dc5,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,3a0ex8zrnc1u1of853t89rhjxp7ybx,JiaW1dc5,2020-0188,2020-06-16,10:15:28,10:31:47,NA,incomplete,6,number,0,left,Red_Triangle_Dots_2.jpg,Blue_Plus_Chess_2.jpg,Red_Circle_Stripes_3.jpg,left,991.4250000147149,true,NA,true
JiaW1dc5,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,3a0ex8zrnc1u1of853t89rhjxp7ybx,JiaW1dc5,2020-0188,2020-06-16,10:15:28,10:31:47,NA,incomplete,7,number,1,left,Blue_Triangle_Dots_3.jpg,Purple_Star_Grid_3.jpg,Blue_Plus_Chess_2.jpg,left,868.819999974221,true,NA,true
JiaW1dc5,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,3a0ex8zrnc1u1of853t89rhjxp7ybx,JiaW1dc5,2020-0188,2020-06-16,10:15:28,10:31:47,NA,incomplete,8,number,0,right,Purple_Circle_Grid_3.jpg,Purple_Plus_Chess_2.jpg,Blue_Star_Dots_3.jpg,right,604.5250000315718,true,NA,true
JiaW1dc5,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,3a0ex8zrnc1u1of853t89rhjxp7ybx,JiaW1dc5,2020-0188,2020-06-16,10:15:28,10:31:47,NA,incomplete,9,number,1,right,Purple_Star_Stripes_3.jpg,Purple_Triangle_Grid_1.jpg,Red_Plus_Chess_3.jpg,right,793.294999981299,true,NA,true
JiaW1dc5,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,3a0ex8zrnc1u1of853t89rhjxp7ybx,JiaW1dc5,2020-0188,2020-06-16,10:15:28,10:31:47,NA,incomplete,10,number,1,left,Red_Plus_Dots_1.jpg,Blue_Star_Stripes_1.jpg,Red_Triangle_Chess_2.jpg,left,694.0849999664351,true,NA,true
JiaW1dc5,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,3a0ex8zrnc1u1of853t89rhjxp7ybx,JiaW1dc5,2020-0188,2020-06-16,10:15:28,10:31:47,NA,incomplete,11,number,1,right,Green_Star_Grid_2.jpg,Green_Circle_Chess_4.jpg,Red_Plus_Dots_2.jpg,right,925.9750000201166,true,NA,true
JiaW1dc5,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,3a0ex8zrnc1u1of853t89rhjxp7ybx,JiaW1dc5,2020-0188,2020-06-16,10:15:28,10:31:47,NA,incomplete,12,number,1,left,Red_Plus_Stripes_3.jpg,Purple_Circle_Chess_3.jpg,Red_Triangle_Dots_2.jpg,left,862.8050000406802,true,NA,true
JiaW1dc5,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,3a0ex8zrnc1u1of853t89rhjxp7ybx,JiaW1dc5,2020-0188,2020-06-16,10:15:28,10:31:47,NA,incomplete,13,number,1,left,Blue_Triangle_Chess_4.jpg,Red_Plus_Grid_4.jpg,Blue_Circle_Dots_1.jpg,left,766.6599999647588,true,NA,true
JiaW1dc5,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,3a0ex8zrnc1u1of853t89rhjxp7ybx,JiaW1dc5,2020-0188,2020-06-16,10:15:28,10:31:47,NA,incomplete,14,number,1,right,Purple_Triangle_Chess_1.jpg,Purple_Circle_Stripes_4.jpg,Blue_Plus_Grid_1.jpg,right,859.5299999578856,true,NA,true
JiaW1dc5,3wa2xvdzfpuo2njsi9v42o7kc6t6eh,3a0ex8zrnc1u1of853t89rhjxp7ybx,JiaW1dc5,2020-0188,2020-06-16,10:15:28,10:31:47,NA,incomplete,15,number,1,left,Green_Circle_Dots_3.jpg,Purple_Star_Chess_3.jpg,Green_Triangle_Grid_1.jpg,left,686.5199999883771,true,NA,true
