workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
kWk5Uyl9,3lvtfb9df8vfwjy33dzq8w9nvhnqgc,3auqqel7u96cd7ht2c9zibh7i04v0j,kWk5Uyl9,2020-0188,2020-11-18,15:47:04,16:07:12,NA,incomplete,0,color,1,right,Blue_Triangle_Dots_4.jpg,Red_Triangle_Stripes_3.jpg,Blue_Circle_Grid_1.jpg,none,0,false,NA,true
kWk5Uyl9,3lvtfb9df8vfwjy33dzq8w9nvhnqgc,3auqqel7u96cd7ht2c9zibh7i04v0j,kWk5Uyl9,2020-0188,2020-11-18,15:47:04,16:07:12,NA,incomplete,1,color,1,left,Blue_Star_Chess_1.jpg,Blue_Circle_Stripes_3.jpg,Purple_Star_Grid_4.jpg,left,1159.1999999945983,true,NA,true
kWk5Uyl9,3lvtfb9df8vfwjy33dzq8w9nvhnqgc,3auqqel7u96cd7ht2c9zibh7i04v0j,kWk5Uyl9,2020-0188,2020-11-18,15:47:04,16:07:12,NA,incomplete,2,color,1,right,Purple_Triangle_Stripes_1.jpg,Green_Triangle_Grid_2.jpg,Purple_Plus_Dots_4.jpg,right,1393.4250000165775,true,NA,true
kWk5Uyl9,3lvtfb9df8vfwjy33dzq8w9nvhnqgc,3auqqel7u96cd7ht2c9zibh7i04v0j,kWk5Uyl9,2020-0188,2020-11-18,15:47:04,16:07:12,NA,incomplete,3,color,0,right,Red_Circle_Dots_1.jpg,Blue_Circle_Stripes_4.jpg,Red_Triangle_Grid_3.jpg,right,1246.21000001207,true,NA,true
kWk5Uyl9,3lvtfb9df8vfwjy33dzq8w9nvhnqgc,3auqqel7u96cd7ht2c9zibh7i04v0j,kWk5Uyl9,2020-0188,2020-11-18,15:47:04,16:07:12,NA,incomplete,4,color,1,right,Green_Plus_Chess_2.jpg,Purple_Plus_Grid_4.jpg,Green_Circle_Dots_3.jpg,left,1757.370000006631,false,NA,true
kWk5Uyl9,3lvtfb9df8vfwjy33dzq8w9nvhnqgc,3auqqel7u96cd7ht2c9zibh7i04v0j,kWk5Uyl9,2020-0188,2020-11-18,15:47:04,16:07:12,NA,incomplete,5,color,1,right,Purple_Plus_Dots_4.jpg,Green_Plus_Grid_1.jpg,Purple_Star_Chess_3.jpg,right,912.0499999844469,true,NA,true
kWk5Uyl9,3lvtfb9df8vfwjy33dzq8w9nvhnqgc,3auqqel7u96cd7ht2c9zibh7i04v0j,kWk5Uyl9,2020-0188,2020-11-18,15:47:04,16:07:12,NA,incomplete,6,color,1,right,Purple_Plus_Stripes_1.jpg,Green_Plus_Chess_4.jpg,Purple_Triangle_Grid_2.jpg,right,1414.8649999988265,true,NA,true
kWk5Uyl9,3lvtfb9df8vfwjy33dzq8w9nvhnqgc,3auqqel7u96cd7ht2c9zibh7i04v0j,kWk5Uyl9,2020-0188,2020-11-18,15:47:04,16:07:12,NA,incomplete,7,color,1,left,Blue_Circle_Stripes_3.jpg,Blue_Triangle_Grid_4.jpg,Purple_Circle_Chess_2.jpg,left,1506.0999999986961,true,NA,true
kWk5Uyl9,3lvtfb9df8vfwjy33dzq8w9nvhnqgc,3auqqel7u96cd7ht2c9zibh7i04v0j,kWk5Uyl9,2020-0188,2020-11-18,15:47:04,16:07:12,NA,incomplete,8,color,1,left,Purple_Star_Chess_4.jpg,Purple_Circle_Dots_3.jpg,Green_Star_Stripes_1.jpg,left,945.4200000036508,true,NA,true
kWk5Uyl9,3lvtfb9df8vfwjy33dzq8w9nvhnqgc,3auqqel7u96cd7ht2c9zibh7i04v0j,kWk5Uyl9,2020-0188,2020-11-18,15:47:04,16:07:12,NA,incomplete,9,color,1,left,Green_Circle_Stripes_1.jpg,Green_Plus_Dots_3.jpg,Blue_Circle_Chess_2.jpg,left,865.7900000107475,true,NA,true
