workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
qpPhMQTj,3r15w654wg6vibc4e4w6loevry9lqd,3e13vnj1nr87yqibzoeghranfqii1g,qpPhMQTj,2020-0188,2020-11-18,15:19:49,15:46:22,NA,incomplete,0,shape,1,right,Blue_Triangle_Chess_1.jpg,Red_Star_Chess_2.jpg,Purple_Triangle_Stripes_3.jpg,right,1108,true,NA,NA,NA,NA,NA,NA,NA,NA,true
qpPhMQTj,3r15w654wg6vibc4e4w6loevry9lqd,3e13vnj1nr87yqibzoeghranfqii1g,qpPhMQTj,2020-0188,2020-11-18,15:19:49,15:46:22,NA,incomplete,1,shape,0,left,Blue_Plus_Chess_2.jpg,Green_Plus_Dots_1.jpg,Red_Triangle_Chess_4.jpg,left,723.8999999999651,true,NA,NA,NA,NA,NA,NA,NA,NA,true
qpPhMQTj,3r15w654wg6vibc4e4w6loevry9lqd,3e13vnj1nr87yqibzoeghranfqii1g,qpPhMQTj,2020-0188,2020-11-18,15:19:49,15:46:22,NA,incomplete,2,shape,1,right,Purple_Triangle_Stripes_2.jpg,Blue_Circle_Stripes_3.jpg,Red_Triangle_Chess_4.jpg,right,950.9000000000233,true,NA,NA,NA,NA,NA,NA,NA,NA,true
qpPhMQTj,3r15w654wg6vibc4e4w6loevry9lqd,3e13vnj1nr87yqibzoeghranfqii1g,qpPhMQTj,2020-0188,2020-11-18,15:19:49,15:46:22,NA,incomplete,3,shape,1,left,Purple_Circle_Dots_4.jpg,Green_Circle_Grid_3.jpg,Red_Plus_Dots_1.jpg,left,692.5,true,NA,NA,NA,NA,NA,NA,NA,NA,true
qpPhMQTj,3r15w654wg6vibc4e4w6loevry9lqd,3e13vnj1nr87yqibzoeghranfqii1g,qpPhMQTj,2020-0188,2020-11-18,15:19:49,15:46:22,NA,incomplete,4,shape,1,right,Blue_Star_Grid_3.jpg,Green_Plus_Grid_1.jpg,Purple_Star_Chess_2.jpg,right,574.8999999999651,true,NA,NA,NA,NA,NA,NA,NA,NA,true
qpPhMQTj,3r15w654wg6vibc4e4w6loevry9lqd,3e13vnj1nr87yqibzoeghranfqii1g,qpPhMQTj,2020-0188,2020-11-18,15:19:49,15:46:22,NA,incomplete,5,shape,1,right,Blue_Circle_Stripes_3.jpg,Purple_Star_Stripes_2.jpg,Red_Circle_Dots_1.jpg,right,676.3999999999651,true,NA,NA,NA,NA,NA,NA,NA,NA,true
qpPhMQTj,3r15w654wg6vibc4e4w6loevry9lqd,3e13vnj1nr87yqibzoeghranfqii1g,qpPhMQTj,2020-0188,2020-11-18,15:19:49,15:46:22,NA,incomplete,6,shape,1,left,Blue_Plus_Dots_3.jpg,Red_Plus_Grid_1.jpg,Green_Star_Dots_2.jpg,left,525.2000000000116,true,NA,NA,NA,NA,NA,NA,NA,NA,true
qpPhMQTj,3r15w654wg6vibc4e4w6loevry9lqd,3e13vnj1nr87yqibzoeghranfqii1g,qpPhMQTj,2020-0188,2020-11-18,15:19:49,15:46:22,NA,incomplete,7,shape,1,left,Red_Star_Grid_2.jpg,Purple_Star_Chess_1.jpg,Green_Triangle_Grid_4.jpg,left,629.7999999999884,true,NA,NA,NA,NA,NA,NA,NA,NA,true
qpPhMQTj,3r15w654wg6vibc4e4w6loevry9lqd,3e13vnj1nr87yqibzoeghranfqii1g,qpPhMQTj,2020-0188,2020-11-18,15:19:49,15:46:22,NA,incomplete,8,shape,1,left,Red_Circle_Chess_4.jpg,Green_Circle_Dots_2.jpg,Blue_Plus_Chess_3.jpg,left,545.1000000000349,true,NA,NA,NA,NA,NA,NA,NA,NA,true
qpPhMQTj,3r15w654wg6vibc4e4w6loevry9lqd,3e13vnj1nr87yqibzoeghranfqii1g,qpPhMQTj,2020-0188,2020-11-18,15:19:49,15:46:22,NA,incomplete,9,shape,1,right,Red_Star_Dots_2.jpg,Blue_Plus_Dots_4.jpg,Green_Star_Stripes_3.jpg,right,647.5,true,NA,NA,NA,NA,NA,NA,NA,NA,true
qpPhMQTj,3r15w654wg6vibc4e4w6loevry9lqd,3e13vnj1nr87yqibzoeghranfqii1g,qpPhMQTj,2020-0188,2020-11-18,15:19:49,15:46:22,NA,incomplete,10,shape,1,right,Purple_Star_Stripes_1.jpg,Red_Circle_Stripes_4.jpg,Green_Star_Grid_3.jpg,right,570.7000000000116,true,NA,NA,NA,NA,NA,NA,NA,NA,true
qpPhMQTj,3r15w654wg6vibc4e4w6loevry9lqd,3e13vnj1nr87yqibzoeghranfqii1g,qpPhMQTj,2020-0188,2020-11-18,15:19:49,15:46:22,NA,incomplete,11,shape,1,left,Purple_Circle_Grid_2.jpg,Blue_Circle_Dots_1.jpg,Green_Plus_Grid_3.jpg,left,533.8000000000466,true,NA,NA,NA,NA,NA,NA,NA,NA,true
qpPhMQTj,3r15w654wg6vibc4e4w6loevry9lqd,3e13vnj1nr87yqibzoeghranfqii1g,qpPhMQTj,2020-0188,2020-11-18,15:19:49,15:46:22,NA,incomplete,12,shape,1,right,Red_Plus_Stripes_4.jpg,Green_Circle_Stripes_1.jpg,Blue_Plus_Grid_2.jpg,right,536.6000000000349,true,NA,NA,NA,NA,NA,NA,NA,NA,true
qpPhMQTj,3r15w654wg6vibc4e4w6loevry9lqd,3e13vnj1nr87yqibzoeghranfqii1g,qpPhMQTj,2020-0188,2020-11-18,15:19:49,15:46:22,NA,incomplete,13,shape,0,right,Purple_Plus_Grid_4.jpg,Red_Circle_Grid_1.jpg,Blue_Plus_Dots_2.jpg,right,542,true,NA,NA,NA,NA,NA,NA,NA,NA,true
qpPhMQTj,3r15w654wg6vibc4e4w6loevry9lqd,3e13vnj1nr87yqibzoeghranfqii1g,qpPhMQTj,2020-0188,2020-11-18,15:19:49,15:46:22,NA,incomplete,14,shape,0,left,Purple_Star_Chess_2.jpg,Blue_Star_Dots_4.jpg,Red_Triangle_Chess_1.jpg,left,756.2000000000116,true,NA,NA,NA,NA,NA,NA,NA,NA,true
qpPhMQTj,3r15w654wg6vibc4e4w6loevry9lqd,3e13vnj1nr87yqibzoeghranfqii1g,qpPhMQTj,2020-0188,2020-11-18,15:19:49,15:46:22,NA,incomplete,15,shape,1,right,Red_Triangle_Chess_1.jpg,Green_Star_Chess_3.jpg,Blue_Triangle_Stripes_2.jpg,right,690.5999999999767,true,NA,NA,NA,NA,NA,NA,NA,NA,true
qpPhMQTj,3r15w654wg6vibc4e4w6loevry9lqd,3e13vnj1nr87yqibzoeghranfqii1g,qpPhMQTj,2020-0188,2020-11-18,15:19:49,15:46:22,NA,incomplete,16,shape,1,right,Purple_Circle_Stripes_2.jpg,Red_Star_Stripes_3.jpg,Green_Circle_Chess_4.jpg,right,606.0999999999767,true,NA,NA,NA,NA,NA,NA,NA,NA,true
