workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
SQQu2knn,3ncn4n1h2juy25d07zfv3rnlauxnbw,3eicbyg6489ng4cfx3o0ao8ew7ljcg,SQQu2knn,2020-0188,2020-11-19,11:24:05,11:44:38,NA,incomplete,0,shape,1,left,Green_Triangle_Chess_1.jpg,Purple_Triangle_Dots_3.jpg,Red_Plus_Chess_4.jpg,left,1009.0000000200234,true,NA,true
SQQu2knn,3ncn4n1h2juy25d07zfv3rnlauxnbw,3eicbyg6489ng4cfx3o0ao8ew7ljcg,SQQu2knn,2020-0188,2020-11-19,11:24:05,11:44:38,NA,incomplete,1,shape,1,left,Red_Circle_Chess_1.jpg,Blue_Circle_Grid_3.jpg,Purple_Star_Chess_4.jpg,left,472.00000000884756,true,NA,true
SQQu2knn,3ncn4n1h2juy25d07zfv3rnlauxnbw,3eicbyg6489ng4cfx3o0ao8ew7ljcg,SQQu2knn,2020-0188,2020-11-19,11:24:05,11:44:38,NA,incomplete,2,shape,1,left,Purple_Star_Chess_2.jpg,Green_Star_Dots_4.jpg,Red_Plus_Chess_1.jpg,left,764.9999999557622,true,NA,true
SQQu2knn,3ncn4n1h2juy25d07zfv3rnlauxnbw,3eicbyg6489ng4cfx3o0ao8ew7ljcg,SQQu2knn,2020-0188,2020-11-19,11:24:05,11:44:38,NA,incomplete,3,shape,1,right,Purple_Circle_Grid_1.jpg,Blue_Triangle_Grid_4.jpg,Green_Circle_Dots_3.jpg,right,679.9999999930151,true,NA,true
SQQu2knn,3ncn4n1h2juy25d07zfv3rnlauxnbw,3eicbyg6489ng4cfx3o0ao8ew7ljcg,SQQu2knn,2020-0188,2020-11-19,11:24:05,11:44:38,NA,incomplete,4,shape,1,right,Blue_Circle_Chess_4.jpg,Purple_Triangle_Chess_3.jpg,Red_Circle_Grid_2.jpg,right,527.9999999911524,true,NA,true
SQQu2knn,3ncn4n1h2juy25d07zfv3rnlauxnbw,3eicbyg6489ng4cfx3o0ao8ew7ljcg,SQQu2knn,2020-0188,2020-11-19,11:24:05,11:44:38,NA,incomplete,5,shape,0,right,Red_Circle_Dots_1.jpg,Purple_Star_Dots_4.jpg,Green_Circle_Chess_3.jpg,right,547.0000000204891,true,NA,true
SQQu2knn,3ncn4n1h2juy25d07zfv3rnlauxnbw,3eicbyg6489ng4cfx3o0ao8ew7ljcg,SQQu2knn,2020-0188,2020-11-19,11:24:05,11:44:38,NA,incomplete,6,shape,1,left,Blue_Star_Chess_2.jpg,Red_Star_Stripes_4.jpg,Green_Plus_Chess_3.jpg,left,978.000000002794,true,NA,true
SQQu2knn,3ncn4n1h2juy25d07zfv3rnlauxnbw,3eicbyg6489ng4cfx3o0ao8ew7ljcg,SQQu2knn,2020-0188,2020-11-19,11:24:05,11:44:38,NA,incomplete,7,shape,1,right,Green_Plus_Stripes_2.jpg,Red_Star_Stripes_1.jpg,Blue_Plus_Grid_4.jpg,right,782.0000000065193,true,NA,true
SQQu2knn,3ncn4n1h2juy25d07zfv3rnlauxnbw,3eicbyg6489ng4cfx3o0ao8ew7ljcg,SQQu2knn,2020-0188,2020-11-19,11:24:05,11:44:38,NA,incomplete,8,shape,1,right,Green_Circle_Stripes_2.jpg,Red_Plus_Stripes_3.jpg,Purple_Circle_Chess_4.jpg,right,510.999999998603,true,NA,true
SQQu2knn,3ncn4n1h2juy25d07zfv3rnlauxnbw,3eicbyg6489ng4cfx3o0ao8ew7ljcg,SQQu2knn,2020-0188,2020-11-19,11:24:05,11:44:38,NA,incomplete,9,shape,0,left,Green_Star_Grid_4.jpg,Purple_Star_Dots_2.jpg,Red_Plus_Grid_1.jpg,left,650.0000000232831,true,NA,true
SQQu2knn,3ncn4n1h2juy25d07zfv3rnlauxnbw,3eicbyg6489ng4cfx3o0ao8ew7ljcg,SQQu2knn,2020-0188,2020-11-19,11:24:05,11:44:38,NA,incomplete,10,shape,1,right,Red_Triangle_Dots_4.jpg,Purple_Star_Dots_3.jpg,Green_Triangle_Stripes_2.jpg,right,488.0000000121072,true,NA,true
SQQu2knn,3ncn4n1h2juy25d07zfv3rnlauxnbw,3eicbyg6489ng4cfx3o0ao8ew7ljcg,SQQu2knn,2020-0188,2020-11-19,11:24:05,11:44:38,NA,incomplete,11,shape,1,right,Blue_Star_Grid_1.jpg,Purple_Circle_Grid_2.jpg,Green_Star_Chess_3.jpg,right,548.0000000097789,true,NA,true
