workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,0,filling,1,right,Blue_Plus_Dots_3.jpg,Blue_Circle_Grid_2.jpg,Red_Triangle_Dots_1.jpg,none,0,false,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,1,filling,1,right,Purple_Triangle_Stripes_3.jpg,Purple_Circle_Grid_1.jpg,Red_Star_Stripes_4.jpg,none,0,false,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,2,filling,1,right,Blue_Plus_Grid_2.jpg,Blue_Circle_Stripes_1.jpg,Purple_Star_Grid_3.jpg,left,1076.5150000007125,false,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,3,filling,0,right,Blue_Triangle_Dots_3.jpg,Blue_Circle_Stripes_2.jpg,Purple_Star_Dots_4.jpg,right,678.0899999993853,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,4,filling,1,right,Red_Triangle_Grid_1.jpg,Red_Circle_Dots_2.jpg,Blue_Star_Grid_3.jpg,right,828.1200000001118,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,5,filling,1,left,Green_Circle_Grid_3.jpg,Blue_Triangle_Grid_1.jpg,Green_Plus_Dots_4.jpg,left,762.1300000008196,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,6,filling,1,right,Purple_Plus_Grid_3.jpg,Purple_Circle_Chess_2.jpg,Blue_Triangle_Grid_4.jpg,right,793.2800000000279,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,7,filling,1,right,Green_Circle_Grid_4.jpg,Green_Triangle_Chess_2.jpg,Purple_Star_Grid_3.jpg,right,668.7449999989476,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,8,filling,0,left,Purple_Triangle_Grid_4.jpg,Blue_Star_Grid_3.jpg,Purple_Plus_Stripes_2.jpg,left,630.4699999999721,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,9,filling,0,left,Red_Plus_Chess_2.jpg,Purple_Triangle_Chess_4.jpg,Red_Circle_Dots_1.jpg,left,761.9850000010338,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,10,filling,1,right,Blue_Plus_Chess_1.jpg,Blue_Star_Grid_4.jpg,Green_Triangle_Chess_3.jpg,right,564.0000000002328,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,11,filling,1,right,Blue_Plus_Chess_2.jpg,Blue_Star_Stripes_1.jpg,Green_Circle_Chess_3.jpg,right,601.4349999986589,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,12,filling,1,left,Green_Plus_Dots_4.jpg,Purple_Star_Dots_1.jpg,Green_Triangle_Stripes_2.jpg,left,745.5800000005402,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,13,filling,1,right,Blue_Triangle_Chess_3.jpg,Blue_Circle_Stripes_4.jpg,Red_Plus_Chess_2.jpg,left,619.4899999990594,false,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,14,filling,1,left,Red_Circle_Dots_1.jpg,Green_Plus_Dots_4.jpg,Red_Triangle_Grid_2.jpg,left,666.359999999404,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,15,filling,1,left,Blue_Triangle_Stripes_2.jpg,Red_Star_Stripes_3.jpg,Blue_Plus_Dots_4.jpg,left,698.4549999996088,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,16,filling,1,left,Blue_Triangle_Dots_1.jpg,Green_Star_Dots_2.jpg,Blue_Plus_Chess_4.jpg,left,839.0700000000652,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,17,filling,1,right,Red_Circle_Dots_3.jpg,Red_Star_Grid_2.jpg,Blue_Triangle_Dots_4.jpg,right,664.4550000000745,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,18,filling,1,right,Purple_Triangle_Dots_3.jpg,Purple_Plus_Stripes_4.jpg,Green_Circle_Dots_2.jpg,right,534.4899999999907,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,19,filling,1,right,Blue_Plus_Chess_2.jpg,Blue_Circle_Stripes_3.jpg,Purple_Triangle_Chess_4.jpg,right,863.1800000004005,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,20,color,0,left,Red_Star_Dots_4.jpg,Red_Triangle_Stripes_2.jpg,Blue_Plus_Dots_1.jpg,left,1333.5600000007544,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,21,color,1,left,Green_Circle_Chess_1.jpg,Green_Triangle_Grid_4.jpg,Red_Plus_Chess_3.jpg,left,689.6450000004843,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,22,color,0,left,Purple_Triangle_Dots_4.jpg,Purple_Plus_Grid_1.jpg,Blue_Star_Dots_3.jpg,left,534.4850000001024,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,23,color,1,right,Blue_Circle_Grid_3.jpg,Purple_Triangle_Grid_4.jpg,Blue_Star_Chess_2.jpg,right,750.3699999998789,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Xy2ztaUw,338glsui56olvzhlkxidlboc564sfp,3fdjt1uu78lxs39i0e14xx2glf8k5h,Xy2ztaUw,2020-0188,2020-05-21,15:28:56,16:01:56,NA,incomplete,24,color,1,left,Purple_Star_Grid_4.jpg,Purple_Triangle_Stripes_2.jpg,Green_Circle_Grid_3.jpg,left,442.989999999525,true,NA,NA,NA,NA,NA,NA,NA,NA,true
