workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
AXDgRPZX,3j6bhnx0vc5zv8hudcso2u6bq3dnka,3itxp059p0w3nl1bupe0ptcvk9isjs,AXDgRPZX,2020-0188,2020-05-21,11:25:59,11:54:38,NA,incomplete,0,number,0,right,Blue_Circle_Dots_4.jpg,Green_Plus_Dots_2.jpg,Red_Star_Stripes_4.jpg,left,1902.399999962654,false,NA,NA,NA,NA,NA,NA,NA,NA,true
AXDgRPZX,3j6bhnx0vc5zv8hudcso2u6bq3dnka,3itxp059p0w3nl1bupe0ptcvk9isjs,AXDgRPZX,2020-0188,2020-05-21,11:25:59,11:54:38,NA,incomplete,1,number,1,right,Purple_Circle_Grid_1.jpg,Blue_Triangle_Grid_3.jpg,Red_Star_Stripes_1.jpg,right,1119.1950000356883,true,NA,NA,NA,NA,NA,NA,NA,NA,true
AXDgRPZX,3j6bhnx0vc5zv8hudcso2u6bq3dnka,3itxp059p0w3nl1bupe0ptcvk9isjs,AXDgRPZX,2020-0188,2020-05-21,11:25:59,11:54:38,NA,incomplete,2,number,1,right,Red_Plus_Dots_1.jpg,Purple_Triangle_Dots_3.jpg,Green_Star_Chess_1.jpg,right,1121.1950000142679,true,NA,NA,NA,NA,NA,NA,NA,NA,true
AXDgRPZX,3j6bhnx0vc5zv8hudcso2u6bq3dnka,3itxp059p0w3nl1bupe0ptcvk9isjs,AXDgRPZX,2020-0188,2020-05-21,11:25:59,11:54:38,NA,incomplete,3,number,1,left,Red_Triangle_Stripes_3.jpg,Green_Plus_Dots_3.jpg,Blue_Star_Stripes_1.jpg,left,927.5149999884889,true,NA,NA,NA,NA,NA,NA,NA,NA,true
AXDgRPZX,3j6bhnx0vc5zv8hudcso2u6bq3dnka,3itxp059p0w3nl1bupe0ptcvk9isjs,AXDgRPZX,2020-0188,2020-05-21,11:25:59,11:54:38,NA,incomplete,4,number,1,right,Purple_Star_Dots_3.jpg,Green_Plus_Dots_4.jpg,Red_Triangle_Stripes_3.jpg,right,860.2299999911338,true,NA,NA,NA,NA,NA,NA,NA,NA,true
AXDgRPZX,3j6bhnx0vc5zv8hudcso2u6bq3dnka,3itxp059p0w3nl1bupe0ptcvk9isjs,AXDgRPZX,2020-0188,2020-05-21,11:25:59,11:54:38,NA,incomplete,5,number,1,right,Blue_Triangle_Stripes_4.jpg,Green_Plus_Stripes_2.jpg,Red_Star_Chess_4.jpg,right,886.9449999765493,true,NA,NA,NA,NA,NA,NA,NA,NA,true
AXDgRPZX,3j6bhnx0vc5zv8hudcso2u6bq3dnka,3itxp059p0w3nl1bupe0ptcvk9isjs,AXDgRPZX,2020-0188,2020-05-21,11:25:59,11:54:38,NA,incomplete,6,number,1,right,Purple_Triangle_Grid_4.jpg,Red_Plus_Grid_3.jpg,Green_Circle_Chess_4.jpg,right,743.7499999650754,true,NA,NA,NA,NA,NA,NA,NA,NA,true
AXDgRPZX,3j6bhnx0vc5zv8hudcso2u6bq3dnka,3itxp059p0w3nl1bupe0ptcvk9isjs,AXDgRPZX,2020-0188,2020-05-21,11:25:59,11:54:38,NA,incomplete,7,number,1,left,Blue_Triangle_Grid_2.jpg,Green_Circle_Dots_2.jpg,Purple_Plus_Grid_4.jpg,left,1163.3350000483915,true,NA,NA,NA,NA,NA,NA,NA,NA,true
AXDgRPZX,3j6bhnx0vc5zv8hudcso2u6bq3dnka,3itxp059p0w3nl1bupe0ptcvk9isjs,AXDgRPZX,2020-0188,2020-05-21,11:25:59,11:54:38,NA,incomplete,8,number,1,left,Blue_Plus_Chess_3.jpg,Green_Star_Stripes_3.jpg,Red_Circle_Chess_2.jpg,left,1060.7350000063889,true,NA,NA,NA,NA,NA,NA,NA,NA,true
AXDgRPZX,3j6bhnx0vc5zv8hudcso2u6bq3dnka,3itxp059p0w3nl1bupe0ptcvk9isjs,AXDgRPZX,2020-0188,2020-05-21,11:25:59,11:54:38,NA,incomplete,9,number,0,right,Red_Circle_Grid_2.jpg,Green_Plus_Grid_1.jpg,Blue_Star_Chess_2.jpg,right,1157.4049999471754,true,NA,NA,NA,NA,NA,NA,NA,NA,true
