workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
p8FBFBtB,3o2y2uiudt7n7g4dfo9bupx2ocrfkv,3jmsru9hqm7b4xwnaj8e30jae57evp,p8FBFBtB,2020-0188,2020-05-21,13:46:55,14:05:56,NA,incomplete,0,filling,1,right,Red_Star_Grid_4.jpg,Green_Triangle_Stripes_4.jpg,Blue_Plus_Grid_1.jpg,right,1997.3599999793805,true,NA,NA,NA,NA,NA,NA,NA,NA,true
p8FBFBtB,3o2y2uiudt7n7g4dfo9bupx2ocrfkv,3jmsru9hqm7b4xwnaj8e30jae57evp,p8FBFBtB,2020-0188,2020-05-21,13:46:55,14:05:56,NA,incomplete,1,filling,1,right,Green_Plus_Stripes_2.jpg,Red_Triangle_Dots_2.jpg,Purple_Star_Stripes_4.jpg,right,1261.1800000304356,true,NA,NA,NA,NA,NA,NA,NA,NA,true
p8FBFBtB,3o2y2uiudt7n7g4dfo9bupx2ocrfkv,3jmsru9hqm7b4xwnaj8e30jae57evp,p8FBFBtB,2020-0188,2020-05-21,13:46:55,14:05:56,NA,incomplete,2,filling,1,left,Blue_Star_Chess_4.jpg,Green_Triangle_Chess_3.jpg,Red_Circle_Grid_4.jpg,left,1223.340000025928,true,NA,NA,NA,NA,NA,NA,NA,NA,true
p8FBFBtB,3o2y2uiudt7n7g4dfo9bupx2ocrfkv,3jmsru9hqm7b4xwnaj8e30jae57evp,p8FBFBtB,2020-0188,2020-05-21,13:46:55,14:05:56,NA,incomplete,3,filling,1,left,Purple_Triangle_Chess_1.jpg,Green_Circle_Chess_2.jpg,Red_Plus_Dots_1.jpg,left,768.3400000096299,true,NA,NA,NA,NA,NA,NA,NA,NA,true
p8FBFBtB,3o2y2uiudt7n7g4dfo9bupx2ocrfkv,3jmsru9hqm7b4xwnaj8e30jae57evp,p8FBFBtB,2020-0188,2020-05-21,13:46:55,14:05:56,NA,incomplete,4,filling,1,left,Red_Plus_Stripes_4.jpg,Purple_Star_Stripes_2.jpg,Green_Triangle_Grid_4.jpg,left,1670.3500000294298,true,NA,NA,NA,NA,NA,NA,NA,NA,true
p8FBFBtB,3o2y2uiudt7n7g4dfo9bupx2ocrfkv,3jmsru9hqm7b4xwnaj8e30jae57evp,p8FBFBtB,2020-0188,2020-05-21,13:46:55,14:05:56,NA,incomplete,5,filling,1,left,Green_Circle_Dots_1.jpg,Blue_Star_Dots_4.jpg,Purple_Triangle_Grid_1.jpg,left,1303.7299999850802,true,NA,NA,NA,NA,NA,NA,NA,NA,true
p8FBFBtB,3o2y2uiudt7n7g4dfo9bupx2ocrfkv,3jmsru9hqm7b4xwnaj8e30jae57evp,p8FBFBtB,2020-0188,2020-05-21,13:46:55,14:05:56,NA,incomplete,6,filling,1,left,Green_Plus_Dots_1.jpg,Red_Star_Dots_2.jpg,Purple_Triangle_Grid_1.jpg,left,1043.1399999652058,true,NA,NA,NA,NA,NA,NA,NA,NA,true
p8FBFBtB,3o2y2uiudt7n7g4dfo9bupx2ocrfkv,3jmsru9hqm7b4xwnaj8e30jae57evp,p8FBFBtB,2020-0188,2020-05-21,13:46:55,14:05:56,NA,incomplete,7,filling,1,left,Red_Star_Dots_2.jpg,Purple_Triangle_Dots_1.jpg,Blue_Plus_Grid_2.jpg,left,1011.3600000040606,true,NA,NA,NA,NA,NA,NA,NA,NA,true
p8FBFBtB,3o2y2uiudt7n7g4dfo9bupx2ocrfkv,3jmsru9hqm7b4xwnaj8e30jae57evp,p8FBFBtB,2020-0188,2020-05-21,13:46:55,14:05:56,NA,incomplete,8,filling,1,right,Red_Plus_Stripes_3.jpg,Purple_Star_Chess_3.jpg,Green_Circle_Stripes_4.jpg,right,1330.1750000100583,true,NA,NA,NA,NA,NA,NA,NA,NA,true
p8FBFBtB,3o2y2uiudt7n7g4dfo9bupx2ocrfkv,3jmsru9hqm7b4xwnaj8e30jae57evp,p8FBFBtB,2020-0188,2020-05-21,13:46:55,14:05:56,NA,incomplete,9,filling,1,left,Green_Plus_Stripes_1.jpg,Purple_Circle_Stripes_3.jpg,Red_Triangle_Dots_1.jpg,left,1053.8250000099652,true,NA,NA,NA,NA,NA,NA,NA,NA,true
