workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,0,color,0,right,Green_Plus_Chess_4.jpg,Red_Star_Chess_1.jpg,Green_Circle_Grid_2.jpg,right,1288.0700000005309,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,1,color,0,right,Green_Star_Stripes_3.jpg,Purple_Plus_Stripes_2.jpg,Green_Circle_Chess_1.jpg,right,678.0500000003958,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,2,color,1,right,Blue_Star_Grid_2.jpg,Purple_Circle_Grid_4.jpg,Blue_Triangle_Dots_1.jpg,right,849.1699999994598,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,3,color,1,right,Purple_Triangle_Dots_4.jpg,Blue_Circle_Dots_2.jpg,Purple_Plus_Stripes_1.jpg,right,1080.5899999996182,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,4,color,1,left,Purple_Plus_Chess_1.jpg,Purple_Triangle_Grid_2.jpg,Green_Star_Chess_3.jpg,left,580.1800000008661,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,5,color,0,right,Blue_Plus_Stripes_4.jpg,Green_Triangle_Stripes_2.jpg,Blue_Star_Dots_3.jpg,right,580.7850000000326,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,6,color,1,left,Blue_Triangle_Chess_3.jpg,Blue_Circle_Stripes_2.jpg,Green_Star_Chess_4.jpg,left,816.2400000001071,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,7,color,1,right,Green_Star_Dots_2.jpg,Purple_Plus_Dots_1.jpg,Green_Triangle_Chess_4.jpg,right,654.4450000000652,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,8,color,1,right,Purple_Circle_Grid_3.jpg,Green_Star_Grid_4.jpg,Purple_Triangle_Chess_2.jpg,right,737.1650000005029,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,9,color,1,left,Green_Triangle_Dots_2.jpg,Green_Plus_Chess_3.jpg,Red_Star_Dots_1.jpg,left,638.2299999987008,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,10,color,1,right,Blue_Triangle_Dots_3.jpg,Green_Plus_Dots_4.jpg,Blue_Star_Chess_2.jpg,right,608.5750000003027,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,11,color,1,left,Green_Circle_Grid_4.jpg,Green_Triangle_Dots_3.jpg,Red_Plus_Grid_2.jpg,left,666.8250000001863,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,12,color,0,left,Blue_Star_Grid_2.jpg,Blue_Circle_Dots_4.jpg,Purple_Triangle_Grid_1.jpg,left,763.1099999998696,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,13,color,1,left,Purple_Circle_Dots_4.jpg,Purple_Triangle_Chess_2.jpg,Red_Plus_Dots_1.jpg,left,1191.0150000003632,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,14,color,1,right,Purple_Triangle_Stripes_2.jpg,Red_Circle_Stripes_3.jpg,Purple_Plus_Chess_1.jpg,right,532.1800000000512,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,15,color,1,left,Green_Star_Dots_4.jpg,Green_Plus_Stripes_1.jpg,Blue_Circle_Dots_3.jpg,left,593.1249999995343,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,16,color,1,left,Blue_Circle_Stripes_4.jpg,Blue_Triangle_Dots_1.jpg,Purple_Star_Stripes_2.jpg,left,756.8350000001956,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,17,color,1,left,Green_Circle_Chess_4.jpg,Green_Triangle_Stripes_1.jpg,Blue_Star_Chess_2.jpg,left,700.2650000012945,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,18,color,1,left,Red_Star_Stripes_4.jpg,Red_Plus_Grid_1.jpg,Purple_Triangle_Stripes_3.jpg,left,847.3649999996414,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,19,color,1,left,Blue_Star_Chess_1.jpg,Blue_Circle_Dots_2.jpg,Purple_Triangle_Chess_3.jpg,left,818.5450000001583,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,20,filling,1,left,Purple_Star_Dots_3.jpg,Green_Plus_Dots_2.jpg,Purple_Triangle_Stripes_4.jpg,right,1032.6799999985378,false,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,21,filling,0,right,Purple_Circle_Dots_4.jpg,Purple_Plus_Stripes_2.jpg,Green_Star_Dots_1.jpg,right,1332.0650000005262,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,22,filling,0,right,Purple_Circle_Stripes_3.jpg,Purple_Plus_Chess_1.jpg,Blue_Star_Stripes_4.jpg,right,1776.0000000016298,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,23,filling,1,right,Red_Star_Grid_2.jpg,Red_Plus_Stripes_1.jpg,Blue_Circle_Grid_4.jpg,none,0,false,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,24,filling,1,left,Blue_Plus_Chess_4.jpg,Green_Circle_Chess_2.jpg,Blue_Star_Stripes_3.jpg,left,1263.7500000001164,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,25,filling,1,right,Purple_Star_Chess_1.jpg,Purple_Circle_Grid_3.jpg,Blue_Plus_Chess_2.jpg,right,1332.7950000002747,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,26,filling,1,right,Red_Circle_Dots_4.jpg,Red_Plus_Chess_1.jpg,Purple_Star_Dots_3.jpg,right,1228.440000000759,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,27,filling,1,right,Purple_Circle_Chess_2.jpg,Purple_Plus_Stripes_1.jpg,Red_Star_Chess_3.jpg,right,1359.0750000003027,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,28,filling,1,left,Blue_Plus_Dots_1.jpg,Red_Triangle_Dots_3.jpg,Blue_Star_Chess_4.jpg,left,1270.1799999995856,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IBG6V1I2,3r15w654wg6vibc4e4w6loevry9lqd,3kkg4cdwkmbvfomricr52win8lt49m,IBG6V1I2,2020-0188,2020-11-18,17:46:41,18:09:42,NA,incomplete,29,filling,1,right,Purple_Plus_Grid_4.jpg,Purple_Star_Stripes_2.jpg,Red_Circle_Grid_1.jpg,right,1273.7950000009732,true,NA,NA,NA,NA,NA,NA,NA,NA,true
