workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
Shmq1dHE,3087lxlj7ptluqx9bvztb5ithyq0fq,3lo69w1su7q6s6gk2awwgu6lyl7lgd,Shmq1dHE,2020-0188,2020-11-18,15:07:54,15:33:44,NA,incomplete,0,number,0,left,Green_Plus_Stripes_2.jpg,Blue_Circle_Grid_2.jpg,Green_Star_Chess_1.jpg,left,1427,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Shmq1dHE,3087lxlj7ptluqx9bvztb5ithyq0fq,3lo69w1su7q6s6gk2awwgu6lyl7lgd,Shmq1dHE,2020-0188,2020-11-18,15:07:54,15:33:44,NA,incomplete,1,number,1,left,Red_Triangle_Stripes_3.jpg,Blue_Circle_Grid_3.jpg,Red_Plus_Dots_4.jpg,left,1458,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Shmq1dHE,3087lxlj7ptluqx9bvztb5ithyq0fq,3lo69w1su7q6s6gk2awwgu6lyl7lgd,Shmq1dHE,2020-0188,2020-11-18,15:07:54,15:33:44,NA,incomplete,2,number,1,right,Green_Triangle_Chess_2.jpg,Green_Star_Dots_4.jpg,Purple_Circle_Stripes_2.jpg,right,1389,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Shmq1dHE,3087lxlj7ptluqx9bvztb5ithyq0fq,3lo69w1su7q6s6gk2awwgu6lyl7lgd,Shmq1dHE,2020-0188,2020-11-18,15:07:54,15:33:44,NA,incomplete,3,number,1,left,Purple_Triangle_Grid_4.jpg,Green_Star_Stripes_4.jpg,Purple_Circle_Chess_2.jpg,right,1040,false,NA,NA,NA,NA,NA,NA,NA,NA,true
Shmq1dHE,3087lxlj7ptluqx9bvztb5ithyq0fq,3lo69w1su7q6s6gk2awwgu6lyl7lgd,Shmq1dHE,2020-0188,2020-11-18,15:07:54,15:33:44,NA,incomplete,4,number,1,right,Red_Star_Stripes_4.jpg,Red_Circle_Dots_1.jpg,Green_Plus_Grid_4.jpg,none,0,false,NA,NA,NA,NA,NA,NA,NA,NA,true
Shmq1dHE,3087lxlj7ptluqx9bvztb5ithyq0fq,3lo69w1su7q6s6gk2awwgu6lyl7lgd,Shmq1dHE,2020-0188,2020-11-18,15:07:54,15:33:44,NA,incomplete,5,number,1,right,Red_Triangle_Chess_2.jpg,Red_Circle_Grid_3.jpg,Green_Plus_Stripes_2.jpg,right,1400,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Shmq1dHE,3087lxlj7ptluqx9bvztb5ithyq0fq,3lo69w1su7q6s6gk2awwgu6lyl7lgd,Shmq1dHE,2020-0188,2020-11-18,15:07:54,15:33:44,NA,incomplete,6,number,1,right,Purple_Star_Grid_3.jpg,Purple_Triangle_Stripes_2.jpg,Red_Circle_Chess_3.jpg,right,832,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Shmq1dHE,3087lxlj7ptluqx9bvztb5ithyq0fq,3lo69w1su7q6s6gk2awwgu6lyl7lgd,Shmq1dHE,2020-0188,2020-11-18,15:07:54,15:33:44,NA,incomplete,7,number,1,left,Green_Plus_Dots_3.jpg,Purple_Triangle_Stripes_3.jpg,Green_Star_Chess_1.jpg,left,831,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Shmq1dHE,3087lxlj7ptluqx9bvztb5ithyq0fq,3lo69w1su7q6s6gk2awwgu6lyl7lgd,Shmq1dHE,2020-0188,2020-11-18,15:07:54,15:33:44,NA,incomplete,8,number,0,right,Green_Plus_Stripes_3.jpg,Green_Star_Grid_4.jpg,Blue_Triangle_Chess_3.jpg,right,874,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Shmq1dHE,3087lxlj7ptluqx9bvztb5ithyq0fq,3lo69w1su7q6s6gk2awwgu6lyl7lgd,Shmq1dHE,2020-0188,2020-11-18,15:07:54,15:33:44,NA,incomplete,9,number,0,left,Green_Circle_Stripes_1.jpg,Purple_Plus_Dots_1.jpg,Green_Triangle_Grid_3.jpg,left,788,true,NA,NA,NA,NA,NA,NA,NA,NA,true
