workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
khjcs8rn,3lvtfb9df8vfwjy33dzq8w9nvhnqgc,3r8yzbnq9lvyqalw1c0yr3sm9m27q8,khjcs8rn,2020-0188,2020-11-18,13:33:21,13:56:05,NA,incomplete,0,filling,1,left,Red_Circle_Chess_2.jpg,Purple_Star_Chess_4.jpg,Blue_Plus_Stripes_2.jpg,none,0,false,NA,NA,NA,NA,NA,NA,NA,NA,true
khjcs8rn,3lvtfb9df8vfwjy33dzq8w9nvhnqgc,3r8yzbnq9lvyqalw1c0yr3sm9m27q8,khjcs8rn,2020-0188,2020-11-18,13:33:21,13:56:05,NA,incomplete,1,filling,1,right,Red_Triangle_Dots_1.jpg,Blue_Plus_Grid_1.jpg,Purple_Star_Dots_2.jpg,right,1341.999999996915,true,NA,NA,NA,NA,NA,NA,NA,NA,true
khjcs8rn,3lvtfb9df8vfwjy33dzq8w9nvhnqgc,3r8yzbnq9lvyqalw1c0yr3sm9m27q8,khjcs8rn,2020-0188,2020-11-18,13:33:21,13:56:05,NA,incomplete,2,filling,1,right,Blue_Star_Stripes_2.jpg,Red_Plus_Grid_2.jpg,Green_Circle_Stripes_3.jpg,right,1580.999999998312,true,NA,NA,NA,NA,NA,NA,NA,NA,true
khjcs8rn,3lvtfb9df8vfwjy33dzq8w9nvhnqgc,3r8yzbnq9lvyqalw1c0yr3sm9m27q8,khjcs8rn,2020-0188,2020-11-18,13:33:21,13:56:05,NA,incomplete,3,filling,1,right,Purple_Star_Stripes_2.jpg,Blue_Triangle_Dots_2.jpg,Green_Plus_Stripes_4.jpg,right,1331.000000005588,true,NA,NA,NA,NA,NA,NA,NA,NA,true
khjcs8rn,3lvtfb9df8vfwjy33dzq8w9nvhnqgc,3r8yzbnq9lvyqalw1c0yr3sm9m27q8,khjcs8rn,2020-0188,2020-11-18,13:33:21,13:56:05,NA,incomplete,4,filling,0,right,Green_Plus_Chess_4.jpg,Red_Triangle_Dots_4.jpg,Purple_Star_Chess_3.jpg,right,1811.9999999980791,true,NA,NA,NA,NA,NA,NA,NA,NA,true
khjcs8rn,3lvtfb9df8vfwjy33dzq8w9nvhnqgc,3r8yzbnq9lvyqalw1c0yr3sm9m27q8,khjcs8rn,2020-0188,2020-11-18,13:33:21,13:56:05,NA,incomplete,5,filling,1,left,Blue_Star_Grid_2.jpg,Green_Triangle_Grid_4.jpg,Red_Circle_Dots_2.jpg,left,1324.9999999970896,true,NA,NA,NA,NA,NA,NA,NA,NA,true
khjcs8rn,3lvtfb9df8vfwjy33dzq8w9nvhnqgc,3r8yzbnq9lvyqalw1c0yr3sm9m27q8,khjcs8rn,2020-0188,2020-11-18,13:33:21,13:56:05,NA,incomplete,6,filling,0,right,Red_Circle_Stripes_1.jpg,Purple_Star_Grid_1.jpg,Green_Triangle_Stripes_2.jpg,right,989.000000001397,true,NA,NA,NA,NA,NA,NA,NA,NA,true
khjcs8rn,3lvtfb9df8vfwjy33dzq8w9nvhnqgc,3r8yzbnq9lvyqalw1c0yr3sm9m27q8,khjcs8rn,2020-0188,2020-11-18,13:33:21,13:56:05,NA,incomplete,7,filling,1,right,Green_Plus_Stripes_4.jpg,Blue_Star_Grid_4.jpg,Red_Triangle_Stripes_3.jpg,right,1194.999999999709,true,NA,NA,NA,NA,NA,NA,NA,NA,true
khjcs8rn,3lvtfb9df8vfwjy33dzq8w9nvhnqgc,3r8yzbnq9lvyqalw1c0yr3sm9m27q8,khjcs8rn,2020-0188,2020-11-18,13:33:21,13:56:05,NA,incomplete,8,filling,0,right,Green_Triangle_Stripes_1.jpg,Blue_Circle_Chess_1.jpg,Purple_Star_Stripes_2.jpg,left,1010.0000000020373,false,NA,NA,NA,NA,NA,NA,NA,NA,true
khjcs8rn,3lvtfb9df8vfwjy33dzq8w9nvhnqgc,3r8yzbnq9lvyqalw1c0yr3sm9m27q8,khjcs8rn,2020-0188,2020-11-18,13:33:21,13:56:05,NA,incomplete,9,filling,1,left,Blue_Plus_Dots_1.jpg,Green_Circle_Dots_4.jpg,Purple_Triangle_Grid_1.jpg,left,1404.00000000227,true,NA,NA,NA,NA,NA,NA,NA,NA,true
