workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
JOWcq4l8,372ages0j7iqu68t52ou18jnn9hxrx,3s4aw7t80fvqgqn079uv759hamal4e,JOWcq4l8,2020-0188,2020-05-21,22:51:39,23:13:54,NA,incomplete,0,color,0,left,Blue_Plus_Grid_3.jpg,Blue_Circle_Stripes_2.jpg,Green_Star_Dots_3.jpg,right,1043.4100000420585,false,NA,true
JOWcq4l8,372ages0j7iqu68t52ou18jnn9hxrx,3s4aw7t80fvqgqn079uv759hamal4e,JOWcq4l8,2020-0188,2020-05-21,22:51:39,23:13:54,NA,incomplete,1,color,1,left,Purple_Triangle_Grid_2.jpg,Purple_Star_Dots_1.jpg,Green_Plus_Stripes_2.jpg,left,1915.099999983795,true,NA,true
JOWcq4l8,372ages0j7iqu68t52ou18jnn9hxrx,3s4aw7t80fvqgqn079uv759hamal4e,JOWcq4l8,2020-0188,2020-05-21,22:51:39,23:13:54,NA,incomplete,2,color,1,right,Red_Circle_Chess_2.jpg,Green_Plus_Grid_2.jpg,Red_Star_Stripes_4.jpg,right,1290.3800000203773,true,NA,true
JOWcq4l8,372ages0j7iqu68t52ou18jnn9hxrx,3s4aw7t80fvqgqn079uv759hamal4e,JOWcq4l8,2020-0188,2020-05-21,22:51:39,23:13:54,NA,incomplete,3,color,1,left,Red_Triangle_Grid_2.jpg,Red_Plus_Chess_4.jpg,Green_Star_Stripes_2.jpg,left,1144.7950000292622,true,NA,true
JOWcq4l8,372ages0j7iqu68t52ou18jnn9hxrx,3s4aw7t80fvqgqn079uv759hamal4e,JOWcq4l8,2020-0188,2020-05-21,22:51:39,23:13:54,NA,incomplete,4,color,1,left,Blue_Plus_Dots_3.jpg,Blue_Star_Grid_4.jpg,Red_Triangle_Stripes_3.jpg,left,934.9599999841303,true,NA,true
JOWcq4l8,372ages0j7iqu68t52ou18jnn9hxrx,3s4aw7t80fvqgqn079uv759hamal4e,JOWcq4l8,2020-0188,2020-05-21,22:51:39,23:13:54,NA,incomplete,5,color,1,left,Red_Plus_Dots_2.jpg,Red_Triangle_Chess_4.jpg,Green_Circle_Grid_2.jpg,left,802.9800000367686,true,NA,true
JOWcq4l8,372ages0j7iqu68t52ou18jnn9hxrx,3s4aw7t80fvqgqn079uv759hamal4e,JOWcq4l8,2020-0188,2020-05-21,22:51:39,23:13:54,NA,incomplete,6,color,0,right,Blue_Star_Dots_2.jpg,Green_Circle_Stripes_2.jpg,Blue_Triangle_Chess_1.jpg,right,726.555000001099,true,NA,true
JOWcq4l8,372ages0j7iqu68t52ou18jnn9hxrx,3s4aw7t80fvqgqn079uv759hamal4e,JOWcq4l8,2020-0188,2020-05-21,22:51:39,23:13:54,NA,incomplete,7,color,0,left,Green_Triangle_Grid_4.jpg,Green_Star_Chess_1.jpg,Blue_Plus_Dots_4.jpg,left,865.6100000371225,true,NA,true
JOWcq4l8,372ages0j7iqu68t52ou18jnn9hxrx,3s4aw7t80fvqgqn079uv759hamal4e,JOWcq4l8,2020-0188,2020-05-21,22:51:39,23:13:54,NA,incomplete,8,color,1,left,Green_Circle_Chess_4.jpg,Green_Triangle_Grid_3.jpg,Purple_Plus_Dots_4.jpg,left,1068.3500000159256,true,NA,true
JOWcq4l8,372ages0j7iqu68t52ou18jnn9hxrx,3s4aw7t80fvqgqn079uv759hamal4e,JOWcq4l8,2020-0188,2020-05-21,22:51:39,23:13:54,NA,incomplete,9,color,0,left,Purple_Triangle_Grid_3.jpg,Purple_Star_Dots_2.jpg,Red_Plus_Chess_3.jpg,left,819.0600000089034,true,NA,true
