workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
g428lRzN,338glsui56olvzhlkxidlboc564sfp,3v0z7ywsi2dj9hk7hzdd1zalh4ov2f,g428lRzN,2020-0188,2020-05-21,17:30:33,17:44:57,NA,incomplete,0,number,1,left,Red_Plus_Chess_2.jpg,Blue_Circle_Dots_2.jpg,Red_Star_Stripes_3.jpg,left,1941.4049999904819,true,NA,NA,NA,NA,NA,NA,NA,NA,true
g428lRzN,338glsui56olvzhlkxidlboc564sfp,3v0z7ywsi2dj9hk7hzdd1zalh4ov2f,g428lRzN,2020-0188,2020-05-21,17:30:33,17:44:57,NA,incomplete,1,number,1,left,Red_Plus_Dots_3.jpg,Green_Triangle_Chess_3.jpg,Red_Star_Grid_1.jpg,left,1111.345000041183,true,NA,NA,NA,NA,NA,NA,NA,NA,true
g428lRzN,338glsui56olvzhlkxidlboc564sfp,3v0z7ywsi2dj9hk7hzdd1zalh4ov2f,g428lRzN,2020-0188,2020-05-21,17:30:33,17:44:57,NA,incomplete,2,number,0,right,Blue_Plus_Dots_3.jpg,Blue_Star_Stripes_1.jpg,Purple_Triangle_Grid_3.jpg,right,1069.530000037048,true,NA,NA,NA,NA,NA,NA,NA,NA,true
g428lRzN,338glsui56olvzhlkxidlboc564sfp,3v0z7ywsi2dj9hk7hzdd1zalh4ov2f,g428lRzN,2020-0188,2020-05-21,17:30:33,17:44:57,NA,incomplete,3,number,1,right,Red_Triangle_Stripes_4.jpg,Red_Star_Dots_3.jpg,Purple_Circle_Chess_4.jpg,none,0,false,NA,NA,NA,NA,NA,NA,NA,NA,true
g428lRzN,338glsui56olvzhlkxidlboc564sfp,3v0z7ywsi2dj9hk7hzdd1zalh4ov2f,g428lRzN,2020-0188,2020-05-21,17:30:33,17:44:57,NA,incomplete,4,number,0,left,Purple_Plus_Chess_2.jpg,Blue_Triangle_Grid_2.jpg,Purple_Star_Stripes_4.jpg,left,1029.5850000111386,true,NA,NA,NA,NA,NA,NA,NA,NA,true
g428lRzN,338glsui56olvzhlkxidlboc564sfp,3v0z7ywsi2dj9hk7hzdd1zalh4ov2f,g428lRzN,2020-0188,2020-05-21,17:30:33,17:44:57,NA,incomplete,5,number,1,left,Purple_Triangle_Grid_2.jpg,Green_Star_Stripes_2.jpg,Purple_Plus_Chess_1.jpg,left,1133.4899999783374,true,NA,NA,NA,NA,NA,NA,NA,NA,true
g428lRzN,338glsui56olvzhlkxidlboc564sfp,3v0z7ywsi2dj9hk7hzdd1zalh4ov2f,g428lRzN,2020-0188,2020-05-21,17:30:33,17:44:57,NA,incomplete,6,number,1,right,Blue_Plus_Chess_4.jpg,Blue_Star_Dots_3.jpg,Red_Circle_Grid_4.jpg,right,1184.3900000094436,true,NA,NA,NA,NA,NA,NA,NA,NA,true
g428lRzN,338glsui56olvzhlkxidlboc564sfp,3v0z7ywsi2dj9hk7hzdd1zalh4ov2f,g428lRzN,2020-0188,2020-05-21,17:30:33,17:44:57,NA,incomplete,7,number,1,left,Green_Plus_Chess_4.jpg,Purple_Triangle_Dots_4.jpg,Green_Circle_Stripes_2.jpg,left,841.4350000093691,true,NA,NA,NA,NA,NA,NA,NA,NA,true
g428lRzN,338glsui56olvzhlkxidlboc564sfp,3v0z7ywsi2dj9hk7hzdd1zalh4ov2f,g428lRzN,2020-0188,2020-05-21,17:30:33,17:44:57,NA,incomplete,8,number,1,right,Purple_Triangle_Stripes_2.jpg,Purple_Star_Chess_3.jpg,Blue_Plus_Grid_2.jpg,right,1270.5100000021048,true,NA,NA,NA,NA,NA,NA,NA,NA,true
g428lRzN,338glsui56olvzhlkxidlboc564sfp,3v0z7ywsi2dj9hk7hzdd1zalh4ov2f,g428lRzN,2020-0188,2020-05-21,17:30:33,17:44:57,NA,incomplete,9,number,1,left,Purple_Star_Stripes_3.jpg,Green_Plus_Grid_3.jpg,Purple_Triangle_Chess_4.jpg,left,988.8700000010431,true,NA,NA,NA,NA,NA,NA,NA,NA,true
g428lRzN,338glsui56olvzhlkxidlboc564sfp,3v0z7ywsi2dj9hk7hzdd1zalh4ov2f,g428lRzN,2020-0188,2020-05-21,17:30:33,17:44:57,NA,incomplete,10,number,1,left,Green_Circle_Chess_4.jpg,Purple_Star_Grid_4.jpg,Green_Triangle_Stripes_1.jpg,left,797.2949999966659,true,NA,NA,NA,NA,NA,NA,NA,NA,true
g428lRzN,338glsui56olvzhlkxidlboc564sfp,3v0z7ywsi2dj9hk7hzdd1zalh4ov2f,g428lRzN,2020-0188,2020-05-21,17:30:33,17:44:57,NA,incomplete,11,number,1,right,Purple_Circle_Grid_1.jpg,Purple_Star_Chess_3.jpg,Blue_Plus_Dots_1.jpg,right,1059.4399999827147,true,NA,NA,NA,NA,NA,NA,NA,NA,true
