workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
aLJQ5cqb,3o2y2uiudt7n7g4dfo9bupx2ocrfkv,3vp0c6efsk9o1v9zq9op4g8k6e36mb,aLJQ5cqb,2020-0188,2020-05-21,13:06:44,13:28:55,NA,incomplete,0,color,0,left,Blue_Triangle_Grid_3.jpg,Blue_Star_Chess_4.jpg,Red_Triangle_Stripes_1.jpg,left,1237.7850000048056,true,NA,NA,NA,NA,NA,NA,NA,NA,true
aLJQ5cqb,3o2y2uiudt7n7g4dfo9bupx2ocrfkv,3vp0c6efsk9o1v9zq9op4g8k6e36mb,aLJQ5cqb,2020-0188,2020-05-21,13:06:44,13:28:55,NA,incomplete,1,color,1,left,Red_Star_Stripes_3.jpg,Red_Plus_Chess_2.jpg,Green_Star_Dots_4.jpg,left,885.4300000239164,true,NA,NA,NA,NA,NA,NA,NA,NA,true
aLJQ5cqb,3o2y2uiudt7n7g4dfo9bupx2ocrfkv,3vp0c6efsk9o1v9zq9op4g8k6e36mb,aLJQ5cqb,2020-0188,2020-05-21,13:06:44,13:28:55,NA,incomplete,2,color,1,left,Blue_Star_Dots_4.jpg,Blue_Circle_Chess_2.jpg,Red_Star_Stripes_3.jpg,left,718.7400000402704,true,NA,NA,NA,NA,NA,NA,NA,NA,true
aLJQ5cqb,3o2y2uiudt7n7g4dfo9bupx2ocrfkv,3vp0c6efsk9o1v9zq9op4g8k6e36mb,aLJQ5cqb,2020-0188,2020-05-21,13:06:44,13:28:55,NA,incomplete,3,color,0,left,Green_Circle_Grid_4.jpg,Green_Plus_Chess_2.jpg,Purple_Circle_Dots_1.jpg,left,1334.80499999132,true,NA,NA,NA,NA,NA,NA,NA,NA,true
aLJQ5cqb,3o2y2uiudt7n7g4dfo9bupx2ocrfkv,3vp0c6efsk9o1v9zq9op4g8k6e36mb,aLJQ5cqb,2020-0188,2020-05-21,13:06:44,13:28:55,NA,incomplete,4,color,1,right,Red_Plus_Stripes_4.jpg,Green_Plus_Chess_1.jpg,Red_Circle_Dots_2.jpg,right,747.2400000551715,true,NA,NA,NA,NA,NA,NA,NA,NA,true
aLJQ5cqb,3o2y2uiudt7n7g4dfo9bupx2ocrfkv,3vp0c6efsk9o1v9zq9op4g8k6e36mb,aLJQ5cqb,2020-0188,2020-05-21,13:06:44,13:28:55,NA,incomplete,5,color,1,right,Red_Plus_Stripes_3.jpg,Blue_Plus_Dots_1.jpg,Red_Triangle_Grid_2.jpg,right,847.7049999637529,true,NA,NA,NA,NA,NA,NA,NA,NA,true
aLJQ5cqb,3o2y2uiudt7n7g4dfo9bupx2ocrfkv,3vp0c6efsk9o1v9zq9op4g8k6e36mb,aLJQ5cqb,2020-0188,2020-05-21,13:06:44,13:28:55,NA,incomplete,6,color,0,left,Green_Star_Grid_2.jpg,Green_Circle_Dots_4.jpg,Purple_Star_Chess_3.jpg,left,690.000000060536,true,NA,NA,NA,NA,NA,NA,NA,NA,true
aLJQ5cqb,3o2y2uiudt7n7g4dfo9bupx2ocrfkv,3vp0c6efsk9o1v9zq9op4g8k6e36mb,aLJQ5cqb,2020-0188,2020-05-21,13:06:44,13:28:55,NA,incomplete,7,color,0,left,Blue_Circle_Stripes_2.jpg,Blue_Star_Dots_3.jpg,Purple_Circle_Chess_1.jpg,left,1115.3399999020621,true,NA,NA,NA,NA,NA,NA,NA,NA,true
aLJQ5cqb,3o2y2uiudt7n7g4dfo9bupx2ocrfkv,3vp0c6efsk9o1v9zq9op4g8k6e36mb,aLJQ5cqb,2020-0188,2020-05-21,13:06:44,13:28:55,NA,incomplete,8,color,1,right,Red_Star_Dots_1.jpg,Green_Star_Stripes_3.jpg,Red_Circle_Chess_4.jpg,right,924.0200000349432,true,NA,NA,NA,NA,NA,NA,NA,NA,true
aLJQ5cqb,3o2y2uiudt7n7g4dfo9bupx2ocrfkv,3vp0c6efsk9o1v9zq9op4g8k6e36mb,aLJQ5cqb,2020-0188,2020-05-21,13:06:44,13:28:55,NA,incomplete,9,color,1,right,Red_Plus_Dots_2.jpg,Blue_Plus_Chess_4.jpg,Red_Circle_Stripes_3.jpg,right,774.2299999808893,true,NA,NA,NA,NA,NA,NA,NA,NA,true
aLJQ5cqb,3o2y2uiudt7n7g4dfo9bupx2ocrfkv,3vp0c6efsk9o1v9zq9op4g8k6e36mb,aLJQ5cqb,2020-0188,2020-05-21,13:06:44,13:28:55,NA,incomplete,10,color,1,right,Blue_Star_Dots_1.jpg,Red_Star_Chess_3.jpg,Blue_Circle_Grid_4.jpg,right,863.539999932982,true,NA,NA,NA,NA,NA,NA,NA,NA,true
