workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
IYrfrDmJ,3dzkabx20liukfefnqxhosng7x6cv3,3yz8upk3vxzwukn992sehqhofm4uc6,IYrfrDmJ,2020-0188,2020-05-21,14:43:58,15:00:48,NA,incomplete,0,filling,1,right,Purple_Plus_Dots_1.jpg,Purple_Triangle_Grid_2.jpg,Blue_Circle_Dots_4.jpg,none,0,false,NA,NA,NA,NA,NA,NA,NA,NA,true
IYrfrDmJ,3dzkabx20liukfefnqxhosng7x6cv3,3yz8upk3vxzwukn992sehqhofm4uc6,IYrfrDmJ,2020-0188,2020-05-21,14:43:58,15:00:48,NA,incomplete,1,filling,1,left,Red_Plus_Stripes_3.jpg,Purple_Triangle_Stripes_4.jpg,Red_Star_Dots_1.jpg,left,1493.804999976419,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IYrfrDmJ,3dzkabx20liukfefnqxhosng7x6cv3,3yz8upk3vxzwukn992sehqhofm4uc6,IYrfrDmJ,2020-0188,2020-05-21,14:43:58,15:00:48,NA,incomplete,2,filling,1,left,Green_Circle_Stripes_2.jpg,Red_Star_Stripes_4.jpg,Green_Triangle_Dots_3.jpg,left,1369.5750000188127,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IYrfrDmJ,3dzkabx20liukfefnqxhosng7x6cv3,3yz8upk3vxzwukn992sehqhofm4uc6,IYrfrDmJ,2020-0188,2020-05-21,14:43:58,15:00:48,NA,incomplete,3,filling,1,right,Blue_Star_Chess_2.jpg,Blue_Plus_Dots_3.jpg,Green_Triangle_Chess_1.jpg,right,1275.9499999810942,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IYrfrDmJ,3dzkabx20liukfefnqxhosng7x6cv3,3yz8upk3vxzwukn992sehqhofm4uc6,IYrfrDmJ,2020-0188,2020-05-21,14:43:58,15:00:48,NA,incomplete,4,filling,0,right,Purple_Triangle_Grid_3.jpg,Purple_Star_Dots_2.jpg,Red_Circle_Grid_1.jpg,right,1101.1949999956414,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IYrfrDmJ,3dzkabx20liukfefnqxhosng7x6cv3,3yz8upk3vxzwukn992sehqhofm4uc6,IYrfrDmJ,2020-0188,2020-05-21,14:43:58,15:00:48,NA,incomplete,5,filling,1,left,Blue_Triangle_Dots_3.jpg,Green_Circle_Dots_1.jpg,Blue_Star_Stripes_4.jpg,left,1765.2450000168756,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IYrfrDmJ,3dzkabx20liukfefnqxhosng7x6cv3,3yz8upk3vxzwukn992sehqhofm4uc6,IYrfrDmJ,2020-0188,2020-05-21,14:43:58,15:00:48,NA,incomplete,6,filling,1,left,Red_Circle_Stripes_2.jpg,Purple_Triangle_Stripes_4.jpg,Red_Plus_Chess_3.jpg,left,1276.4899999601766,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IYrfrDmJ,3dzkabx20liukfefnqxhosng7x6cv3,3yz8upk3vxzwukn992sehqhofm4uc6,IYrfrDmJ,2020-0188,2020-05-21,14:43:58,15:00:48,NA,incomplete,7,filling,1,left,Red_Circle_Grid_1.jpg,Green_Plus_Grid_4.jpg,Red_Triangle_Chess_2.jpg,left,957.3049999889918,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IYrfrDmJ,3dzkabx20liukfefnqxhosng7x6cv3,3yz8upk3vxzwukn992sehqhofm4uc6,IYrfrDmJ,2020-0188,2020-05-21,14:43:58,15:00:48,NA,incomplete,8,filling,1,right,Red_Triangle_Grid_4.jpg,Red_Circle_Chess_3.jpg,Blue_Star_Grid_1.jpg,right,1043.7099999981,true,NA,NA,NA,NA,NA,NA,NA,NA,true
IYrfrDmJ,3dzkabx20liukfefnqxhosng7x6cv3,3yz8upk3vxzwukn992sehqhofm4uc6,IYrfrDmJ,2020-0188,2020-05-21,14:43:58,15:00:48,NA,incomplete,9,filling,1,right,Red_Circle_Stripes_4.jpg,Red_Star_Grid_3.jpg,Green_Triangle_Stripes_2.jpg,right,1069.2649999982677,true,NA,NA,NA,NA,NA,NA,NA,NA,true
