workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,sequence,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
2045iKQj,3kqc8jmjhf51pencp85cgosduim3h1,30mvjzjnhqqli65clje98y75uw29jv,2045iKQj,2020-0188,2020-06-04,17:45:20,18:06:26,NA,incomplete,0,color,0,1,right,Red_Star_Chess_2.jpg,Purple_Star_Dots_3.jpg,Red_Plus_Grid_1.jpg,right,1237.740000000049,true,NA,NA,NA,NA,NA,NA,NA,NA,true
2045iKQj,3kqc8jmjhf51pencp85cgosduim3h1,30mvjzjnhqqli65clje98y75uw29jv,2045iKQj,2020-0188,2020-06-04,17:45:20,18:06:26,NA,incomplete,1,color,0,1,left,Green_Circle_Chess_4.jpg,Green_Star_Stripes_2.jpg,Purple_Circle_Dots_3.jpg,left,1278.1449999999604,true,NA,NA,NA,NA,NA,NA,NA,NA,true
2045iKQj,3kqc8jmjhf51pencp85cgosduim3h1,30mvjzjnhqqli65clje98y75uw29jv,2045iKQj,2020-0188,2020-06-04,17:45:20,18:06:26,NA,incomplete,2,color,0,1,right,Green_Circle_Stripes_2.jpg,Purple_Circle_Grid_3.jpg,Green_Star_Chess_4.jpg,none,0,false,NA,NA,NA,NA,NA,NA,NA,NA,true
2045iKQj,3kqc8jmjhf51pencp85cgosduim3h1,30mvjzjnhqqli65clje98y75uw29jv,2045iKQj,2020-0188,2020-06-04,17:45:20,18:06:26,NA,incomplete,3,color,0,1,left,Purple_Plus_Dots_3.jpg,Purple_Star_Grid_2.jpg,Blue_Plus_Chess_1.jpg,left,902.0249999998487,true,NA,NA,NA,NA,NA,NA,NA,NA,true
2045iKQj,3kqc8jmjhf51pencp85cgosduim3h1,30mvjzjnhqqli65clje98y75uw29jv,2045iKQj,2020-0188,2020-06-04,17:45:20,18:06:26,NA,incomplete,4,color,0,1,left,Green_Circle_Stripes_4.jpg,Green_Triangle_Dots_3.jpg,Purple_Circle_Grid_2.jpg,left,876.4150000001537,true,NA,NA,NA,NA,NA,NA,NA,NA,true
2045iKQj,3kqc8jmjhf51pencp85cgosduim3h1,30mvjzjnhqqli65clje98y75uw29jv,2045iKQj,2020-0188,2020-06-04,17:45:20,18:06:26,NA,incomplete,5,color,0,1,left,Green_Triangle_Chess_1.jpg,Green_Circle_Stripes_2.jpg,Blue_Triangle_Dots_4.jpg,left,675.7749999999651,true,NA,NA,NA,NA,NA,NA,NA,NA,true
2045iKQj,3kqc8jmjhf51pencp85cgosduim3h1,30mvjzjnhqqli65clje98y75uw29jv,2045iKQj,2020-0188,2020-06-04,17:45:20,18:06:26,NA,incomplete,6,color,0,0,left,Red_Circle_Chess_3.jpg,Red_Plus_Grid_1.jpg,Blue_Circle_Stripes_4.jpg,left,817.7899999998044,true,NA,NA,NA,NA,NA,NA,NA,NA,true
2045iKQj,3kqc8jmjhf51pencp85cgosduim3h1,30mvjzjnhqqli65clje98y75uw29jv,2045iKQj,2020-0188,2020-06-04,17:45:20,18:06:26,NA,incomplete,7,color,0,1,right,Green_Circle_Chess_3.jpg,Blue_Circle_Stripes_4.jpg,Green_Triangle_Dots_1.jpg,right,1187.914999999979,true,NA,NA,NA,NA,NA,NA,NA,NA,true
2045iKQj,3kqc8jmjhf51pencp85cgosduim3h1,30mvjzjnhqqli65clje98y75uw29jv,2045iKQj,2020-0188,2020-06-04,17:45:20,18:06:26,NA,incomplete,8,color,0,1,left,Green_Plus_Chess_3.jpg,Green_Triangle_Stripes_4.jpg,Purple_Plus_Dots_1.jpg,left,1757.0000000000582,true,NA,NA,NA,NA,NA,NA,NA,NA,true
2045iKQj,3kqc8jmjhf51pencp85cgosduim3h1,30mvjzjnhqqli65clje98y75uw29jv,2045iKQj,2020-0188,2020-06-04,17:45:20,18:06:26,NA,incomplete,9,color,0,1,left,Red_Star_Chess_1.jpg,Red_Circle_Stripes_2.jpg,Blue_Star_Grid_4.jpg,left,992.9100000002072,true,NA,NA,NA,NA,NA,NA,NA,NA,true
2045iKQj,3kqc8jmjhf51pencp85cgosduim3h1,30mvjzjnhqqli65clje98y75uw29jv,2045iKQj,2020-0188,2020-06-04,17:45:20,18:06:26,NA,incomplete,10,color,0,1,right,Green_Plus_Dots_3.jpg,Red_Plus_Chess_4.jpg,Green_Star_Stripes_2.jpg,right,883.0500000001048,true,NA,NA,NA,NA,NA,NA,NA,NA,true
2045iKQj,3kqc8jmjhf51pencp85cgosduim3h1,30mvjzjnhqqli65clje98y75uw29jv,2045iKQj,2020-0188,2020-06-04,17:45:20,18:06:26,NA,incomplete,11,color,0,1,right,Purple_Triangle_Dots_2.jpg,Blue_Triangle_Stripes_4.jpg,Purple_Circle_Grid_1.jpg,right,1025.7550000000629,true,NA,NA,NA,NA,NA,NA,NA,NA,true
2045iKQj,3kqc8jmjhf51pencp85cgosduim3h1,30mvjzjnhqqli65clje98y75uw29jv,2045iKQj,2020-0188,2020-06-04,17:45:20,18:06:26,NA,incomplete,12,color,0,1,right,Green_Triangle_Grid_3.jpg,Blue_Triangle_Stripes_4.jpg,Green_Circle_Dots_1.jpg,right,874.6650000000373,true,NA,NA,NA,NA,NA,NA,NA,NA,true
2045iKQj,3kqc8jmjhf51pencp85cgosduim3h1,30mvjzjnhqqli65clje98y75uw29jv,2045iKQj,2020-0188,2020-06-04,17:45:20,18:06:26,NA,incomplete,13,color,0,1,right,Purple_Plus_Stripes_3.jpg,Green_Plus_Chess_1.jpg,Purple_Triangle_Dots_2.jpg,right,1089.7350000000442,true,NA,NA,NA,NA,NA,NA,NA,NA,true
2045iKQj,3kqc8jmjhf51pencp85cgosduim3h1,30mvjzjnhqqli65clje98y75uw29jv,2045iKQj,2020-0188,2020-06-04,17:45:20,18:06:26,NA,incomplete,14,color,0,1,right,Purple_Triangle_Chess_1.jpg,Green_Triangle_Stripes_3.jpg,Purple_Star_Dots_4.jpg,right,576.1999999999534,true,NA,NA,NA,NA,NA,NA,NA,NA,true
2045iKQj,3kqc8jmjhf51pencp85cgosduim3h1,30mvjzjnhqqli65clje98y75uw29jv,2045iKQj,2020-0188,2020-06-04,17:45:20,18:06:26,NA,incomplete,15,color,0,1,left,Red_Star_Stripes_4.jpg,Red_Circle_Chess_3.jpg,Green_Star_Grid_1.jpg,left,707.1450000000768,true,NA,NA,NA,NA,NA,NA,NA,NA,true
