workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,sequence,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,0,color,0,1,right,Blue_Triangle_Dots_3.jpg,Red_Triangle_Grid_1.jpg,Blue_Star_Stripes_2.jpg,right,981.389999971725,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,1,color,0,0,right,Green_Plus_Grid_4.jpg,Purple_Plus_Dots_3.jpg,Green_Star_Chess_2.jpg,right,713.3400000166148,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,2,color,0,1,left,Green_Plus_Grid_3.jpg,Green_Star_Stripes_1.jpg,Purple_Plus_Dots_4.jpg,left,801.7650000401773,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,3,color,0,1,left,Red_Plus_Stripes_2.jpg,Red_Star_Dots_3.jpg,Purple_Plus_Grid_1.jpg,left,1862.395000003744,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,4,color,0,1,left,Purple_Triangle_Stripes_3.jpg,Purple_Plus_Grid_2.jpg,Red_Triangle_Dots_4.jpg,left,1596.5599999763072,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,5,color,0,1,left,Blue_Triangle_Grid_1.jpg,Blue_Plus_Dots_3.jpg,Purple_Triangle_Stripes_2.jpg,left,1150.3500000108033,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,6,color,0,1,left,Blue_Triangle_Dots_3.jpg,Blue_Plus_Stripes_2.jpg,Green_Triangle_Chess_4.jpg,left,851.5349999652244,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,7,color,0,1,right,Purple_Plus_Chess_3.jpg,Red_Plus_Stripes_2.jpg,Purple_Triangle_Dots_4.jpg,right,990.1299999910407,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,8,color,0,1,left,Purple_Circle_Dots_4.jpg,Purple_Plus_Grid_1.jpg,Red_Circle_Stripes_3.jpg,left,1154.7150000114925,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,9,color,0,0,right,Red_Plus_Stripes_4.jpg,Purple_Plus_Grid_1.jpg,Red_Circle_Chess_2.jpg,right,1278.6899999482557,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,10,color,0,1,right,Blue_Triangle_Dots_1.jpg,Red_Triangle_Chess_4.jpg,Blue_Star_Grid_2.jpg,right,1150.794999965001,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,11,color,0,1,left,Green_Circle_Chess_3.jpg,Green_Plus_Dots_4.jpg,Purple_Circle_Stripes_2.jpg,left,875.6750000175089,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,12,color,0,1,left,Blue_Triangle_Stripes_1.jpg,Blue_Circle_Grid_4.jpg,Green_Triangle_Dots_3.jpg,left,972.7149999816902,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,13,color,0,0,left,Green_Triangle_Chess_2.jpg,Green_Circle_Stripes_3.jpg,Blue_Triangle_Dots_1.jpg,left,1073.0750000220723,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,14,color,0,1,left,Red_Star_Grid_2.jpg,Red_Plus_Chess_4.jpg,Blue_Star_Dots_3.jpg,left,1130.2600000053644,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,15,color,0,1,right,Purple_Star_Grid_2.jpg,Green_Star_Stripes_3.jpg,Purple_Triangle_Dots_1.jpg,right,1183.7299999897368,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,16,color,0,1,right,Purple_Circle_Dots_4.jpg,Green_Circle_Grid_3.jpg,Purple_Plus_Stripes_1.jpg,right,1548.6000000382774,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,17,color,0,1,right,Green_Triangle_Stripes_1.jpg,Red_Triangle_Dots_2.jpg,Green_Star_Chess_3.jpg,right,935.8650000067428,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,18,color,0,1,right,Red_Circle_Grid_3.jpg,Blue_Circle_Chess_2.jpg,Red_Star_Dots_1.jpg,right,966.8999999994412,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,19,color,0,1,right,Purple_Circle_Chess_4.jpg,Red_Circle_Stripes_2.jpg,Purple_Star_Dots_1.jpg,right,1283.9249999960884,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,20,shape,1,1,left,Red_Circle_Chess_1.jpg,Blue_Circle_Grid_2.jpg,Red_Plus_Dots_3.jpg,left,1459.9900000030175,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,21,shape,1,1,right,Green_Star_Chess_2.jpg,Green_Triangle_Grid_4.jpg,Red_Star_Dots_3.jpg,right,1090.9300000057556,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,22,shape,1,1,left,Blue_Triangle_Chess_1.jpg,Red_Triangle_Grid_3.jpg,Blue_Star_Dots_2.jpg,left,906.8800000241026,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,23,shape,1,1,right,Red_Triangle_Chess_1.jpg,Red_Star_Grid_4.jpg,Blue_Triangle_Stripes_3.jpg,right,1074.41999996081,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,24,shape,1,1,left,Green_Circle_Dots_1.jpg,Purple_Circle_Stripes_4.jpg,Green_Star_Chess_2.jpg,left,1258.7100000237115,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,25,shape,1,1,left,Purple_Triangle_Chess_3.jpg,Blue_Triangle_Dots_2.jpg,Purple_Star_Stripes_4.jpg,left,1258.7099999655038,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,26,shape,1,0,right,Purple_Circle_Chess_4.jpg,Purple_Star_Grid_3.jpg,Green_Circle_Dots_2.jpg,right,1043.1649999809451,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,27,shape,1,1,right,Blue_Plus_Dots_2.jpg,Blue_Circle_Chess_4.jpg,Red_Plus_Grid_1.jpg,right,1004.6899999724701,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,28,shape,1,0,right,Red_Plus_Grid_4.jpg,Red_Triangle_Chess_1.jpg,Purple_Plus_Stripes_3.jpg,left,960.239999985788,false,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,29,shape,1,1,left,Purple_Circle_Chess_3.jpg,Green_Circle_Grid_1.jpg,Purple_Plus_Dots_2.jpg,left,933.4399999934249,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,30,shape,1,0,right,Purple_Star_Dots_3.jpg,Purple_Circle_Chess_2.jpg,Red_Star_Grid_1.jpg,right,836.5250000497326,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,31,shape,1,1,right,Red_Triangle_Chess_1.jpg,Red_Star_Stripes_2.jpg,Green_Triangle_Grid_3.jpg,right,1159.189999976661,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,32,shape,1,1,right,Purple_Plus_Dots_1.jpg,Purple_Star_Chess_2.jpg,Red_Plus_Stripes_4.jpg,right,1171.909999975469,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,33,shape,1,1,left,Blue_Circle_Chess_3.jpg,Green_Circle_Stripes_2.jpg,Blue_Star_Grid_1.jpg,left,1048.075000056997,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,34,shape,1,1,right,Green_Circle_Dots_3.jpg,Green_Star_Grid_1.jpg,Purple_Circle_Chess_4.jpg,right,801.8600000068545,true,NA,true
CggCTwZT,31mcue39cnznpis152nuvogcfi93g2,317hq483ib5acxp04bceeynpm3vinm,CggCTwZT,2020-0188,2020-06-04,10:39:28,11:15:30,NA,incomplete,35,shape,1,1,left,Purple_Circle_Grid_2.jpg,Red_Circle_Dots_3.jpg,Purple_Star_Stripes_4.jpg,left,942.3749999841675,true,NA,true
