workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,sequence,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,0,color,0,1,right,Green_Circle_Stripes_4.jpg,Red_Plus_Stripes_2.jpg,Green_Triangle_Dots_1.jpg,right,1904.3999999994412,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,1,color,0,1,left,Blue_Plus_Dots_3.jpg,Blue_Circle_Grid_4.jpg,Purple_Star_Dots_2.jpg,left,925.1700000022538,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,2,color,0,1,right,Red_Star_Stripes_3.jpg,Purple_Triangle_Stripes_1.jpg,Red_Plus_Grid_2.jpg,right,685.7949999975972,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,3,color,0,1,right,Blue_Circle_Dots_4.jpg,Purple_Plus_Dots_2.jpg,Blue_Star_Grid_1.jpg,right,626.5549999952782,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,4,color,0,1,left,Green_Triangle_Grid_2.jpg,Green_Plus_Chess_4.jpg,Red_Circle_Grid_1.jpg,left,994.3649999986519,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,5,color,0,0,right,Green_Star_Stripes_2.jpg,Blue_Plus_Stripes_4.jpg,Green_Circle_Chess_1.jpg,right,861.4600000000792,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,6,color,0,1,left,Blue_Plus_Dots_2.jpg,Blue_Star_Chess_1.jpg,Purple_Circle_Dots_4.jpg,left,1195.464999997057,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,7,color,0,1,left,Purple_Triangle_Chess_1.jpg,Purple_Plus_Stripes_2.jpg,Green_Star_Chess_3.jpg,left,941.820000000007,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,8,color,0,1,left,Purple_Triangle_Stripes_1.jpg,Purple_Star_Dots_3.jpg,Red_Plus_Stripes_4.jpg,left,824.7699999992619,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,9,color,0,1,right,Green_Plus_Chess_3.jpg,Red_Circle_Chess_1.jpg,Green_Star_Grid_4.jpg,right,607.8049999996438,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,10,color,0,1,left,Red_Star_Grid_4.jpg,Red_Triangle_Dots_2.jpg,Blue_Plus_Grid_1.jpg,left,648.0300000039279,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,11,color,0,1,left,Purple_Triangle_Dots_2.jpg,Purple_Circle_Stripes_1.jpg,Blue_Star_Dots_4.jpg,left,1031.8249999982072,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,12,color,0,0,left,Green_Triangle_Grid_3.jpg,Green_Star_Chess_4.jpg,Blue_Plus_Grid_1.jpg,left,669.5650000037858,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,13,color,0,1,left,Green_Star_Dots_2.jpg,Green_Triangle_Stripes_3.jpg,Blue_Plus_Dots_4.jpg,left,764.5150000025751,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,14,color,0,1,right,Purple_Circle_Grid_2.jpg,Blue_Triangle_Grid_3.jpg,Purple_Plus_Chess_1.jpg,right,693.7400000024354,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,15,color,0,1,right,Green_Star_Stripes_2.jpg,Red_Circle_Stripes_4.jpg,Green_Triangle_Dots_3.jpg,right,574.6650000000955,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,16,color,0,0,right,Red_Plus_Chess_3.jpg,Green_Triangle_Chess_4.jpg,Red_Star_Dots_1.jpg,right,761.1749999996391,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,17,color,0,1,right,Red_Circle_Stripes_1.jpg,Blue_Triangle_Stripes_3.jpg,Red_Plus_Chess_2.jpg,right,1056.7050000026939,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,18,color,0,1,right,Purple_Plus_Grid_4.jpg,Red_Star_Grid_3.jpg,Purple_Triangle_Stripes_1.jpg,right,895.2399999980116,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,19,color,0,1,left,Green_Circle_Chess_2.jpg,Green_Plus_Dots_3.jpg,Purple_Star_Chess_4.jpg,left,702.9750000001513,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,20,filling,1,1,right,Blue_Star_Stripes_4.jpg,Blue_Triangle_Grid_2.jpg,Green_Plus_Stripes_3.jpg,left,540.6299999958719,false,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,21,filling,1,0,left,Purple_Star_Chess_1.jpg,Blue_Circle_Chess_3.jpg,Purple_Triangle_Stripes_2.jpg,right,625.5850000015926,false,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,22,filling,1,1,right,Green_Star_Chess_4.jpg,Green_Triangle_Stripes_1.jpg,Purple_Plus_Chess_3.jpg,left,725.0050000002375,false,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,23,filling,1,1,right,Green_Star_Stripes_2.jpg,Green_Circle_Grid_4.jpg,Blue_Plus_Stripes_1.jpg,none,0,false,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,24,filling,1,1,left,Green_Triangle_Chess_1.jpg,Blue_Plus_Chess_3.jpg,Green_Circle_Grid_2.jpg,left,1069.9650000024121,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,25,filling,1,0,left,Blue_Circle_Stripes_2.jpg,Purple_Star_Stripes_1.jpg,Blue_Triangle_Grid_4.jpg,left,1135.150000001886,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,26,filling,1,0,right,Green_Circle_Grid_1.jpg,Green_Star_Dots_3.jpg,Purple_Plus_Grid_4.jpg,right,1795.0300000011339,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,27,filling,1,1,left,Green_Triangle_Grid_1.jpg,Purple_Plus_Grid_2.jpg,Green_Star_Stripes_3.jpg,left,1346.1499999975786,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,28,filling,1,1,left,Purple_Circle_Grid_3.jpg,Red_Triangle_Grid_1.jpg,Purple_Plus_Dots_2.jpg,left,1356.2099999981,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,29,filling,1,1,left,Blue_Star_Dots_4.jpg,Green_Triangle_Dots_2.jpg,Blue_Plus_Stripes_3.jpg,left,1196.8500000002678,true,NA,NA,NA,NA,NA,NA,NA,NA,true
foC1wnQc,3pgqrazx15xrvqygpna1awvsi04ysb,32z9zlut1pxsynesz8u6tbmg8cxohc,foC1wnQc,2020-0188,2020-11-16,19:25:04,19:40:39,NA,incomplete,30,filling,1,1,right,Red_Plus_Grid_1.jpg,Red_Triangle_Dots_4.jpg,Blue_Circle_Grid_2.jpg,right,1198.3300000065356,true,NA,NA,NA,NA,NA,NA,NA,NA,true
