workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,sequence,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
P8H8fX7g,38f60ialbjuvdvfa6f4is9xu20x0td,336kav9kyu50dbfcma0x8yef1s52yq,P8H8fX7g,2020-0188,2020-06-04,11:50:03,12:08:49,NA,incomplete,0,filling,0,1,right,Blue_Triangle_Grid_4.jpg,Blue_Star_Dots_1.jpg,Red_Circle_Grid_2.jpg,right,947.4300000001676,true,NA,true
P8H8fX7g,38f60ialbjuvdvfa6f4is9xu20x0td,336kav9kyu50dbfcma0x8yef1s52yq,P8H8fX7g,2020-0188,2020-06-04,11:50:03,12:08:49,NA,incomplete,1,filling,0,1,right,Purple_Plus_Chess_2.jpg,Purple_Star_Stripes_1.jpg,Red_Triangle_Chess_4.jpg,right,942.7349999987637,true,NA,true
P8H8fX7g,38f60ialbjuvdvfa6f4is9xu20x0td,336kav9kyu50dbfcma0x8yef1s52yq,P8H8fX7g,2020-0188,2020-06-04,11:50:03,12:08:49,NA,incomplete,2,filling,0,0,right,Green_Star_Grid_4.jpg,Green_Plus_Dots_1.jpg,Red_Circle_Grid_2.jpg,right,769.6849999992992,true,NA,true
P8H8fX7g,38f60ialbjuvdvfa6f4is9xu20x0td,336kav9kyu50dbfcma0x8yef1s52yq,P8H8fX7g,2020-0188,2020-06-04,11:50:03,12:08:49,NA,incomplete,3,filling,0,0,right,Blue_Circle_Grid_4.jpg,Blue_Plus_Stripes_3.jpg,Green_Triangle_Grid_2.jpg,left,833.5299999999115,false,NA,true
P8H8fX7g,38f60ialbjuvdvfa6f4is9xu20x0td,336kav9kyu50dbfcma0x8yef1s52yq,P8H8fX7g,2020-0188,2020-06-04,11:50:03,12:08:49,NA,incomplete,4,filling,0,1,right,Blue_Circle_Stripes_4.jpg,Blue_Triangle_Dots_3.jpg,Green_Star_Stripes_2.jpg,right,932.2449999999371,true,NA,true
P8H8fX7g,38f60ialbjuvdvfa6f4is9xu20x0td,336kav9kyu50dbfcma0x8yef1s52yq,P8H8fX7g,2020-0188,2020-06-04,11:50:03,12:08:49,NA,incomplete,5,filling,0,1,left,Purple_Triangle_Dots_4.jpg,Green_Plus_Dots_3.jpg,Purple_Circle_Grid_1.jpg,left,893.6900000008172,true,NA,true
P8H8fX7g,38f60ialbjuvdvfa6f4is9xu20x0td,336kav9kyu50dbfcma0x8yef1s52yq,P8H8fX7g,2020-0188,2020-06-04,11:50:03,12:08:49,NA,incomplete,6,filling,0,1,left,Purple_Plus_Stripes_2.jpg,Red_Triangle_Stripes_4.jpg,Purple_Star_Chess_3.jpg,left,832.87000000017,true,NA,true
P8H8fX7g,38f60ialbjuvdvfa6f4is9xu20x0td,336kav9kyu50dbfcma0x8yef1s52yq,P8H8fX7g,2020-0188,2020-06-04,11:50:03,12:08:49,NA,incomplete,7,filling,0,1,left,Purple_Circle_Grid_2.jpg,Blue_Star_Grid_3.jpg,Purple_Plus_Chess_1.jpg,left,1250.625000000582,true,NA,true
P8H8fX7g,38f60ialbjuvdvfa6f4is9xu20x0td,336kav9kyu50dbfcma0x8yef1s52yq,P8H8fX7g,2020-0188,2020-06-04,11:50:03,12:08:49,NA,incomplete,8,filling,0,1,left,Green_Plus_Dots_3.jpg,Red_Circle_Dots_2.jpg,Green_Triangle_Grid_1.jpg,left,1004.4300000008661,true,NA,true
P8H8fX7g,38f60ialbjuvdvfa6f4is9xu20x0td,336kav9kyu50dbfcma0x8yef1s52yq,P8H8fX7g,2020-0188,2020-06-04,11:50:03,12:08:49,NA,incomplete,9,filling,0,0,right,Blue_Plus_Dots_3.jpg,Blue_Star_Stripes_4.jpg,Purple_Circle_Dots_2.jpg,right,864.4800000002142,true,NA,true
