workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,sequence,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
DrUIBqdd,3r6rzgk0yip7nifkjif6ljfzh4yvyd,354p56de9oga3q09tgp3m37nryz7sl,DrUIBqdd,2020-0188,2020-11-16,18:40:05,18:53:13,NA,incomplete,0,filling,0,1,right,Purple_Plus_Grid_1.jpg,Red_Plus_Dots_3.jpg,Blue_Triangle_Grid_2.jpg,right,1282.7699999907054,true,NA,true
DrUIBqdd,3r6rzgk0yip7nifkjif6ljfzh4yvyd,354p56de9oga3q09tgp3m37nryz7sl,DrUIBqdd,2020-0188,2020-11-16,18:40:05,18:53:13,NA,incomplete,1,filling,0,1,right,Green_Circle_Dots_2.jpg,Red_Circle_Chess_3.jpg,Blue_Triangle_Dots_4.jpg,right,751.6649999888614,true,NA,true
DrUIBqdd,3r6rzgk0yip7nifkjif6ljfzh4yvyd,354p56de9oga3q09tgp3m37nryz7sl,DrUIBqdd,2020-0188,2020-11-16,18:40:05,18:53:13,NA,incomplete,2,filling,0,1,right,Green_Triangle_Grid_4.jpg,Blue_Triangle_Stripes_1.jpg,Purple_Plus_Grid_2.jpg,left,739.2950000357814,false,NA,true
DrUIBqdd,3r6rzgk0yip7nifkjif6ljfzh4yvyd,354p56de9oga3q09tgp3m37nryz7sl,DrUIBqdd,2020-0188,2020-11-16,18:40:05,18:53:13,NA,incomplete,3,filling,0,1,left,Green_Triangle_Chess_4.jpg,Purple_Star_Chess_2.jpg,Red_Triangle_Grid_3.jpg,left,979.8399999854155,true,NA,true
DrUIBqdd,3r6rzgk0yip7nifkjif6ljfzh4yvyd,354p56de9oga3q09tgp3m37nryz7sl,DrUIBqdd,2020-0188,2020-11-16,18:40:05,18:53:13,NA,incomplete,4,filling,0,1,right,Blue_Triangle_Chess_2.jpg,Green_Triangle_Dots_4.jpg,Red_Plus_Chess_3.jpg,right,970.0200000079349,true,NA,true
DrUIBqdd,3r6rzgk0yip7nifkjif6ljfzh4yvyd,354p56de9oga3q09tgp3m37nryz7sl,DrUIBqdd,2020-0188,2020-11-16,18:40:05,18:53:13,NA,incomplete,5,filling,0,1,left,Red_Star_Chess_1.jpg,Purple_Circle_Chess_3.jpg,Green_Star_Stripes_2.jpg,left,800.0950000132434,true,NA,true
DrUIBqdd,3r6rzgk0yip7nifkjif6ljfzh4yvyd,354p56de9oga3q09tgp3m37nryz7sl,DrUIBqdd,2020-0188,2020-11-16,18:40:05,18:53:13,NA,incomplete,6,filling,0,0,right,Red_Plus_Dots_4.jpg,Green_Plus_Grid_1.jpg,Blue_Circle_Dots_2.jpg,right,795.9350000019185,true,NA,true
DrUIBqdd,3r6rzgk0yip7nifkjif6ljfzh4yvyd,354p56de9oga3q09tgp3m37nryz7sl,DrUIBqdd,2020-0188,2020-11-16,18:40:05,18:53:13,NA,incomplete,7,filling,0,1,right,Green_Plus_Chess_3.jpg,Purple_Plus_Grid_2.jpg,Blue_Star_Chess_1.jpg,right,971.7100000125356,true,NA,true
DrUIBqdd,3r6rzgk0yip7nifkjif6ljfzh4yvyd,354p56de9oga3q09tgp3m37nryz7sl,DrUIBqdd,2020-0188,2020-11-16,18:40:05,18:53:13,NA,incomplete,8,filling,0,1,right,Green_Star_Grid_2.jpg,Blue_Star_Stripes_4.jpg,Purple_Plus_Grid_3.jpg,right,905.7150000007823,true,NA,true
DrUIBqdd,3r6rzgk0yip7nifkjif6ljfzh4yvyd,354p56de9oga3q09tgp3m37nryz7sl,DrUIBqdd,2020-0188,2020-11-16,18:40:05,18:53:13,NA,incomplete,9,filling,0,0,right,Purple_Plus_Grid_1.jpg,Blue_Plus_Chess_3.jpg,Green_Triangle_Grid_4.jpg,right,993.1649999925867,true,NA,true
