workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,sequence,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
0zkHfODO,3p7qk0gj4wyyvhrnruxexlrqk8i2zm,39loel67owiajnkdd6g8svv5gj983m,0zkHfODO,2020-0188,2020-06-16,13:01:52,13:22:20,NA,incomplete,0,filling,0,0,right,Green_Star_Grid_4.jpg,Purple_Star_Chess_3.jpg,Red_Triangle_Grid_1.jpg,right,1443.445000000822,true,NA,true
0zkHfODO,3p7qk0gj4wyyvhrnruxexlrqk8i2zm,39loel67owiajnkdd6g8svv5gj983m,0zkHfODO,2020-0188,2020-06-16,13:01:52,13:22:20,NA,incomplete,1,filling,0,1,left,Blue_Plus_Dots_1.jpg,Purple_Star_Dots_2.jpg,Red_Plus_Grid_4.jpg,left,1086.490000001504,true,NA,true
0zkHfODO,3p7qk0gj4wyyvhrnruxexlrqk8i2zm,39loel67owiajnkdd6g8svv5gj983m,0zkHfODO,2020-0188,2020-06-16,13:01:52,13:22:20,NA,incomplete,2,filling,0,1,left,Blue_Triangle_Dots_3.jpg,Purple_Plus_Dots_2.jpg,Red_Triangle_Grid_1.jpg,left,1116.7249999998603,true,NA,true
0zkHfODO,3p7qk0gj4wyyvhrnruxexlrqk8i2zm,39loel67owiajnkdd6g8svv5gj983m,0zkHfODO,2020-0188,2020-06-16,13:01:52,13:22:20,NA,incomplete,3,filling,0,1,left,Red_Plus_Grid_1.jpg,Blue_Star_Grid_4.jpg,Purple_Plus_Chess_3.jpg,right,986.3299999997253,false,NA,true
0zkHfODO,3p7qk0gj4wyyvhrnruxexlrqk8i2zm,39loel67owiajnkdd6g8svv5gj983m,0zkHfODO,2020-0188,2020-06-16,13:01:52,13:22:20,NA,incomplete,4,filling,0,1,right,Blue_Circle_Chess_4.jpg,Red_Circle_Grid_3.jpg,Purple_Star_Chess_2.jpg,right,1055.47999999905,true,NA,true
0zkHfODO,3p7qk0gj4wyyvhrnruxexlrqk8i2zm,39loel67owiajnkdd6g8svv5gj983m,0zkHfODO,2020-0188,2020-06-16,13:01:52,13:22:20,NA,incomplete,5,filling,0,0,left,Purple_Circle_Stripes_4.jpg,Green_Star_Stripes_3.jpg,Blue_Circle_Dots_2.jpg,left,880.9500000024564,true,NA,true
0zkHfODO,3p7qk0gj4wyyvhrnruxexlrqk8i2zm,39loel67owiajnkdd6g8svv5gj983m,0zkHfODO,2020-0188,2020-06-16,13:01:52,13:22:20,NA,incomplete,6,filling,0,0,left,Green_Star_Dots_1.jpg,Red_Plus_Dots_2.jpg,Purple_Star_Chess_3.jpg,left,970.8949999985052,true,NA,true
0zkHfODO,3p7qk0gj4wyyvhrnruxexlrqk8i2zm,39loel67owiajnkdd6g8svv5gj983m,0zkHfODO,2020-0188,2020-06-16,13:01:52,13:22:20,NA,incomplete,7,filling,0,1,left,Green_Star_Stripes_1.jpg,Blue_Plus_Stripes_2.jpg,Red_Star_Grid_4.jpg,left,1167.8800000008778,true,NA,true
0zkHfODO,3p7qk0gj4wyyvhrnruxexlrqk8i2zm,39loel67owiajnkdd6g8svv5gj983m,0zkHfODO,2020-0188,2020-06-16,13:01:52,13:22:20,NA,incomplete,8,filling,0,1,left,Purple_Triangle_Stripes_3.jpg,Blue_Star_Stripes_4.jpg,Green_Triangle_Grid_2.jpg,left,939.7250000001513,true,NA,true
0zkHfODO,3p7qk0gj4wyyvhrnruxexlrqk8i2zm,39loel67owiajnkdd6g8svv5gj983m,0zkHfODO,2020-0188,2020-06-16,13:01:52,13:22:20,NA,incomplete,9,filling,0,1,left,Purple_Star_Grid_3.jpg,Green_Circle_Grid_2.jpg,Blue_Star_Chess_1.jpg,left,995.3150000000605,true,NA,true
