workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,sequence,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
p40TdzWb,3mdwe879vkfdd3966pwqlqs1zxrb9a,3h7z272lxbkc5j9j5tmja3kc3mqlpz,p40TdzWb,2020-0188,2020-06-04,07:53:38,08:10:29,NA,incomplete,0,color,0,1,left,Green_Star_Chess_1.jpg,Green_Plus_Grid_4.jpg,Red_Triangle_Stripes_1.jpg,right,696.300000010524,false,NA,NA,NA,NA,NA,NA,NA,NA,true
p40TdzWb,3mdwe879vkfdd3966pwqlqs1zxrb9a,3h7z272lxbkc5j9j5tmja3kc3mqlpz,p40TdzWb,2020-0188,2020-06-04,07:53:38,08:10:29,NA,incomplete,1,color,0,1,right,Green_Triangle_Dots_3.jpg,Blue_Plus_Grid_3.jpg,Green_Circle_Stripes_2.jpg,left,667.7350000245497,false,NA,NA,NA,NA,NA,NA,NA,NA,true
p40TdzWb,3mdwe879vkfdd3966pwqlqs1zxrb9a,3h7z272lxbkc5j9j5tmja3kc3mqlpz,p40TdzWb,2020-0188,2020-06-04,07:53:38,08:10:29,NA,incomplete,2,color,0,1,left,Blue_Plus_Dots_4.jpg,Blue_Triangle_Grid_1.jpg,Purple_Star_Chess_4.jpg,left,699.5350000215694,true,NA,NA,NA,NA,NA,NA,NA,NA,true
p40TdzWb,3mdwe879vkfdd3966pwqlqs1zxrb9a,3h7z272lxbkc5j9j5tmja3kc3mqlpz,p40TdzWb,2020-0188,2020-06-04,07:53:38,08:10:29,NA,incomplete,3,color,0,1,left,Red_Circle_Chess_4.jpg,Red_Triangle_Grid_1.jpg,Purple_Star_Dots_4.jpg,left,619.7200000169687,true,NA,NA,NA,NA,NA,NA,NA,NA,true
p40TdzWb,3mdwe879vkfdd3966pwqlqs1zxrb9a,3h7z272lxbkc5j9j5tmja3kc3mqlpz,p40TdzWb,2020-0188,2020-06-04,07:53:38,08:10:29,NA,incomplete,4,color,0,1,right,Red_Star_Chess_3.jpg,Purple_Plus_Grid_3.jpg,Red_Triangle_Dots_1.jpg,right,647.3499999847263,true,NA,NA,NA,NA,NA,NA,NA,NA,true
p40TdzWb,3mdwe879vkfdd3966pwqlqs1zxrb9a,3h7z272lxbkc5j9j5tmja3kc3mqlpz,p40TdzWb,2020-0188,2020-06-04,07:53:38,08:10:29,NA,incomplete,5,color,0,0,right,Blue_Plus_Chess_1.jpg,Green_Triangle_Stripes_1.jpg,Blue_Star_Grid_2.jpg,right,585.0999999674968,true,NA,NA,NA,NA,NA,NA,NA,NA,true
p40TdzWb,3mdwe879vkfdd3966pwqlqs1zxrb9a,3h7z272lxbkc5j9j5tmja3kc3mqlpz,p40TdzWb,2020-0188,2020-06-04,07:53:38,08:10:29,NA,incomplete,6,color,0,1,right,Blue_Star_Chess_2.jpg,Red_Circle_Grid_2.jpg,Blue_Plus_Dots_3.jpg,right,502.54000001586974,true,NA,NA,NA,NA,NA,NA,NA,NA,true
p40TdzWb,3mdwe879vkfdd3966pwqlqs1zxrb9a,3h7z272lxbkc5j9j5tmja3kc3mqlpz,p40TdzWb,2020-0188,2020-06-04,07:53:38,08:10:29,NA,incomplete,7,color,0,0,left,Red_Plus_Grid_2.jpg,Red_Star_Chess_1.jpg,Blue_Triangle_Dots_2.jpg,left,599.3400000152178,true,NA,NA,NA,NA,NA,NA,NA,NA,true
p40TdzWb,3mdwe879vkfdd3966pwqlqs1zxrb9a,3h7z272lxbkc5j9j5tmja3kc3mqlpz,p40TdzWb,2020-0188,2020-06-04,07:53:38,08:10:29,NA,incomplete,8,color,0,1,left,Red_Plus_Chess_2.jpg,Red_Triangle_Dots_4.jpg,Green_Star_Stripes_2.jpg,left,642.0100000104867,true,NA,NA,NA,NA,NA,NA,NA,NA,true
p40TdzWb,3mdwe879vkfdd3966pwqlqs1zxrb9a,3h7z272lxbkc5j9j5tmja3kc3mqlpz,p40TdzWb,2020-0188,2020-06-04,07:53:38,08:10:29,NA,incomplete,9,color,0,1,left,Blue_Circle_Grid_1.jpg,Blue_Star_Stripes_4.jpg,Purple_Plus_Dots_1.jpg,left,615.7300000195391,true,NA,NA,NA,NA,NA,NA,NA,NA,true
