workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,sequence,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,0,color,0,1,right,Purple_Circle_Chess_1.jpg,Green_Plus_Chess_2.jpg,Purple_Triangle_Dots_4.jpg,right,1979.009999999078,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,1,color,0,1,right,Blue_Plus_Grid_4.jpg,Green_Star_Grid_3.jpg,Blue_Triangle_Chess_1.jpg,right,1021.4699999997392,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,2,color,0,1,left,Red_Circle_Dots_4.jpg,Red_Triangle_Stripes_2.jpg,Green_Star_Dots_3.jpg,left,1192.4600000001956,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,3,color,0,1,left,Purple_Circle_Stripes_2.jpg,Purple_Star_Grid_3.jpg,Red_Plus_Stripes_4.jpg,left,1215.0350000010803,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,4,color,0,1,right,Blue_Triangle_Dots_2.jpg,Green_Plus_Dots_1.jpg,Blue_Circle_Chess_3.jpg,right,1025.7599999986123,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,5,color,0,1,right,Purple_Star_Chess_1.jpg,Blue_Circle_Chess_3.jpg,Purple_Triangle_Grid_2.jpg,right,1037.2349999996368,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,6,color,0,1,left,Green_Triangle_Dots_4.jpg,Green_Plus_Stripes_1.jpg,Purple_Star_Dots_2.jpg,left,1174.1949999995995,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,7,color,0,1,left,Purple_Star_Chess_4.jpg,Purple_Circle_Dots_3.jpg,Blue_Plus_Chess_2.jpg,left,1244.2399999999907,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,8,color,0,0,left,Blue_Triangle_Dots_2.jpg,Blue_Plus_Stripes_3.jpg,Purple_Star_Dots_4.jpg,left,1068.9399999990128,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,9,color,0,1,right,Purple_Circle_Chess_1.jpg,Red_Star_Chess_2.jpg,Purple_Triangle_Dots_4.jpg,right,1128.5149999985006,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,10,color,0,0,right,Green_Plus_Stripes_1.jpg,Red_Star_Stripes_4.jpg,Green_Triangle_Grid_2.jpg,right,1050.6499999992084,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,11,color,0,1,left,Red_Triangle_Dots_4.jpg,Red_Star_Chess_3.jpg,Green_Plus_Dots_1.jpg,left,1393.3950000011828,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,12,color,0,1,right,Blue_Triangle_Dots_2.jpg,Purple_Star_Dots_4.jpg,Blue_Plus_Stripes_1.jpg,right,1002.6249999990687,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,13,color,0,1,right,Purple_Plus_Dots_3.jpg,Green_Star_Dots_2.jpg,Purple_Circle_Stripes_4.jpg,right,997.3750000009313,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,14,color,0,1,right,Green_Star_Grid_1.jpg,Blue_Triangle_Grid_2.jpg,Green_Circle_Stripes_4.jpg,right,1151.0899999993853,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,15,color,0,1,right,Green_Star_Stripes_1.jpg,Blue_Triangle_Stripes_2.jpg,Green_Plus_Grid_3.jpg,right,884.3450000002049,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,16,color,0,1,left,Purple_Plus_Chess_3.jpg,Purple_Triangle_Dots_1.jpg,Red_Star_Chess_2.jpg,left,1184.8600000012666,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,17,color,0,1,left,Red_Circle_Dots_3.jpg,Red_Star_Chess_2.jpg,Purple_Plus_Dots_4.jpg,right,1679.2999999998137,false,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,18,color,0,0,right,Green_Triangle_Chess_1.jpg,Blue_Plus_Chess_4.jpg,Green_Circle_Grid_3.jpg,right,1178.719999999972,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,19,color,0,1,left,Green_Circle_Dots_1.jpg,Green_Triangle_Stripes_4.jpg,Red_Star_Dots_3.jpg,right,1474.1250000006985,false,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,20,filling,1,1,left,Red_Plus_Stripes_4.jpg,Blue_Circle_Stripes_3.jpg,Red_Star_Dots_1.jpg,left,1297.914999999106,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,21,filling,1,1,right,Green_Plus_Dots_2.jpg,Green_Star_Chess_1.jpg,Blue_Triangle_Dots_4.jpg,right,1704.5449999985285,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,22,filling,1,0,left,Green_Triangle_Chess_1.jpg,Blue_Star_Chess_4.jpg,Green_Circle_Stripes_3.jpg,left,1340.7050000005402,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,23,filling,1,1,left,Red_Plus_Stripes_2.jpg,Purple_Circle_Stripes_4.jpg,Red_Triangle_Chess_1.jpg,right,1293.5649999999441,false,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,24,filling,1,0,right,Red_Plus_Dots_1.jpg,Red_Triangle_Stripes_3.jpg,Blue_Circle_Dots_2.jpg,right,1183.9650000003166,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,25,filling,1,1,left,Red_Plus_Chess_4.jpg,Blue_Circle_Chess_1.jpg,Red_Star_Grid_2.jpg,right,1120.9250000012107,false,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,26,filling,1,1,right,Green_Triangle_Grid_3.jpg,Green_Star_Dots_1.jpg,Purple_Circle_Grid_4.jpg,right,1420.2999999998137,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,27,filling,1,1,left,Blue_Star_Chess_2.jpg,Purple_Circle_Chess_1.jpg,Blue_Triangle_Stripes_3.jpg,left,1290.9799999997485,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,28,filling,1,1,left,Blue_Star_Dots_3.jpg,Purple_Triangle_Dots_1.jpg,Blue_Circle_Stripes_2.jpg,left,1480.4850000001024,true,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,29,filling,1,1,left,Green_Star_Stripes_4.jpg,Purple_Plus_Stripes_1.jpg,Green_Circle_Chess_3.jpg,right,1149.3099999988917,false,NA,true
DZzY4lSp,3e9vauv7czrnvucm8noapw1mqoqyaq,3ijxv6uz11wvrvhsxitvniszn0kira,DZzY4lSp,2020-0188,2020-06-04,10:37:45,11:19:55,NA,incomplete,30,filling,1,0,right,Purple_Star_Stripes_1.jpg,Purple_Plus_Grid_3.jpg,Green_Triangle_Stripes_4.jpg,right,1273.794999999227,true,NA,true
