workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,sequence,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
gDGv2ouu,3xabxm4ak4i034slkfn2gjsp1ra8qu,3kopy89hmcfz34gw4adzhl4ju1t3j3,gDGv2ouu,2020-0188,2020-06-04,11:32:21,12:02:06,NA,incomplete,0,shape,0,1,right,Green_Plus_Chess_3.jpg,Purple_Star_Stripes_3.jpg,Red_Plus_Grid_2.jpg,none,0,false,NA,true
gDGv2ouu,3xabxm4ak4i034slkfn2gjsp1ra8qu,3kopy89hmcfz34gw4adzhl4ju1t3j3,gDGv2ouu,2020-0188,2020-06-04,11:32:21,12:02:06,NA,incomplete,1,shape,0,1,right,Red_Circle_Dots_3.jpg,Purple_Triangle_Grid_3.jpg,Green_Circle_Chess_1.jpg,right,1007.1650000009686,true,NA,true
gDGv2ouu,3xabxm4ak4i034slkfn2gjsp1ra8qu,3kopy89hmcfz34gw4adzhl4ju1t3j3,gDGv2ouu,2020-0188,2020-06-04,11:32:21,12:02:06,NA,incomplete,2,shape,0,0,left,Red_Circle_Grid_2.jpg,Purple_Circle_Dots_1.jpg,Green_Triangle_Chess_2.jpg,left,1225.9499999999534,true,NA,true
gDGv2ouu,3xabxm4ak4i034slkfn2gjsp1ra8qu,3kopy89hmcfz34gw4adzhl4ju1t3j3,gDGv2ouu,2020-0188,2020-06-04,11:32:21,12:02:06,NA,incomplete,3,shape,0,1,left,Red_Circle_Chess_1.jpg,Green_Circle_Stripes_3.jpg,Purple_Triangle_Dots_1.jpg,left,588.819999998901,true,NA,true
gDGv2ouu,3xabxm4ak4i034slkfn2gjsp1ra8qu,3kopy89hmcfz34gw4adzhl4ju1t3j3,gDGv2ouu,2020-0188,2020-06-04,11:32:21,12:02:06,NA,incomplete,4,shape,0,1,left,Green_Plus_Dots_4.jpg,Red_Plus_Grid_3.jpg,Blue_Star_Chess_4.jpg,left,833.1249999993015,true,NA,true
gDGv2ouu,3xabxm4ak4i034slkfn2gjsp1ra8qu,3kopy89hmcfz34gw4adzhl4ju1t3j3,gDGv2ouu,2020-0188,2020-06-04,11:32:21,12:02:06,NA,incomplete,5,shape,0,0,left,Green_Plus_Dots_4.jpg,Red_Plus_Stripes_2.jpg,Purple_Circle_Grid_4.jpg,left,724.0200000014156,true,NA,true
gDGv2ouu,3xabxm4ak4i034slkfn2gjsp1ra8qu,3kopy89hmcfz34gw4adzhl4ju1t3j3,gDGv2ouu,2020-0188,2020-06-04,11:32:21,12:02:06,NA,incomplete,6,shape,0,1,right,Green_Circle_Dots_3.jpg,Blue_Triangle_Grid_3.jpg,Purple_Circle_Chess_4.jpg,right,698.6100000012666,true,NA,true
gDGv2ouu,3xabxm4ak4i034slkfn2gjsp1ra8qu,3kopy89hmcfz34gw4adzhl4ju1t3j3,gDGv2ouu,2020-0188,2020-06-04,11:32:21,12:02:06,NA,incomplete,7,shape,0,1,right,Purple_Circle_Grid_2.jpg,Red_Plus_Stripes_2.jpg,Blue_Circle_Dots_4.jpg,right,714.785000000149,true,NA,true
gDGv2ouu,3xabxm4ak4i034slkfn2gjsp1ra8qu,3kopy89hmcfz34gw4adzhl4ju1t3j3,gDGv2ouu,2020-0188,2020-06-04,11:32:21,12:02:06,NA,incomplete,8,shape,0,1,left,Purple_Star_Grid_2.jpg,Blue_Star_Dots_3.jpg,Green_Circle_Chess_2.jpg,left,561.0949999992736,true,NA,true
gDGv2ouu,3xabxm4ak4i034slkfn2gjsp1ra8qu,3kopy89hmcfz34gw4adzhl4ju1t3j3,gDGv2ouu,2020-0188,2020-06-04,11:32:21,12:02:06,NA,incomplete,9,shape,0,1,left,Blue_Star_Stripes_3.jpg,Purple_Star_Chess_2.jpg,Red_Plus_Dots_3.jpg,left,798.9049999997951,true,NA,true
