workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,sequence,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
kE2mknqy,3headtgn3s5yqh3y5nncdnm28bcvrm,3strjbfxo04zd5k81aj20d8u3s2kt2,kE2mknqy,2020-0188,2020-06-04,19:12:34,19:29:05,NA,incomplete,0,color,0,0,right,Green_Star_Chess_3.jpg,Blue_Triangle_Grid_3.jpg,Green_Plus_Dots_1.jpg,right,1796.2350000161678,true,NA,true
kE2mknqy,3headtgn3s5yqh3y5nncdnm28bcvrm,3strjbfxo04zd5k81aj20d8u3s2kt2,kE2mknqy,2020-0188,2020-06-04,19:12:34,19:29:05,NA,incomplete,1,color,0,1,right,Purple_Plus_Stripes_2.jpg,Green_Triangle_Chess_2.jpg,Purple_Circle_Grid_1.jpg,right,1226.3599999714643,true,NA,true
kE2mknqy,3headtgn3s5yqh3y5nncdnm28bcvrm,3strjbfxo04zd5k81aj20d8u3s2kt2,kE2mknqy,2020-0188,2020-06-04,19:12:34,19:29:05,NA,incomplete,2,color,0,0,left,Blue_Circle_Dots_1.jpg,Blue_Star_Stripes_2.jpg,Green_Plus_Grid_1.jpg,left,986.2550001125783,true,NA,true
kE2mknqy,3headtgn3s5yqh3y5nncdnm28bcvrm,3strjbfxo04zd5k81aj20d8u3s2kt2,kE2mknqy,2020-0188,2020-06-04,19:12:34,19:29:05,NA,incomplete,3,color,0,0,right,Purple_Plus_Grid_1.jpg,Red_Star_Stripes_1.jpg,Purple_Triangle_Dots_4.jpg,right,771.4949999935925,true,NA,true
kE2mknqy,3headtgn3s5yqh3y5nncdnm28bcvrm,3strjbfxo04zd5k81aj20d8u3s2kt2,kE2mknqy,2020-0188,2020-06-04,19:12:34,19:29:05,NA,incomplete,4,color,0,0,right,Red_Circle_Stripes_1.jpg,Blue_Plus_Grid_1.jpg,Red_Triangle_Chess_3.jpg,right,728.984999936074,true,NA,true
kE2mknqy,3headtgn3s5yqh3y5nncdnm28bcvrm,3strjbfxo04zd5k81aj20d8u3s2kt2,kE2mknqy,2020-0188,2020-06-04,19:12:34,19:29:05,NA,incomplete,5,color,0,1,left,Blue_Star_Chess_3.jpg,Blue_Triangle_Grid_1.jpg,Purple_Plus_Stripes_3.jpg,left,1149.7150000650436,true,NA,true
kE2mknqy,3headtgn3s5yqh3y5nncdnm28bcvrm,3strjbfxo04zd5k81aj20d8u3s2kt2,kE2mknqy,2020-0188,2020-06-04,19:12:34,19:29:05,NA,incomplete,6,color,0,1,right,Green_Star_Stripes_4.jpg,Purple_Circle_Grid_4.jpg,Green_Triangle_Chess_3.jpg,right,627.390000037849,true,NA,true
kE2mknqy,3headtgn3s5yqh3y5nncdnm28bcvrm,3strjbfxo04zd5k81aj20d8u3s2kt2,kE2mknqy,2020-0188,2020-06-04,19:12:34,19:29:05,NA,incomplete,7,color,0,1,left,Green_Plus_Dots_3.jpg,Green_Circle_Grid_4.jpg,Red_Star_Chess_3.jpg,left,733.6899999063462,true,NA,true
kE2mknqy,3headtgn3s5yqh3y5nncdnm28bcvrm,3strjbfxo04zd5k81aj20d8u3s2kt2,kE2mknqy,2020-0188,2020-06-04,19:12:34,19:29:05,NA,incomplete,8,color,0,1,left,Red_Plus_Chess_4.jpg,Red_Triangle_Dots_3.jpg,Blue_Star_Stripes_4.jpg,left,850.7349998690188,true,NA,true
kE2mknqy,3headtgn3s5yqh3y5nncdnm28bcvrm,3strjbfxo04zd5k81aj20d8u3s2kt2,kE2mknqy,2020-0188,2020-06-04,19:12:34,19:29:05,NA,incomplete,9,color,0,1,right,Blue_Star_Chess_1.jpg,Purple_Plus_Dots_1.jpg,Blue_Triangle_Stripes_2.jpg,right,889.4150000996888,true,NA,true
kE2mknqy,3headtgn3s5yqh3y5nncdnm28bcvrm,3strjbfxo04zd5k81aj20d8u3s2kt2,kE2mknqy,2020-0188,2020-06-04,19:12:34,19:29:05,NA,incomplete,10,color,0,1,right,Blue_Star_Stripes_1.jpg,Green_Triangle_Chess_1.jpg,Blue_Circle_Dots_3.jpg,right,948.050000006333,true,NA,true
kE2mknqy,3headtgn3s5yqh3y5nncdnm28bcvrm,3strjbfxo04zd5k81aj20d8u3s2kt2,kE2mknqy,2020-0188,2020-06-04,19:12:34,19:29:05,NA,incomplete,11,color,0,1,left,Purple_Triangle_Chess_1.jpg,Purple_Star_Dots_4.jpg,Green_Plus_Stripes_1.jpg,left,618.9699999522418,true,NA,true
kE2mknqy,3headtgn3s5yqh3y5nncdnm28bcvrm,3strjbfxo04zd5k81aj20d8u3s2kt2,kE2mknqy,2020-0188,2020-06-04,19:12:34,19:29:05,NA,incomplete,12,color,0,1,left,Red_Plus_Grid_1.jpg,Red_Triangle_Dots_2.jpg,Green_Star_Stripes_1.jpg,left,620.3299998305738,true,NA,true
kE2mknqy,3headtgn3s5yqh3y5nncdnm28bcvrm,3strjbfxo04zd5k81aj20d8u3s2kt2,kE2mknqy,2020-0188,2020-06-04,19:12:34,19:29:05,NA,incomplete,13,color,0,1,left,Red_Circle_Chess_2.jpg,Red_Star_Grid_3.jpg,Green_Plus_Dots_2.jpg,left,547.4749999120831,true,NA,true
kE2mknqy,3headtgn3s5yqh3y5nncdnm28bcvrm,3strjbfxo04zd5k81aj20d8u3s2kt2,kE2mknqy,2020-0188,2020-06-04,19:12:34,19:29:05,NA,incomplete,14,color,0,0,left,Red_Circle_Dots_2.jpg,Red_Triangle_Stripes_4.jpg,Green_Star_Chess_2.jpg,left,575.4150000866503,true,NA,true
