workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,sequence,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
JRGdamfe,3kqc8jmjhf51pencp85cgosduim3h1,3z2r0dq0jlr276ylm9o31vmzjj6e2z,JRGdamfe,2020-0188,2020-06-04,18:48:13,19:14:32,NA,incomplete,0,color,0,1,left,Purple_Triangle_Chess_4.jpg,Purple_Circle_Grid_1.jpg,Red_Plus_Chess_2.jpg,left,1390.5249999997905,true,NA,true
JRGdamfe,3kqc8jmjhf51pencp85cgosduim3h1,3z2r0dq0jlr276ylm9o31vmzjj6e2z,JRGdamfe,2020-0188,2020-06-04,18:48:13,19:14:32,NA,incomplete,1,color,0,1,left,Green_Circle_Dots_3.jpg,Green_Star_Chess_1.jpg,Red_Triangle_Dots_2.jpg,left,709.699999999837,true,NA,true
JRGdamfe,3kqc8jmjhf51pencp85cgosduim3h1,3z2r0dq0jlr276ylm9o31vmzjj6e2z,JRGdamfe,2020-0188,2020-06-04,18:48:13,19:14:32,NA,incomplete,2,color,0,1,right,Blue_Star_Dots_3.jpg,Purple_Circle_Dots_1.jpg,Blue_Plus_Chess_4.jpg,right,628.6299999996554,true,NA,true
JRGdamfe,3kqc8jmjhf51pencp85cgosduim3h1,3z2r0dq0jlr276ylm9o31vmzjj6e2z,JRGdamfe,2020-0188,2020-06-04,18:48:13,19:14:32,NA,incomplete,3,color,0,1,right,Green_Plus_Grid_2.jpg,Blue_Star_Grid_4.jpg,Green_Circle_Dots_3.jpg,right,606.9899999997579,true,NA,true
JRGdamfe,3kqc8jmjhf51pencp85cgosduim3h1,3z2r0dq0jlr276ylm9o31vmzjj6e2z,JRGdamfe,2020-0188,2020-06-04,18:48:13,19:14:32,NA,incomplete,4,color,0,1,left,Purple_Star_Grid_1.jpg,Purple_Circle_Chess_2.jpg,Green_Triangle_Grid_4.jpg,left,711.9999999998836,true,NA,true
JRGdamfe,3kqc8jmjhf51pencp85cgosduim3h1,3z2r0dq0jlr276ylm9o31vmzjj6e2z,JRGdamfe,2020-0188,2020-06-04,18:48:13,19:14:32,NA,incomplete,5,color,0,1,right,Red_Star_Stripes_4.jpg,Purple_Circle_Stripes_3.jpg,Red_Plus_Grid_1.jpg,right,767.3600000003353,true,NA,true
JRGdamfe,3kqc8jmjhf51pencp85cgosduim3h1,3z2r0dq0jlr276ylm9o31vmzjj6e2z,JRGdamfe,2020-0188,2020-06-04,18:48:13,19:14:32,NA,incomplete,6,color,0,0,right,Purple_Plus_Chess_4.jpg,Green_Triangle_Chess_1.jpg,Purple_Star_Dots_2.jpg,right,567.5200000000186,true,NA,true
JRGdamfe,3kqc8jmjhf51pencp85cgosduim3h1,3z2r0dq0jlr276ylm9o31vmzjj6e2z,JRGdamfe,2020-0188,2020-06-04,18:48:13,19:14:32,NA,incomplete,7,color,0,1,left,Green_Star_Stripes_1.jpg,Green_Plus_Grid_4.jpg,Purple_Triangle_Stripes_3.jpg,left,663.5700000001816,true,NA,true
JRGdamfe,3kqc8jmjhf51pencp85cgosduim3h1,3z2r0dq0jlr276ylm9o31vmzjj6e2z,JRGdamfe,2020-0188,2020-06-04,18:48:13,19:14:32,NA,incomplete,8,color,0,1,right,Blue_Star_Stripes_3.jpg,Green_Plus_Stripes_4.jpg,Blue_Triangle_Chess_1.jpg,right,601.3649999999907,true,NA,true
JRGdamfe,3kqc8jmjhf51pencp85cgosduim3h1,3z2r0dq0jlr276ylm9o31vmzjj6e2z,JRGdamfe,2020-0188,2020-06-04,18:48:13,19:14:32,NA,incomplete,9,color,0,1,right,Red_Plus_Chess_4.jpg,Green_Star_Chess_3.jpg,Red_Triangle_Dots_1.jpg,right,583.4400000002934,true,NA,true
