workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,sequence,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
KCHQWMb2,3kqc8jmjhf51pencp85cgosduim3h1,3z4gs9hpnznoksgh5drsrcbq88g776,KCHQWMb2,2020-0188,2020-06-04,10:45:56,11:32:20,NA,incomplete,0,shape,0,1,right,Green_Star_Chess_1.jpg,Blue_Plus_Dots_1.jpg,Red_Star_Grid_2.jpg,none,0,false,NA,NA,NA,NA,NA,NA,NA,NA,true
KCHQWMb2,3kqc8jmjhf51pencp85cgosduim3h1,3z4gs9hpnznoksgh5drsrcbq88g776,KCHQWMb2,2020-0188,2020-06-04,10:45:56,11:32:20,NA,incomplete,1,shape,0,1,right,Purple_Circle_Chess_4.jpg,Red_Triangle_Dots_4.jpg,Green_Circle_Grid_1.jpg,right,1750.4799999296665,true,NA,NA,NA,NA,NA,NA,NA,NA,true
KCHQWMb2,3kqc8jmjhf51pencp85cgosduim3h1,3z4gs9hpnznoksgh5drsrcbq88g776,KCHQWMb2,2020-0188,2020-06-04,10:45:56,11:32:20,NA,incomplete,2,shape,0,1,left,Blue_Plus_Dots_4.jpg,Purple_Plus_Chess_3.jpg,Red_Triangle_Stripes_4.jpg,left,1182.5749999843538,true,NA,NA,NA,NA,NA,NA,NA,NA,true
KCHQWMb2,3kqc8jmjhf51pencp85cgosduim3h1,3z4gs9hpnznoksgh5drsrcbq88g776,KCHQWMb2,2020-0188,2020-06-04,10:45:56,11:32:20,NA,incomplete,3,shape,0,1,left,Red_Circle_Chess_4.jpg,Green_Circle_Stripes_3.jpg,Blue_Plus_Dots_4.jpg,left,881.0649999650195,true,NA,NA,NA,NA,NA,NA,NA,NA,true
KCHQWMb2,3kqc8jmjhf51pencp85cgosduim3h1,3z4gs9hpnznoksgh5drsrcbq88g776,KCHQWMb2,2020-0188,2020-06-04,10:45:56,11:32:20,NA,incomplete,4,shape,0,1,left,Red_Star_Dots_1.jpg,Green_Star_Stripes_4.jpg,Blue_Plus_Grid_1.jpg,left,918.9800000749528,true,NA,NA,NA,NA,NA,NA,NA,NA,true
KCHQWMb2,3kqc8jmjhf51pencp85cgosduim3h1,3z4gs9hpnznoksgh5drsrcbq88g776,KCHQWMb2,2020-0188,2020-06-04,10:45:56,11:32:20,NA,incomplete,5,shape,0,1,left,Purple_Plus_Chess_2.jpg,Red_Plus_Stripes_4.jpg,Green_Circle_Grid_2.jpg,left,923.6050000181422,true,NA,NA,NA,NA,NA,NA,NA,NA,true
KCHQWMb2,3kqc8jmjhf51pencp85cgosduim3h1,3z4gs9hpnznoksgh5drsrcbq88g776,KCHQWMb2,2020-0188,2020-06-04,10:45:56,11:32:20,NA,incomplete,6,shape,0,1,right,Red_Circle_Chess_2.jpg,Green_Triangle_Stripes_2.jpg,Blue_Circle_Dots_3.jpg,right,820.5549999838695,true,NA,NA,NA,NA,NA,NA,NA,NA,true
KCHQWMb2,3kqc8jmjhf51pencp85cgosduim3h1,3z4gs9hpnznoksgh5drsrcbq88g776,KCHQWMb2,2020-0188,2020-06-04,10:45:56,11:32:20,NA,incomplete,7,shape,0,1,left,Red_Plus_Grid_3.jpg,Blue_Plus_Dots_4.jpg,Purple_Star_Chess_3.jpg,left,1007.4699999531731,true,NA,NA,NA,NA,NA,NA,NA,NA,true
KCHQWMb2,3kqc8jmjhf51pencp85cgosduim3h1,3z4gs9hpnznoksgh5drsrcbq88g776,KCHQWMb2,2020-0188,2020-06-04,10:45:56,11:32:20,NA,incomplete,8,shape,0,1,right,Green_Triangle_Chess_2.jpg,Purple_Plus_Grid_2.jpg,Red_Triangle_Dots_1.jpg,right,913.7000000337139,true,NA,NA,NA,NA,NA,NA,NA,NA,true
KCHQWMb2,3kqc8jmjhf51pencp85cgosduim3h1,3z4gs9hpnznoksgh5drsrcbq88g776,KCHQWMb2,2020-0188,2020-06-04,10:45:56,11:32:20,NA,incomplete,9,shape,0,1,right,Red_Plus_Grid_2.jpg,Purple_Triangle_Chess_2.jpg,Green_Plus_Stripes_3.jpg,right,852.8949999017641,true,NA,NA,NA,NA,NA,NA,NA,NA,true
KCHQWMb2,3kqc8jmjhf51pencp85cgosduim3h1,3z4gs9hpnznoksgh5drsrcbq88g776,KCHQWMb2,2020-0188,2020-06-04,10:45:56,11:32:20,NA,incomplete,10,shape,0,1,left,Blue_Star_Grid_2.jpg,Green_Star_Chess_1.jpg,Purple_Triangle_Stripes_2.jpg,left,900.4300000378862,true,NA,NA,NA,NA,NA,NA,NA,NA,true
KCHQWMb2,3kqc8jmjhf51pencp85cgosduim3h1,3z4gs9hpnznoksgh5drsrcbq88g776,KCHQWMb2,2020-0188,2020-06-04,10:45:56,11:32:20,NA,incomplete,11,shape,0,1,right,Blue_Plus_Grid_4.jpg,Green_Triangle_Dots_4.jpg,Purple_Plus_Stripes_2.jpg,left,985.3600000496954,false,NA,NA,NA,NA,NA,NA,NA,NA,true
KCHQWMb2,3kqc8jmjhf51pencp85cgosduim3h1,3z4gs9hpnznoksgh5drsrcbq88g776,KCHQWMb2,2020-0188,2020-06-04,10:45:56,11:32:20,NA,incomplete,12,shape,0,1,left,Red_Triangle_Stripes_2.jpg,Blue_Triangle_Chess_3.jpg,Green_Circle_Dots_2.jpg,left,1139.2749999649823,true,NA,NA,NA,NA,NA,NA,NA,NA,true
KCHQWMb2,3kqc8jmjhf51pencp85cgosduim3h1,3z4gs9hpnznoksgh5drsrcbq88g776,KCHQWMb2,2020-0188,2020-06-04,10:45:56,11:32:20,NA,incomplete,13,shape,0,1,right,Green_Triangle_Chess_2.jpg,Purple_Circle_Grid_2.jpg,Blue_Triangle_Dots_4.jpg,right,987.5650000758469,true,NA,NA,NA,NA,NA,NA,NA,NA,true
KCHQWMb2,3kqc8jmjhf51pencp85cgosduim3h1,3z4gs9hpnznoksgh5drsrcbq88g776,KCHQWMb2,2020-0188,2020-06-04,10:45:56,11:32:20,NA,incomplete,14,shape,0,1,right,Purple_Triangle_Chess_1.jpg,Blue_Circle_Stripes_1.jpg,Green_Triangle_Dots_4.jpg,right,843.8900000182912,true,NA,NA,NA,NA,NA,NA,NA,NA,true
KCHQWMb2,3kqc8jmjhf51pencp85cgosduim3h1,3z4gs9hpnznoksgh5drsrcbq88g776,KCHQWMb2,2020-0188,2020-06-04,10:45:56,11:32:20,NA,incomplete,15,shape,0,0,left,Red_Star_Stripes_1.jpg,Green_Star_Dots_3.jpg,Blue_Plus_Grid_1.jpg,left,907.719999901019,true,NA,NA,NA,NA,NA,NA,NA,NA,true
KCHQWMb2,3kqc8jmjhf51pencp85cgosduim3h1,3z4gs9hpnznoksgh5drsrcbq88g776,KCHQWMb2,2020-0188,2020-06-04,10:45:56,11:32:20,NA,incomplete,16,shape,0,0,left,Red_Star_Stripes_1.jpg,Blue_Star_Grid_2.jpg,Green_Circle_Chess_1.jpg,left,884.4200000166893,true,NA,NA,NA,NA,NA,NA,NA,NA,true
