workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,sequence,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
Zmf4DgmI,3oplmf3ev80afezcyc4phujqmmslnu,3zwfc4w1uykbh4f2wanaklf83kmfrw,Zmf4DgmI,2020-0188,2020-11-16,18:59:35,19:18:18,NA,incomplete,0,color,0,1,left,Purple_Star_Dots_1.jpg,Purple_Triangle_Stripes_2.jpg,Blue_Star_Chess_3.jpg,none,0,false,NA,true
Zmf4DgmI,3oplmf3ev80afezcyc4phujqmmslnu,3zwfc4w1uykbh4f2wanaklf83kmfrw,Zmf4DgmI,2020-0188,2020-11-16,18:59:35,19:18:18,NA,incomplete,1,color,0,1,right,Blue_Star_Chess_3.jpg,Purple_Star_Stripes_4.jpg,Blue_Circle_Grid_2.jpg,right,1206,true,NA,true
Zmf4DgmI,3oplmf3ev80afezcyc4phujqmmslnu,3zwfc4w1uykbh4f2wanaklf83kmfrw,Zmf4DgmI,2020-0188,2020-11-16,18:59:35,19:18:18,NA,incomplete,2,color,0,1,left,Red_Star_Dots_2.jpg,Red_Circle_Stripes_1.jpg,Blue_Star_Chess_3.jpg,left,1035,true,NA,true
Zmf4DgmI,3oplmf3ev80afezcyc4phujqmmslnu,3zwfc4w1uykbh4f2wanaklf83kmfrw,Zmf4DgmI,2020-0188,2020-11-16,18:59:35,19:18:18,NA,incomplete,3,color,0,1,right,Purple_Star_Grid_2.jpg,Green_Star_Chess_1.jpg,Purple_Triangle_Dots_3.jpg,right,839,true,NA,true
Zmf4DgmI,3oplmf3ev80afezcyc4phujqmmslnu,3zwfc4w1uykbh4f2wanaklf83kmfrw,Zmf4DgmI,2020-0188,2020-11-16,18:59:35,19:18:18,NA,incomplete,4,color,0,0,right,Purple_Triangle_Chess_3.jpg,Blue_Triangle_Dots_4.jpg,Purple_Plus_Grid_1.jpg,right,1160,true,NA,true
Zmf4DgmI,3oplmf3ev80afezcyc4phujqmmslnu,3zwfc4w1uykbh4f2wanaklf83kmfrw,Zmf4DgmI,2020-0188,2020-11-16,18:59:35,19:18:18,NA,incomplete,5,color,0,1,left,Purple_Star_Stripes_4.jpg,Purple_Plus_Chess_3.jpg,Green_Star_Dots_1.jpg,left,1006,true,NA,true
Zmf4DgmI,3oplmf3ev80afezcyc4phujqmmslnu,3zwfc4w1uykbh4f2wanaklf83kmfrw,Zmf4DgmI,2020-0188,2020-11-16,18:59:35,19:18:18,NA,incomplete,6,color,0,1,right,Blue_Plus_Chess_3.jpg,Red_Plus_Stripes_4.jpg,Blue_Circle_Dots_1.jpg,right,891,true,NA,true
Zmf4DgmI,3oplmf3ev80afezcyc4phujqmmslnu,3zwfc4w1uykbh4f2wanaklf83kmfrw,Zmf4DgmI,2020-0188,2020-11-16,18:59:35,19:18:18,NA,incomplete,7,color,0,1,right,Green_Triangle_Chess_2.jpg,Blue_Triangle_Stripes_1.jpg,Green_Star_Dots_3.jpg,right,684,true,NA,true
Zmf4DgmI,3oplmf3ev80afezcyc4phujqmmslnu,3zwfc4w1uykbh4f2wanaklf83kmfrw,Zmf4DgmI,2020-0188,2020-11-16,18:59:35,19:18:18,NA,incomplete,8,color,0,1,left,Blue_Plus_Stripes_1.jpg,Blue_Star_Dots_2.jpg,Purple_Plus_Grid_4.jpg,left,757,true,NA,true
Zmf4DgmI,3oplmf3ev80afezcyc4phujqmmslnu,3zwfc4w1uykbh4f2wanaklf83kmfrw,Zmf4DgmI,2020-0188,2020-11-16,18:59:35,19:18:18,NA,incomplete,9,color,0,1,left,Purple_Star_Chess_2.jpg,Purple_Circle_Grid_1.jpg,Red_Star_Stripes_3.jpg,left,844,true,NA,true
Zmf4DgmI,3oplmf3ev80afezcyc4phujqmmslnu,3zwfc4w1uykbh4f2wanaklf83kmfrw,Zmf4DgmI,2020-0188,2020-11-16,18:59:35,19:18:18,NA,incomplete,10,color,0,1,right,Purple_Circle_Stripes_3.jpg,Green_Circle_Dots_1.jpg,Purple_Plus_Chess_2.jpg,right,685,true,NA,true
Zmf4DgmI,3oplmf3ev80afezcyc4phujqmmslnu,3zwfc4w1uykbh4f2wanaklf83kmfrw,Zmf4DgmI,2020-0188,2020-11-16,18:59:35,19:18:18,NA,incomplete,11,color,0,0,right,Red_Plus_Dots_3.jpg,Blue_Plus_Chess_4.jpg,Red_Star_Grid_2.jpg,right,679,true,NA,true
Zmf4DgmI,3oplmf3ev80afezcyc4phujqmmslnu,3zwfc4w1uykbh4f2wanaklf83kmfrw,Zmf4DgmI,2020-0188,2020-11-16,18:59:35,19:18:18,NA,incomplete,12,color,0,0,left,Green_Circle_Stripes_3.jpg,Green_Plus_Chess_4.jpg,Purple_Circle_Dots_1.jpg,left,928,true,NA,true
Zmf4DgmI,3oplmf3ev80afezcyc4phujqmmslnu,3zwfc4w1uykbh4f2wanaklf83kmfrw,Zmf4DgmI,2020-0188,2020-11-16,18:59:35,19:18:18,NA,incomplete,13,color,0,1,right,Green_Circle_Stripes_3.jpg,Blue_Circle_Dots_1.jpg,Green_Triangle_Grid_4.jpg,right,943,true,NA,true
